Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
AUD/CAD,2023-08-31,2023-09-01,2023-09-05,4e-06,0.000156
AUD/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000224,-8.5e-05
AUD/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001162,-2.8e-05
AUD/DKK,2023-08-31,2023-09-01,2023-09-05,-0.000729,3.3e-05
AUD/HKD,2023-08-31,2023-09-01,2023-09-05,-0.00082,0.000455
AUD/HUF,2023-08-31,2023-09-01,2023-09-05,0.21707,0.25173
AUD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.05174,-0.03879
AUD/NOK,2023-08-31,2023-09-01,2023-09-05,-0.000569,0.000419
AUD/NZD,2023-08-31,2023-09-01,2023-09-05,5.8e-05,0.000236
AUD/SEK,2023-08-31,2023-09-01,2023-09-05,-0.000831,0.000229
AUD/USD,2023-08-31,2023-09-01,2023-09-05,-2.1e-05,0.000211
AUD/ZAR,2023-08-31,2023-09-01,2023-09-05,0.004147,0.00809
CAD/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000309,-0.000162
CAD/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001767,-0.000603
CAD/DKK,2023-08-31,2023-09-01,2023-09-05,-0.001263,-0.000457
CAD/HKD,2023-08-31,2023-09-01,2023-09-05,-0.001383,-7.6e-05
CAD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.06818,-0.05445
CAD/MXN,2023-08-31,2023-09-01,2023-09-05,0.005771,0.011385
CAD/NOK,2023-08-31,2023-09-01,2023-09-05,-0.001314,-0.000271
CAD/SEK,2023-08-31,2023-09-01,2023-09-05,-0.001632,-0.000506
CHF/CNH,2023-08-31,2023-09-01,2023-09-05,0.000481,0.001889
CHF/DKK,2023-08-31,2023-09-01,2023-09-05,0.000856,0.00213
CHF/HKD,2023-08-31,2023-09-01,2023-09-05,0.001313,0.002834
CHF/HUF,2023-08-31,2023-09-01,2023-09-05,0.48955,0.54705
CHF/JPY,2023-08-31,2023-09-01,2023-09-05,-0.0447,-0.02304
CHF/NOK,2023-08-31,2023-09-01,2023-09-05,0.002325,0.003972
CHF/PLN,2023-08-31,2023-09-01,2023-09-05,0.002489,0.003234
CHF/SEK,2023-08-31,2023-09-01,2023-09-05,0.001936,0.003714
CHF/ZAR,2023-08-31,2023-09-01,2023-09-05,0.013202,0.019768
CNH/JPY,2023-08-31,2023-09-01,2023-09-05,-0.008392,-0.00566
DKK/NOK,2023-08-31,2023-09-01,2023-09-05,2e-06,0.000209
DKK/SEK,2023-08-31,2023-09-01,2023-09-05,-5.3e-05,0.000169
EUR/AUD,2023-08-31,2023-09-01,2023-09-05,-6.6e-05,0.000186
EUR/CAD,2023-08-31,2023-09-01,2023-09-05,6.7e-05,0.000304
EUR/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000357,-9.7e-05
EUR/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001395,-7.4e-05
EUR/CZK,2023-08-31,2023-09-01,2023-09-05,0.0052,0.01192
EUR/DKK,2023-08-31,2023-09-01,2023-09-05,-0.000922,0.00028
EUR/GBP,2023-08-31,2023-09-01,2023-09-05,2.7e-05,0.000259
EUR/HKD,2023-08-31,2023-09-01,2023-09-05,-0.000747,0.000678
