Instrument,Symbol,Ex Dividend Date,Dividend
Australia 200 Index,IDX.AU.200,2023-09-11,3.863015
Hong Kong 50 Index,IDX.HK.50,2023-09-11,12.118573
Australia 200 Index,IDX.AU.200,2023-09-12,0.963448
Hong Kong 50 Index,IDX.HK.50,2023-09-12,9.625346
US Tech 100 Index,IDX.US.100,2023-09-12,0.677269
US 500 Index,IDX.US.500,2023-09-12,0.173507
Australia 200 Index,IDX.AU.200,2023-09-13,3.899825
US 500 Index,IDX.US.500,2023-09-13,0.038293
Australia 200 Index,IDX.AU.200,2023-09-14,2.109631
Hong Kong 50 Index,IDX.HK.50,2023-09-14,3.171199
UK 100 Index,IDX.UK.100,2023-09-14,0.475822
US Tech 100 Index,IDX.US.100,2023-09-14,1.617789
US Wall Street 30 Index,IDX.US.30,2023-09-14,7.843007
US 500 Index,IDX.US.500,2023-09-14,1.284661
Australia 200 Index,IDX.AU.200,2023-09-15,0.502883
China A50 Index,IDX.CN.50,2023-09-15,4.191539
US 500 Index,IDX.US.500,2023-09-15,0.179303
