Instrument,Symbol,Ex Dividend Date,Dividend
Australia 200 Index,IDX.AU.200,2023-09-04,9.971458
Hong Kong 50 Index,IDX.HK.50,2023-09-04,11.755944
Australia 200 Index,IDX.AU.200,2023-09-05,4.497568
Hong Kong 50 Index,IDX.HK.50,2023-09-05,1.012037
US Tech 100 Index,IDX.US.100,2023-09-05,0.055831
US 500 Index,IDX.US.500,2023-09-05,0.200297
Australia 200 Index,IDX.AU.200,2023-09-06,2.497230
US Tech 100 Index,IDX.US.100,2023-09-06,0.058642
US 500 Index,IDX.US.500,2023-09-06,0.114050
Australia 200 Index,IDX.AU.200,2023-09-07,32.693020
Hong Kong 50 Index,IDX.HK.50,2023-09-07,24.042256
UK 100 Index,IDX.UK.100,2023-09-07,1.707609
US Tech 100 Index,IDX.US.100,2023-09-07,0.657340
US Wall Street 30 Index,IDX.US.30,2023-09-07,6.590762
US 500 Index,IDX.US.500,2023-09-07,0.612382
Australia 200 Index,IDX.AU.200,2023-09-08,0.999017
Hong Kong 50 Index,IDX.HK.50,2023-09-08,7.913705
US Wall Street 30 Index,IDX.US.30,2023-09-08,12.390632
US 500 Index,IDX.US.500,2023-09-08,0.321503
