"global_date","certain","uncertain","die","recure","certain_inc","uncertain_inc","die_inc","recure_inc","updatetime"
"2020.01.22","5","0","0","0","5","0","0","0","2023-03-15 12:00:00"
"2020.01.23","7","0","0","0","3","0","0","0","2023-03-15 12:00:00"
"2020.01.24","11","0","0","0","4","0","0","0","2023-03-15 12:00:00"
"2020.01.25","23","12","0","0","12","2","0","0","2023-03-15 12:00:00"
"2020.01.26","30","102","0","0","7","84","0","0","2023-03-15 12:00:00"
"2020.01.27","35","96","0","0","5","0","0","0","2023-03-15 12:00:00"
"2020.01.28","46","99","0","5","11","0","0","5","2023-03-15 12:00:00"
"2020.01.29","60","99","0","5","14","0","0","0","2023-03-15 12:00:00"
"2020.01.30","75","110","0","7","15","0","0","2","2023-03-15 12:00:00"
"2020.01.31","93","135","0","10","17","20","0","3","2023-03-15 12:00:00"
"2020.02.01","102","135","0","12","9","0","0","2","2023-03-15 12:00:00"
"2020.02.02","111","135","1","12","9","0","1","0","2023-03-15 12:00:00"
"2020.02.03","116","51","1","13","5","0","0","1","2023-03-15 12:00:00"
"2020.02.04","136","51","1","16","20","0","0","3","2023-03-15 12:00:00"
"2020.02.05","145","51","1","17","9","0","0","1","2023-03-15 12:00:00"
"2020.02.06","154","51","1","19","9","0","0","2","2023-03-15 12:00:00"
"2020.02.07","159","51","1","19","5","0","0","0","2023-03-15 12:00:00"
"2020.02.08","183","51","1","22","24","0","0","3","2023-03-15 12:00:00"
"2020.02.09","191","51","1","28","8","0","0","6","2023-03-15 12:00:00"
"2020.02.10","199","51","1","33","8","0","0","5","2023-03-15 12:00:00"
"2020.02.11","204","51","1","37","5","0","0","4","2023-03-15 12:00:00"
"2020.02.12","210","51","1","46","6","0","0","9","2023-03-15 12:00:00"
"2020.02.13","223","54","1","47","13","3","0","1","2023-03-15 12:00:00"
"2020.02.14","232","54","1","53","9","0","0","6","2023-03-15 12:00:00"
"2020.02.15","242","54","2","71","10","0","1","18","2023-03-15 12:00:00"
"2020.02.16","655","54","3","80","413","0","1","9","2023-03-15 12:00:00"
"2020.02.17","766","54","3","88","111","0","0","8","2023-03-15 12:00:00"
"2020.02.18","871","54","3","117","105","0","0","29","2023-03-15 12:00:00"
"2020.02.19","962","50","3","129","92","0","0","12","2023-03-15 12:00:00"
"2020.02.20","986","50","5","133","24","0","2","4","2023-03-15 12:00:00"
"2020.02.21","1007","50","5","152","21","0","0","19","2023-03-15 12:00:00"
"2020.02.22","1492","50","8","172","485","0","3","19","2023-03-15 12:00:00"
"2020.02.23","1731","50","12","182","239","0","4","9","2023-03-15 12:00:00"
"2020.02.24","2222","50","21","191","491","0","9","9","2023-03-15 12:00:00"
"2020.02.25","2587","52","41","219","365","0","20","29","2023-03-15 12:00:00"
