Title,20年IF,21年IF,即时IF,桑格预测IF,JCR分区,中科院分区,警告信息
ZYGOTE,1.442,1.818,0.92,>2.27,Q4,生物学-4区,
ZYGON,0.783,0.484,0.18,<0.36,Q4,法学-4区,
ZUTOT,-,-,0.05,N/A,,,
ZUCHTUNGSKUNDE,0.3,0.352,0.18,0.31,Q4,农林科学-4区,
ZOOTAXA,1.091,1.026,0.5,<0.77,Q3,生物学-4区,
ZOOSYSTEMATICS AND EVOLUTION,1.516,1.647,1.29,>2.06,Q2,生物学-4区,
ZOOSYSTEMA,1.094,1.737,0.59,1.62,Q2,生物学-4区,
ZOONOSES AND PUBLIC HEALTH,2.702,2.954,1.31,2.65,Q3,农林科学-2区,
ZOOMORPHOLOGY,1.326,1.138,0.62,<0.85,Q4,生物学-4区,
ZOOLOGY IN THE MIDDLE EAST,1.024,0.944,0.43,0.83,Q4,生物学-4区,
ZOOLOGY,2.24,2.027,1.28,>2.53,Q2,生物学-3区,
ZOOLOGISCHER ANZEIGER,1.521,1.581,0.86,1.19,Q2,生物学-3区,
ZOOLOGICHESKY ZHURNAL,0.298,0.326,0.1,<0.24,Q4,生物学-4区,
ZOOLOGICAL STUDIES,2.058,1.904,0.9,<1.43,Q2,生物学-3区,
ZOOLOGICAL SCIENCE,0.931,0.955,0.59,>1.19,Q4,生物学-4区,
ZOOLOGICAL RESEARCH,-,6.975,2.47,6.26,Q1,生物学-1区,
ZOOLOGICAL LETTERS,2.836,3.157,1.61,<2.37,Q1,生物学-3区,
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,3.286,3.834,1.6,3.03,Q1,生物学-2区,
ZOOLOGICA SCRIPTA,3.14,3.185,1.55,2.77,Q3,生物学-2区,
ZOOLOGIA,0.92,0.859,0.5,>1.07,Q4,生物学-4区,
ZOOKEYS,1.546,1.492,0.71,<1.12,Q3,生物学-3区,
ZOO BIOLOGY,1.421,1.495,0.83,1.37,Q3,生物学-4区,
ZONA PROXIMA,-,-,0.04,N/A,,,
ZOLOTOORDYNSKOE OBOZRENIE-GOLDEN HORDE REVIEW,-,-,0.1,N/A,,,
ZKG INTERNATIONAL,0.064,0.137,0.01,<0.10,Q4,工程技术-4区,
ZIVOT UMJETNOSTI,-,-,0.03,N/A,,,
ZIBALDONE-ESTUDIOS ITALIANOS DE LA TORRE DEL VIRREY,-,-,0.04,N/A,,,
ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA,0.437,0.278,0.09,<0.21,Q4,医学-4区,
ZHURNAL OBSHCHEI BIOLOGII,0.465,0.306,0.14,<0.23,Q4,生物学-4区,
ZHURNAL NOVAYA EKONOMICHESKAYA ASSOTSIATSIYA-JOURNAL OF THE NEW ECONOMIC ASSOCIATION,-,-,0.15,N/A,,,
ZHURNAL FRONTIRNYKH ISSLEDOVANII-JOURNAL OF FRONTIER STUDIES,-,-,0.21,N/A,,,
ZEPHYRUS-REVISTA DE PREHISTORIA Y ARQUEOLOGIA,-,-,0.08,N/A,,,
ZENTRALBLATT FUR CHIRURGIE,0.942,0.79,0.35,0.63,Q4,医学-4区,
