标题,介绍,总价,单价
雅居乐花园 中间楼层 采光好 满五唯一 精装修 有钥匙,3室1厅 | 140.91平米 | 南 北 | 精装 | 低楼层(共32层) | 2014年建 | 板楼, 74万,"5,252元/平"
龙湖电梯洋房精装修，整个小区绿化40%.配地上停车位用,4室1厅 | 140.54平米 | 南 北 | 精装 | 高楼层(共8层) | 2013年建 | 板楼, 99.9万,"7,109元/平"
浑南府城铭邸 好房急售 拎包即满五 看房方便 南北通透,3室1厅 | 114.28平米 | 南 北 | 精装 | 高楼层(共27层) | 2016年建 | 板楼, 85万,"7,438元/平"
长白岛金地名悦洋房 三居室三卫 方林精装修平顶带阁楼,3室2厅 | 124.07平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼, 350万,"28,210元/平"
园区离高铁站近，四号线即将开通，位置好，大开发商,3室2厅 | 113平米 | 南 北 | 毛坯 | 中楼层(共30层) | 2020年建 | 板楼, 87万,"7,700元/平"
南北标准三居室，位置好，楼层好，看房方便交通便利,3室2厅 | 121.56平米 | 南 北 | 毛坯 | 低楼层(共32层) | 2022年建 | 板楼, 125万,"10,283元/平"
新市府C位 国企光和城三期 天花板三居室 园区位置好,3室2厅 | 91.4平米 | 南 北 | 简装 | 高楼层(共34层) | 2020年建 | 板楼, 108万,"11,817元/平"
新市府 地铁口 天街旁 盛京印象 三居室中高层 无遮挡,3室2厅 | 115.23平米 | 北 南 | 精装 | 中楼层(共26层) | 2020年建 | 板楼, 137万,"11,890元/平"
业主急售，价格可议，好楼层，拎包入住,2室1厅 | 68.22平米 | 南 | 精装 | 高楼层(共33层) | 2011年建 | 板楼, 109万,"15,978元/平"
和平湾 华发精装4室 客厅6.8米 出门地铁口商场,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼, 249万,"17,413元/平"
俪兹国际花园 2室1厅 南 北,2室1厅 | 87.99平米 | 南 北 | 精装 | 中楼层(共33层) | 2014年建 | 板楼, 155万,"17,616元/平"
华润次新房 三室两卫 后排全天采光 满二,3室2厅 | 101.44平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据, 98.8万,"9,740元/平"
