title,districts,districtl,latitude,longitude,length,mincal,maxcal
Ap Lei Chau Wind Tower Park,Southern,Hong Kong Island,22.24472222,114.1525,1200,50,60
Sun Yat Sen Memorial Park to Central Pier No.7,Central and Western,Hong Kong Island,22.290402,114.143783,2430,95,115
Hong Kong Park,Central and Western,Hong Kong Island,22.27714,114.163813,1200,45,50
Wan Chai Park,Wan Chai ,Hong Kong Island,22.275472,114.176008,321,10,15
Bowen Road,Wan Chai ,Hong Kong Island,22.272853,114.166083,3000,155,185
Quarry Bay Park,Eastern ,Hong Kong Island,22.287855,114.222554,1300,50,60
Lai Chi Kok Park,Sham Shui Po ,Kowloon,22.33944444,114.13694444,1000,40,50
Kowloon Park,Yau Tsim Mong ,Kowloon,22.301593,114.170116,900,35,45
Tsim Sha Tsui Promenade,Yau Tsim Mong ,Kowloon,22.293123,114.174814,683,30,35
Po Kong Village Road Park,Wong Tai Sin ,Kowloon,22.343673,114.204487,650,25,30
Ngau Chi Wan Park,Wong Tai Sin ,Kowloon,22.337411,114.21406,290,10,15
Laguna Park,Kwun Tong ,Kowloon,22.308201,114.227894,500,20,25
Jordan Valley Park,Kwun Tong ,Kowloon,22.330161,114.221578,856,35,40
Kowloon Tsai Park,Kowloon City ,Kowloon,22.331287,114.18432,800,30,40
"Kowloon Walled City Park 
& Carpenter Road Park",Kowloon City ,Kowloon,22.330991,114.192113,1800,70,85
Tai Po Waterfront Park,Tai Po ,New Territories,22.452218,114.179066,517,20,25
Mui Shue Hang Playground,Tai Po ,New Territories,22.450841,114.156727,1600,65,75
Sai Kung Promenade,Sai Kung ,New Territories,22.382621,114.275111,1536,60,75
Po Tsui Park,Sai Kung ,New Territories,22.324348,114.253436,750,30,35
"Tseung Kwan O Waterfront Park & 
Tseung Kwan O Promenade",Sai Kung ,New Territories,22.302551,114.256391,1100,40,50
Sha Tin Park,Sha Tin Distict,New Territories,22.380079,114.189881,1500,60,70
Ma On Shan Park,Sha Tin Distict,New Territories,22.427302,114.230445,920,40,45
Ma On Shan Promenade,Sha Tin Distict,New Territories,22.427023,114.233751,3223,130,150
"Tuen Mun Park, Wu Shan Riverside Park & 
Wu Shan Recreation Playground",Tuen Mun ,New Territories,22.393362,113.973031,2032,80,95
Yuen Long Park,Yuen Long ,New Territories,22.441016,114.018452,800,30,40
Tin Shui Wai Park,Yuen Long ,New Territories,22.455809,114.001741,800,30,40
North DistrictS Park,North ,New Territories,22.499209,114.133649,900,35,45
Pak Fuk Tin Sum Playground,North ,New Territories,22.489058,114.140366,1600,65,75
Shing Mun Valley Park,Tsuen Wan ,New Territories,22.373344,114.124687,800,30,40
Tsuen Wan Park,Tsuen Wan ,New Territories,22.364895,114.112451,2100,85,100
Tsing Yi Park,Kwai Tsing ,New Territories,22.356678,114.106163,1200,50,60
Tsing Yi Promenade,Kwai Tsing ,New Territories,22.363127,114.105045,1250,50,60
Cheung Chau Sports Ground,Islands ,New Territories,22.206486,114.032803,250,10,15
Tung Chung North Park and Man Tung Road Park,Islands ,New Territories,22.292443,113.950924,1200,50,60
