word,frequency
Speech,1
Chief,13
Executive,11
delivering,1
The,31
s,48
2018,4
Policy,21
Address,20
Legislative,2
Council,5
Mr,3
President,2
Honourable,2
Members,7
fellow,2
citizens,4
Today,1
I,47
present,5
second,2
term,16
office,7
LegCo,6
As,8
year,21
prefer,1
sharing,3
Hong,51
Kong,51
people,21
governance,4
philosophy,2
highlighting,1
specific,2
measures,11
reading,1
2,2
Titled,1
Striving,1
Ahead,1
Rekindling,1
Hope,1
runs,1
roughly,1
40,2
000,7
words,2
It,5
comprehensively,1
covers,2
areas,6
good,6
housing,30
land,20
diversified,1
economy,10
nurturing,2
talent,2
improving,3
livelihood,8
liveable,1
city,3
connecting,2
young,2
hope,7
read,1
better,5
grasp,1
current,14
situation,1
Government,50
responses,1
various,9
social,3
issues,6
Building,2
Special,1
Administrative,1
Region,1
HKSAR,9
unique,1
strengths,3
One,4
Country,4
Two,1
Systems,1
combining,1
unflagging,1
efforts,8
assuming,2
1,5
July,1
carries,1
unswerving,1
determination,4
leading,2
strive,2
forward,6
While,2
serve,2
just,4
purpose:,1
rekindling,1
3,2
today,3
reflects,1
experience,3
assumed,2
In,15
past,3
political,5
team,3
taken,1
pragmatic,1
approach,3
care,9
listen,2
act,4
innovative,1
interactive,1
collaborative,2
implementing,2
policy,11
initiatives,12
proactively,3
From,2
enhancing,5
position,1
financial,4
centre,2
includes,1
revision,3
listing,1
regulations,1
application,3
technologies,3
Fintech,1
forging,2
ahead,3
development,25
innovation,1
technology,2
I&T;,4
establishment,1
clusters,1
healthcare,4
artificial,2
intelligence,1
robotics,1
outcomes,1
remarkable,3
All,2
testimonies,1
belief,2
running,1
Executive:,1
outstanding,3
foundations,1
solid,1
long,5
stand,3
united,1
remain,3
focused,1
doubt,1
scale,1
new,22
heights,2
4,2
My,5
realisation,3
perfect,1
solution,1
world,6
difficult,2
forge,2
absolute,1
consensus,2
community,11
divergence,1
views,5
obstacle,1
make,4
progress,2
importantly,1
bring,3
standstill,1
We,11
spent,1
lot,1
rounds,1
public,23
consultations,1
supply,10
options,3
abolition,3
offsetting,4
arrangement,5
Mandatory,1
Provident,1
Fund,1
MPF,2
Scheme,9
high,2
time,3
decide,1
proceed,1
discussions;,1
procrastination,1
greater,2
sufferings,1
families,3
living,2
poor,1
overcrowded,1
environment,9
particular,2
children,4
grass,1
roots,1
workers,1
need,4
retirement,1
protection,2
5,2
companions,2
;,3
inclusive,2
harbour,2
unrealistic,1
wish,1
parties,3
share,2
stance,1
principle,3
compromised,1
plenty,1
room,1
collaboration,1
A,1
case,1
point,1
visit,1
cross,2
party,1
delegation,1
Mainland,2
cities,3
Guangdong,1
Macao,2
Greater,6
Bay,6
Area,6
arranged,1
early,1
year;,1
example,3
dealing,1
simple,1
ones,1
adopted,2
presenting,1
funding,2
items,1
consultation,1
Legislators,1
different,4
end,6
legislative,4
session,2
This,3
helped,1
reduce,2
confrontation,1
contributed,1
smooth,1
passage,3
benefit,2
6,2
swiftly,2
boldly,1
matters,1
clearly,2
propose,6
total,6
ban,1
electronic,2
cigarettes,1
protecting,1
health,2
particularly,2
teenagers;,1
actively,2
promote,3
primary,3
services,6
change,2
treatment,1
oriented,1
provide,6
resources,13
research,3
R&D;,1
enhance,9
capability,1
supporting,2
international,5
big,1
strides,1
clear,1
objectives,2
7,3
These,3
realisations,1
added,1
personal,1
touch,1
fact,2
parts,1
reflect,2
presented,2
sectors,7
thank,2
colleagues,1
ranks,1
civil,1
service,5
exemplary,1
dedication,1
progressive,1
attitude,1
seeking,1
embracing,1
8,3
advocated,2
style,1
playing,1
roles,2
facilitator,2
promoter,2
received,4
wide,3
recognition,2
Various,1
bureaux,2
departments,2
proactive,1
handling,2
economic,12
reflected,1
240,1
Agenda,1
9,1
Some,2
ask,1
proactiveness,1
deviate,2
market,3
upheld,2
answer,4
competitiveness,3
like,3
boat,1
sailing,1
order,6
driven,1
responsibility,5
support,13
explore,2
business,3
opportunities,5
enterprises,4
locally,1
overseas,2
engage,1
government,10
interactions,1
10,2
introduced,3
fiscal,3
tax,1
concessions,1
allocate,3
alleviate,2
burdens,2
nurture,1
Financial,1
Secretary,3
Budget,3
broad,1
range,1
benefits,4
earmarked,4
$388,1
billion,10
investment,3
future,5
11,1
question,2
allocating,1
robustly,1
improve,7
principles,1
prudence,1
keeping,1
expenditure,3
limits,1
revenues,1
embarking,1
road,1
welfare,2
society,8
With,3
ample,1
reserves,1
use,3
derived,1
invest,1
relieve,1
enable,3
