name,region,elev,id,lat,long
Fuji-san,Kanto,3776,10882,35.360638,138.727347
Kita-dake,Chubu,3192,10866,35.674537,138.238833
Hotaka-dake,Chubu,3190,10840,36.289203,137.647986
Aino-dake,Chubu,3189,10868,35.646037,138.228292
Yariga-take,Chubu,3180,10832,36.34198,137.647625
Warusawa-dake,Chubu,3141,10872,35.500736,138.182417
Akaishi-dake,Chubu,3120,10875,35.461232,138.157347
Ontake-san,Chubu,3067,10857,35.892995,137.480417
Shiomi-dake,Chubu,3047,10871,35.573822,138.183069
Senjoga-dake,Chubu,3033,10864,35.720077,138.183556
Norikura-dake,Chubu,3026,10848,36.106514,137.553611
Tate-yama,Chubu,3015,10826,36.575994,137.619778
Hijiri-dake,Chubu,3013,10878,35.422554,138.139625
Tsurugi-dake,Chubu,2999,10824,36.62325,137.61687
Suisho-dake,Chubu,2986,10830,36.426322,137.602762
Kaikomaga-take,Chubu,2967,10861,35.757933,138.236814
Kisokomaga-take,Chubu,2956,10860,35.789557,137.804559
Shirouma-dake,Chubu,2932,10820,36.758578,137.7586
Yakushi-dake,Chubu,2926,10829,36.468856,137.544786
Washiba-dake,Chubu,2924,28137,36.402967,137.605227
Yatsuga-take,Chubu,2899,10853,35.970811,138.370057
Kasaga-dake,Chubu,2897,10836,36.315502,137.550417
Kashima-yariga-take,Chubu,2889,10825,36.624555,137.747015
Utsugi-dake,Chubu,2864,10863,35.719,137.817073
Jonen-dake,Chubu,2857,10835,36.325522,137.727621
Hoo-zan,Chubu,2840,10865,35.701756,138.304573
Kurobegoro-dake,Chubu,2840,28136,36.392578,137.539883
Goryu-dake,Chubu,2814,10822,36.658425,137.752664
Haku-san,Chubu,2702,10847,36.155089,136.771435
Kinpu-san,Chubu,2599,10858,35.871611,138.625453
Tekari-dake,Chubu,2591,10884,35.338189,138.083786
Shirane-san,Kanto,2578,10817,36.798589,139.375886
Asama-yama,Kanto,2568,10831,36.40656,138.522941
Tateshina-yama,Chubu,2530,10849,36.103722,138.295076
Nantai-san,Kanto,2486,10819,36.7651,139.490817
Kobushiga-take,Chubu,2475,10856,35.909044,138.728922
Hiuchi-yama,Chubu,2462,12936,36.9227,138.068106
Yake-dake,Chubu,2455,10843,36.226909,137.587028
Myoko-san,Chubu,2454,10813,36.8913,138.113428
Hiuchiga-take,Tohoku,2356,10809,36.955111,139.285308
Azumaya-san,Kanto,2354,10828,36.541733,138.412848
Takazuma,Chubu,2353,28134,36.800078,138.051909
Asahi-dake,Hokkaido,2291,10774,43.663556,142.854085
Chokai-zan,Tohoku,2236,10790,39.099396,140.048861
Mizugaki,Chubu,2230,28139,35.8935,138.592104
Shibutsu-san,Tohoku,2228,10812,36.903467,139.173217
Ena-san,Chubu,2191,10876,35.443045,137.597859
Kusatsu-shirane-san,Kanto,2160,10823,36.64394,138.527671
Hotaka-yama,Kanto,2158,10816,36.805211,139.132578
Naeba-san,Kanto,2145,10814,36.845978,138.690286
Sukai-san,Kanto,2144,10821,36.689889,139.337006
Hiraga-dake,Tohoku,2141,10806,37.002067,139.170907
Tomuraushi,Hokkaido,2141,28131,43.5271,142.848747
Komaga-dake,Tohoku,2133,10805,37.047544,139.353519
Iide-san,Tohoku,2105,10798,37.854867,139.707044
Tokachi-dake,Hokkaido,2077,10777,43.417822,142.686269
Daibosatsu-rei,Chubu,2057,10862,35.748778,138.8455
Horoshiri-dake,Hokkaido,2053,10783,42.719411,142.682866
Iwate-san,Tohoku,2038,10788,39.852611,141.001032
Nishi-Azuma-yama,Tohoku,2035,10799,37.738178,140.140714
Utsukushigahara,Chubu,2034,10845,36.225833,138.107417
Kumotori-yama,Chubu,2017,10859,35.855511,138.94389
Echigo-komagatake,Tohoku,2003,28132,37.123644,139.075233
Gassan,Tohoku,1984,10793,38.549144,140.026924
Ishizuchi-san,Western Japan,1982,10912,33.767056,133.115849
Tanigawa-dake,Kanto,1977,10815,36.8371,138.930144
Makihata-yama,Tohoku,1967,10807,36.978589,138.964483
Amakazari,Chubu,1963,28133,36.902011,137.962586
Tsurugi-san,Western Japan,1955,10910,33.853601,134.094235
Miyanoura-dake,Western Japan,1936,10940,30.335971,130.504288
Kirigamine,Chubu,1925,10850,36.102911,138.196665
Hayachine-san,Tohoku,1917,10789,39.558544,141.48873
Hakken-zan,Western Japan,1915,10905,34.173667,135.907507
Nasu-dake,Tohoku,1915,10803,37.124856,139.963098
Yotei-zan,Hokkaido,1898,10782,42.826611,140.811494
Asahi-dake,Tohoku,1870,10794,38.260556,139.922272
Zao-san,Tohoku,1840,10795,38.14367,140.439363
Akagi-san,Kanto,1828,10827,36.560378,139.193293
Bandai-san,Tohoku,1816,10801,37.600989,140.072213
Kuju-san,Western Japan,1787,10923,33.082147,131.240849
Sobo-san,Western Japan,1756,10927,32.828145,131.347038
Ryokami-san,Chubu,1723,10852,36.023411,138.841273
Rishiri-zan - Kita-mine,Hokkaido,1719,47014,45.180358,141.241433
Dai-sen - Misen,Western Japan,1709,47009,35.371039,133.53998
Karakuni-dake,Western Japan,1700,10932,31.934166,130.861531
Adatara-yama,Tohoku,1700,10800,37.621133,140.287876
Odaigahara-zan,Western Japan,1695,10904,34.185256,136.109207
Rausu-dake,Hokkaido,1660,10771,44.075689,145.122209
Iwaki-san,Tohoku,1625,10786,40.655933,140.30302
Hachimantai,Tohoku,1613,10787,39.957745,140.854103
Aso-san,Western Japan,1592,10926,32.884333,131.103919
Hakkoda-san,Tohoku,1585,10785,40.658933,140.877276
Tanzawa-san,Kanto,1567,34475,35.47432,139.162773
Shari-dake,Hokkaido,1547,10772,43.765711,144.717708
Arashima-dake,Western Japan,1523,10854,35.934278,136.601237
Meakan-dake,Hokkaido,1499,10778,43.386433,144.008627
Amagi-san,Chubu,1406,10897,34.862856,139.001806
Ibuki-yama,Western Japan,1377,10879,35.417856,136.406373
Kaimon-dake,Western Japan,924,10937,31.179944,130.528397
Tsukuba-san,Kanto,877,10844,36.225403,140.106705
