name,university,country,url
Dr.MichaelC.L.CHAU,ArizonaUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/266832/300p300/Dr_Michael_CHAU_2019.jpg
"Dr.HailiangCHEN,MSc(BA)ProgrammeDirector",PurdueUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/Dr_Chen_Hailiang_web_2019-940x1000.jpg
Dr.ChaoDING,UniversityofFlorida,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/266832/300p300/Dr_Ding_Chao_web_2019.jpg
Prof.PaulHU,UniversityofArizona,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/266832/300p300/paul-hu-grey-1_1598947861.jpeg
Dr.XingHU,SternSchoolofBusiness,NewYorkUniversity,https://fbeo.fbe.hku.hk//msba/f/page/254212/267079/300p300/Dr. Xing HU.jpg
Dr.ShanHUANG,MITSloanSchoolofManagement,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/268626/300p300/HUANG_Shan-940x1000-BA_1615358343.png
"Prof.ZhenhuiJackJIANG,AreaHeadofInnovationandInformationManagement",UniversityofBritishColumbia,Canada,https://fbeo.fbe.hku.hk//msba/f/page/254212/267079/300p300/Prof. Zhenhui Jack JIANG.jpg
Dr.LionelZhepengLI,UniversityofUtah,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/270793/300p318/Dr. Lionel Zhepeng LI.JPG
Dr.ShengjunMAO,UniversityofCalifornia,Irvine,https://fbeo.fbe.hku.hk//msba/f/page/254212/268626/300p300/MAO-Shengjun-scaled-940x1000-ct_1615357808.jpg
Dr.HuiyinOUYANG,UniversityofNorthCarolina,ChapelHill,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/Dr_Huiyin_QUYANG_2019-940x1000.jpg
Dr.EricPARK,KelloggSchoolofManagement,NorthwesternUniversity,https://fbeo.fbe.hku.hk//msba/f/page/254212/266832/300p300/Dr-Eric-PARK_2019.jpg
Dr.TuanQuangPHAN,HarvardBusinessSchool,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/267079/300p300/PHAN_Tuan_Quang_web.jpg
"Prof.HaipengSHEN,AssociateDean(ExecutiveEducation)",TheWhartonSchoolofBusiness,UniversityofPennsylvania,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/wkca20180108006_3_2019-2-940x1000.jpg
"Prof.Z.MaxSHEN,Vice-PresidentandPro-Vice-Chancellor(Research)ChairProfessorinLogisticsandSupplyChainManagement",NorthwesternUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/268626/300p300/Prof_1615351530.jpg
Dr.FengTIAN,RossSchoolofBusiness,UniversityofMichigan,https://fbeo.fbe.hku.hk//msba/f/page/254212/270793/300p319/Dr. Feng TIAN.JPG
Prof.ZhixiWAN,RossSchoolofBusiness,UniversityofMichigan,https://fbeo.fbe.hku.hk//msba/f/page/254212/265418/300p300/Zhixi-Wan_web.jpg
Dr.JingqiWANG,NorthwesternUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/267079/300p300/Dr_Wang_Jingqi_2019.jpg
Dr.LiaoWANG,ColumbiaUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/Dr_Wang_Liao_2019-940x1000.jpg
Dr.QingchenWANG,UniversityofAmsterdam,Netherlands,https://fbeo.fbe.hku.hk//msba/f/page/254212/267079/300p300/WANG_Qingchen_web.jpg
Dr.WeichenWANG,PrincetonUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/270793/300p319/Dr. Weichen WANG.JPG
"Prof.XinWANG,AssistantDean(TaughtPostgraduate)",DukeUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/WANG-Xin_web_2020-940x1000.jpg
Dr.ZhengliWANG,StanfordUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/270793/300p319/Dr. Zhengli WANG.JPG
Dr.DanYANG,TheWhartonSchoolofBusiness,UniversityofPennsylvania,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/Dr_Yang_Dan_2019-940x1000.jpg
Dr.BenjaminYEN,ColumbiaUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/266832/300p300/Dr_Yen_Benjamin_2019.jpg
Dr.WeiZHANG,UCLA,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/266832/300p300/Dr_Zhang_Wei_2019.jpg
Dr.XiaoweiZHANG,StanfordUniversity,UnitedStates,https://fbeo.fbe.hku.hk//msba/f/page/254212/268477/300p300/ZHANG_Xiaowei_web-940x1000.jpg
