driverID,Overspeed,FatigueDriving,neutralSlide,RapidlySpeedup,RapidlySlowdown,overspeedTime,neutralSlideTime
likun1000003,3044,3552,291,341,354,28728,3043
haowei1000008,2639,3204,255,321,314,25522,2659
zouan1000007,3181,3594,315,360,385,31248,2997
zengpeng1000000,2763,3274,272,340,344,25479,2894
xiexiao1000001,2324,2720,248,264,261,23434,2525
shenxian1000004,3126,3767,297,374,356,31494,2810
panxian1000005,3531,4307,330,395,434,33946,2930
hanhui1000002,3349,3997,327,401,444,31813,2844
duxu1000009,2301,2814,247,238,284,22338,2632
xiezhi1000006,2535,2931,254,255,310,23942,2074
