What is the incubation period of the virus?,"4 days (IQR, 2-7)"
What is the incubation period of the virus?,"5.84 (99% CI: 4.83, 6.85) days"
What is the incubation period of the virus?,mean incubation period of 5.2 days
What is the incubation period of the virus?,4 (3-7) days
What is the incubation period of the virus?,5 days (range 2-9 days)
What is the incubation period of the virus?,7.44 days
What is the incubation period of the virus?,4 days (IQR 3–7 days)
What is the incubation period of the virus?,The median incubation period of both male and female adults was similar (7-day) but significantly shorter than that (9-day) of child cases
What is the incubation period of the virus?,1.8 and 7.2 days
What is the incubation period of the virus?,10.50 (7.75 -25.25) days
What is the incubation period of the virus?,4 days (IQR 3-6)
What is the incubation period of the virus?,"median of incubation period is 8·13 days (95% confidence interval [CI]: 7·37-8·91), the mean is 8·62 days (95% CI: 8·02-9·28)"
What is the incubation period of the virus?,"4 days (IQR, 2 to 7)"
What is the incubation period of the virus?,"5.1 days (CI, 4.5 to 5.8 days)"
What is the incubation period of the virus?,"4.9 days (95% confidence interval [CI], 4.4 to 5.4) days"
What is the incubation period of the virus?,"7.1 (6.13, 8.25) days for Singapore and 9 (7.92, 10.2) days for Tianjin"
What is the incubation period of the virus?,"6 days, ranged from 1 to 32 days"
What is the incubation period of the virus?,6.7 days
What is the incubation period of the virus?,"6 (IQR, 3-8) days"
What is the incubation period of the virus?,6.4 days (95% 175 CI 5.3 to 7.6)
What is the incubation period of the virus?,between 3 and 6 days
What is the incubation period of the virus?,"average, mode and median incubation periods are 7.4, 4 and 7 days"
What is the incubation period of the virus?,"5.6 days (95% CI: 4.4, 7.4)"
What is the incubation period of the virus?,"6.4 (5.6 -7.7, 95% CI) days"
What is the incubation period of the virus?,"average, mode and median incubation periods are 7.4, 4 and 7 days"
What is the incubation period of the virus?,4·8 days (95% CI 4·2-5·4
What is the length of viral shedding after illness onset?,"2 days (range, 3-38 ) in nasopharyngeal swabs, 19 days (range, 5-37) in sputum and 18 days (range, 7-26) in stools"
What is the length of viral shedding after illness onset?,20·0 days (IQR 17·0-24·0)
What is the incubation period across different age groups?,7.74 d ± 3.22
What is the incubation period across different age groups?,median incubation period of both male and female adults was similar (7-day) but significantly shorter than that (9-day) of child cases
What is the incubation period across different age groups?,10.50 (7.75 -25.25) days
What is the incubation period across different age groups?,"15 -64 age group, the median incubation time of 7.00 +1.10 −0.90 days"
What is the proportion of patients who were asymptomatic?,21.7%
What is the proportion of patients who were asymptomatic?,19%
What is the proportion of patients who were asymptomatic?,"there were 32 laboratory-confirmed COVID-19 patients, including five household/family clusters and four asymptomatic patients"
What is the proportion of patients who were asymptomatic?,49 (14.89%) were asymptomatic
What is the proportion of patients who were asymptomatic?,17.9%
What is the proportion of patients who were asymptomatic?,The remaining 7 (29.2%) cases showed normal CT image and had no symptoms during hospitalization.
What is the proportion of patients who were asymptomatic?,13 (5.0%) asymptomatic cases
What is the proportion of patients who were asymptomatic?,32.6%
What is the proportion of patients who were asymptomatic?, 29% (95% CI 23 to 37%) is an upper bound of SARS-CoV-2 infections that remain asymptomatic throughout
What is the proportion of pediatric patients who were asymptomatic?,20 (27.03%) cases
What is the proportion of pediatric patients who were asymptomatic?,ten (28%) patients
What is the proportion of pediatric patients who were asymptomatic?,28.6%
What is the proportion of pediatric patients who were asymptomatic?,8 no symptoms
What is the proportion of pediatric patients who were asymptomatic?,2 (8.0%) cases
What is the proportion of pediatric patients who were asymptomatic?,Six children (66.7%)
What is the proportion of pediatric patients who were asymptomatic?,19% had no symptoms
What is the proportion of pediatric patients who were asymptomatic?,Eleven children (34%) were asymptomatic
What is the proportion of pediatric patients who were asymptomatic?,asymptomatic infections and mild cases account for 44.8%
What is the asymptomatic transmission during incubation?,44% of transmission prior to symptom onset
What is the asymptomatic transmission during incubation?,(73.0%) were infected before the symptom onset of the first-generation cases
What is the asymptomatic transmission during incubation?,"In 102 (43.78%) infector-infectee pairs, transmission occurred before infectors' symptom onsets"
What is the asymptomatic transmission during incubation?,(73.0%) were infected before the symptom onset of the first-generation cases
What is the asymptomatic transmission during incubation?,12.6% of reports indicating pre-symptomatic transmission
What is the length of viral shedding in stool?,100% positive on the third week after onset and 30% positive 29 days later
What is the length of viral shedding in stool?,detected in feces till 14 days after the onset of symptoms
What is the length of viral shedding in stool?,"18 days (range, 7-26)"
What is the length of viral shedding in stool?,22.0 days (IQR 15.5 to 23.5)
What is the length of viral shedding in stool?,1 to 33 days and in 1 patient up to 47 days
What is the length of viral shedding in stool?,22.0 days (IQR 15.5 to 23.5)
What is the length of viral shedding from the nasopharynx?,10.0 days (IQR 8.0 to 17.0)
What is the length of viral shedding from the nasopharynx?,"12 days (range, 3-38 )"
What is the length of viral shedding from the nasopharynx?,10.0 days (IQR 8.0 to 17.0)
What is the length of viral shedding in urine?,"all patient data were and urine samples were all negative, except for urine samples from two 53 severe cases at the latest available detection point (16 or 21 d.a.o)"
What is the length of viral shedding in blood?,15.67 ±6.68 days in non-ICU group and 22.25 ±3.62 days in ICU group
What is the prevalence of viral shedding in blood?,12 plasmas (5.7%) from 9 patients (14.3%) were positive
What is the sensitivity and specificity of COVID-19 tests?,97% sensitivity of chest CT for the diagnosis of COVID-19
What is the sensitivity and specificity of COVID-19 tests?,"The overall sensitivity, specificity and diagnostic accuracy of RT-dPCR were 90%, 100% and 93 %, respectively"
What is the sensitivity and specificity of COVID-19 tests?,"The areas under the ROC curves of IgM and IgG were 0.988 and 1.000, respectively."
What is the sensitivity and specificity of COVID-19 tests?,The positive detection rate of combination of IgM and IgG for patients with COVID-19 negative and positive nucleic acid test was 72.73% and 87.50%.
What is the sensitivity and specificity of COVID-19 tests?,the overall accuracy rate of CT examination in the present study was 97.3%
What is the sensitivity and specificity of COVID-19 tests?,colorimetric LAMP assay showed 100% agreement with the RT-qPCR results across a range of C q values
What is the sensitivity and specificity of COVID-19 tests?,sensitivity was therefore 97.2%
What is the sensitivity and specificity of COVID-19 tests?,"iLACO is very sensitive, and as low as 10 copies of ORF1ab gene were detected successfully"
How does temperature affect the transmission of COVID-19?,"Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence"
How does temperature affect the transmission of COVID-19?,a plausible negative correlation between warmer climate and COVID-19 spread rate
How does temperature affect the transmission of COVID-19?,"a 1 • C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]"
How does temperature affect the transmission of COVID-19?,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe
How does temperature affect the transmission of COVID-19?,higher average temperature was strongly associated with lower COVID-19 incidence for temperatures of 1°C and higher
How does temperature affect the transmission of COVID-19?,"Temperature is positively correlated with UV-index, for which one unit of increase results in a ~15% decrease in the mortality rate"
How does temperature affect the transmission of COVID-19?,"when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases"
How does temperature affect the transmission of COVID-19?,temperature average ( 0 C) was significantly correlated with covid-19 (r=.392; p<.001)
How does temperature affect the transmission of COVID-19?,"minimum temperature changes by 1 degree, and 72 incremental cases will change in the opposite direction"
How does humidity affect the transmission of COVID-19?,both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts
How does humidity affect the transmission of COVID-19?,"doubling time correlates positively with temperature and inversely with humidity, suggesting that a decrease in the rate of progression of COVID-19 with the arrival of spring and summer in the north hemisphere"
How does humidity affect the transmission of COVID-19?,humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe
How does humidity affect the transmission of COVID-19?,"Each additional Celsius degree decreases mortality rate by ~4%, while a 1% increase in relative humidity raises"
