School_code,AgeID,School_name,Street,Town_suburb,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,Preschool_ind,Distance_education,Intensive_english_centre,School_gender,Late_opening_school,Date_1st_teacher,LGA,electorate_from_2023,electorate_2015_2022,Fed_electorate,Operational_directorate,Principal_network,Operational_directorate_office,Operational_directorate_office_phone,Operational_directorate_office_address,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,Latitude,Longitude,Assets unit,SA4,Date_extracted
1001,44402,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,9713 6220,abbotsford-p.school@det.nsw.edu.au,https://abbotsford-p.schools.nsw.gov.au,9712 1825,474.0,2.0,41.0,1111,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1925-04-01,Canada Bay (A),Drummoyne,Drummoyne,Reid,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.852728,151.131206,Sydney,Sydney - Inner West,2023-08-22
1002,49333,Aberdeen Public School,Segenhoe St,Aberdeen,2336,6543 7271,aberdeen-p.school@det.nsw.edu.au,https://aberdeen-p.schools.nsw.gov.au,6543 7712,166.0,22.0,np,895,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1864-02-01,Upper Hunter Shire (A),Upper Hunter,Upper Hunter,New England,Regional North and West,Upper Hunter,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.166098,150.888095,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
1003,49299,Abermain Public School,Goulburn St,Abermain ,2326,4930 4210,abermain-p.school@det.nsw.edu.au,https://abermain-p.schools.nsw.gov.au,4930 4319,265.0,26.0,np,893,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1905-08-01,Cessnock (C),Cessnock,Cessnock,Paterson,Regional North,Cessnock,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.80892,151.426499,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
1007,50425,Adaminaby Public School,9 Cosgrove Street,ADAMINABY,2629,6454 2265,adaminaby-p.school@det.nsw.edu.au,https://adaminaby-p.schools.nsw.gov.au,6454 2552,12.0,0.0,np,976,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1869-01-01,Snowy Monaro Regional (A),Monaro,Monaro,Eden-Monaro,Rural South and West,Eden-Monaro,Queanbeyan,02 6200 5000,"Level 1, City Link Plaza, 24-36 Morisset St, Queanbeyan 2620",Illawarra Shoalhaven & Southern NSW,Southern NSW,Lower South Coast,Outer Regional Australia,-35.993292,148.776721,Southern NSW,Capital Region,2023-08-22
1008,49043,Adamstown Public School,Bryant St,Adamstown ,2289,4957 1114,adamstown-p.school@det.nsw.edu.au,https://adamstown-p.schools.nsw.gov.au,4956 2446,361.0,8.0,14.0,1060,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1877-07-01,Newcastle (C),Newcastle,Newcastle,Newcastle,Regional North,Glenrock,Gateshead West,4088 3518,"40-44 Coral Cr, Gateshead West 2290",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.932213,151.730971,Hunter/Central Coast,Newcastle and Lake Macquarie,2023-08-22
1009,50667,Adelong Public School,50 Gilmore Street,ADELONG,2729,6946 2053,adelong-p.school@det.nsw.edu.au,https://adelong-p.schools.nsw.gov.au,6946 2199,47.0,np,np,962,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1860-03-01,Snowy Valleys (A),Wagga Wagga,Wagga Wagga,Eden-Monaro,Rural South and West,Gundagai,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.312333,148.062802,Southern NSW,Riverina,2023-08-22
1015,50020,Albion Park Public School,Tongarra & Hamilton Rds,Albion Park ,2527,4256 1244,albionpk-p.school@det.nsw.edu.au,https://albionpk-p.schools.nsw.gov.au,4256 4160,467.0,9.0,7.0,968,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1872-07-01,Shellharbour (C),Kiama,Kiama,Whitlam,Regional South,Lake Illawarra South,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.570257,150.77262,Southern NSW,Illawarra,2023-08-22
1016,49357,Timbumburi Public School,542 Kia Ora Lane,Timbumburi ,2340,6767 0232,timbumburi-p.school@det.nsw.edu.au,https://timbumburi-p.schools.nsw.gov.au,6767 0245,154.0,10.0,np,1012,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1911-02-01,Tamworth Regional (A),Tamworth,Tamworth,New England,Rural North,Peel,Tamworth,6755 5000,"Level 3, Noel Park House, 155-157 Marius St, Tamworth 2340",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-31.203781,150.915629,North Western NSW,New England and North West,2023-08-22
1017,50441,Albury Public School,481 David St,Albury ,2640,02 6021 3849,albury-p.school@det.nsw.edu.au,https://albury-p.schools.nsw.gov.au,02 6041 1265,607.0,5.0,10.0,1053,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1850-07-01,Albury (C),Albury,Albury,Farrer,Rural South and West,Albury,Albury,02 6051 4300,"521 Macauley St, Albury 2640","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-36.082454,146.919253,Southern NSW,Murray,2023-08-22
1019,50442,Albury West Public School,Mott St,Albury ,2640,6021 2288,alburywest-p.school@det.nsw.edu.au,https://alburywest-p.schools.nsw.gov.au,6041 3783,166.0,23.0,8.0,906,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1936-01-01,Albury (C),Albury,Albury,Farrer,Rural South and West,Albury,Albury,02 6051 4300,"521 Macauley St, Albury 2640","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-36.07783,146.895548,Southern NSW,Murray,2023-08-22
1028,51109,Alma Public School,Comstock St,Broken Hill ,2880,08 8088 2181,alma-p.school@det.nsw.edu.au,https://alma-p.schools.nsw.gov.au,08 8087 3691,257.0,36.0,2.0,860,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,Y,1889-01-01,Broken Hill (C),Barwon,Barwon,Parkes,Rural South and West,Far West,Broken Hill,08 8082 5700,"1A Wentworth Rd, Broken Hill 2880","Murrumbidgee, Far West & Western NSW",Far West,Western 3,Outer Regional Australia,-31.982217,141.462443,North Western NSW,Far West and Orana,2023-08-22
1030,49761,Alstonville Public School,Main St,Alstonville ,2477,02 6628 0775,alstonvill-p.school@det.nsw.edu.au,https://alstonvill-p.schools.nsw.gov.au,02 6628 5362,294.0,10.0,7.0,1014,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1875-01-01,Ballina (A),Ballina,Ballina,Page,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.838471,153.438172,North Coast,Richmond - Tweed,2023-08-22
