类别,行政区,点评数,口味,环境,服务,人均消费,城市,Lng,Lat
烧烤, 浦东新区,176,8,8.6,7.9,124,上海市,121.9678597,30.88447665
粤菜, 浦东新区,141,6.7,7.2,6.6,141,上海市,121.933142,30.89322409
海鲜, 浦东新区,76,7.2,7.2,7.3,148,上海市,121.9260623,30.89986826
烧烤, 浦东新区,600,7.2,7.6,7,143,上海市,121.9258774,30.90109977
本菜, 嘉定区,69,8.2,8.9,8.4,66,上海市,121.925866,30.90638367
浙菜, 浦东新区,21,7,7,6.9,146,上海市,121.9235668,30.90046394
海鲜, 浦东新区,46,6.1,6.2,6,77,上海市,121.9226238,30.89948559
浙菜, 浦东新区,54,7.1,7.1,7,50,上海市,121.9225027,30.90187732
快餐, 浦东新区,50,6.8,7,6.9,31,上海市,121.9220313,30.89896156
西餐, 浦东新区,1321,8.5,8.3,7.8,70,上海市,121.9218625,30.89883681
西餐, 浦东新区,636,7.6,9.1,8,68,上海市,121.921295,30.89840868
粤菜, 浦东新区,1421,7.4,7.7,7.5,108,上海市,121.9211199,30.90117024
料理, 浦东新区,251,7.7,7.4,7.8,83,上海市,121.9209531,30.90110145
海鲜, 浦东新区,336,7.5,7.5,7.3,121,上海市,121.9207952,30.90122055
浙菜, 浦东新区,302,7.2,7,6.8,75,上海市,121.9204545,30.90105999
浙菜, 浦东新区,243,7.9,7.5,7.3,64,上海市,121.9203087,30.89958501
咖啡厅, 浦东新区,121,6.6,6.9,6.6,55,上海市,121.9202718,30.89926423
快餐, 浦东新区,41,6.5,6.5,6.5,28,上海市,121.9202159,30.89828986
料理, 浦东新区,62,7.7,7.7,7.7,92,上海市,121.9202128,30.89952614
粤菜, 浦东新区,115,6.2,6.3,6.4,77,上海市,121.9202088,30.89910439
火锅, 浦东新区,259,6.8,6.9,6.8,92,上海市,121.9201878,30.89908143
湘菜, 浦东新区,606,7.2,7.3,7.2,64,上海市,121.920108,30.89787322
浙菜, 浦东新区,335,6.9,7.2,7.1,78,上海市,121.9197896,30.9052402
海鲜, 浦东新区,43,7.3,7.3,7.4,95,上海市,121.9166172,30.88732165
美食, 浦东新区,19,7,6.9,7,52,上海市,121.9158999,30.88454487
火锅, 浦东新区,483,8.4,8.3,8.4,94,上海市,121.9158867,30.88721432
咖啡厅, 浦东新区,166,7,7.6,6.9,81,上海市,121.9158867,30.88721432
助餐, 浦东新区,25,6.6,7.1,7.2,77,上海市,121.9157347,30.88749229
料理, 浦东新区,2,7,7,7,39,上海市,121.9156478,30.88716355
海鲜, 浦东新区,119,7.2,7.1,7.3,70,上海市,121.9147084,30.88545828
川菜, 浦东新区,62,6.8,6.8,6.6,80,上海市,121.9144155,30.88592823
浙菜, 浦东新区,18,7.3,7.4,7.4,73,上海市,121.9137978,30.88568983
川菜, 浦东新区,34,6.9,7.1,6.5,36,上海市,121.9102923,30.88333946
快餐, 浦东新区,2,7.7,6.9,6.9,18,上海市,121.9096544,30.8833608
西餐, 浦东新区,78,7.5,7.5,7.4,49,上海市,121.9087437,30.88200307
咖啡厅, 浦东新区,7,6.8,7.2,7.1,26,上海市,121.9081998,30.88234213
火锅, 浦东新区,16,6.4,6.4,6.1,56,上海市,121.9080618,30.88231321
龙虾, 浦东新区,0,0,0,0,30,上海市,121.9078338,30.88219539
烧烤, 浦东新区,1,6.9,6.9,6.9,30,上海市,121.9078338,30.88219539
