,服装热阻,烹饪方式,皮电信号数据,烹饪持续时长,0.1m温度/℃,0.1m湿度/％,1.1m温度/℃,1.1m湿度/％,1.7m温度/℃,1.7m湿度/％,身体平均温度,黑球温度（tg，℃）,0.1m处风速,1.1m处风速,1.7m处风速,整体热感受
0,0.39,1,2.13584186746999,0.0,25.555,77.855,25.895,75.417,26.066,80.339,33.425,26.4,0.23,0.15,0.15,1
1,0.39,1,4.02250964225851,3.0,25.385,72.288,28.301,66.764,26.407,73.845,33.58599999999999,28.3,0.23,0.15,0.15,2
2,0.39,1,4.69775100626105,6.0,25.409,69.18,31.492,52.27,27.167,68.224,33.73,27.5,0.23,0.15,0.15,2
3,0.39,1,5.10038829965362,9.0,25.506,70.423,31.543,48.889,27.98,67.045,33.649,28.0,0.33,0.15,0.15,2
4,0.39,1,4.82085181046035,12.0,25.482,68.74,31.059,47.579,28.252,64.038,33.717,28.6,0.33,0.15,0.15,4
5,0.39,1,5.65507938415094,15.0,25.531,68.557,31.466,47.285,29.371,62.197,33.904,28.9,0.33,0.15,0.15,4
6,0.39,1,0.670944881231211,18.0,25.725,68.701,32.234,45.619,30.073,60.787,34.02700000000001,29.4,0.33,0.15,0.15,2
7,0.39,1,1.7273370382302,21.0,25.895,69.624,31.747,46.545,30.325,59.016,34.02,29.5,0.28,0.49,0.15,4
8,0.39,1,0.812475356061512,24.0,26.017,69.836,31.313,48.89,29.998,58.773,34.144999999999996,29.4,0.28,0.49,0.15,4
9,0.39,1,0.949436198208372,27.0,25.749,69.273,31.262,48.488,30.3,59.078,34.281,29.5,0.15,0.28,0.32,4
10,0.39,1,1.3414158889014,30.0,25.798,70.3,31.364,48.747,30.3,59.134,34.223,29.9,0.15,0.25,0.17,4
11,0.39,1,2.31165752887089,33.0,26.066,70.062,31.619,48.209,30.375,57.241,34.244,29.8,0.15,0.25,0.17,4
12,0.39,1,2.13168551464813,36.0,26.285,68.262,31.67,47.444,30.502,57.961,34.288,20.1,0.32,0.24,0.22,5
13,0.39,2,1.65554444132511,0.0,25.725,69.462,27.216,68.714,27.069,75.297,34.038,26.9,0.16,0.2,0.24,2
14,0.39,2,2.12449534634472,3.0,25.798,71.252,29.998,61.388,28.599,69.213,33.975,27.6,0.16,0.2,0.24,2
15,0.39,2,3.56980275846605,6.0,25.798,68.171,31.034,54.106,28.897,62.041,33.884,28.8,0.15,0.14,0.23,3
16,0.39,2,4.05439487931433,9.0,25.603,65.281,30.325,50.185,29.022,58.056,33.965999999999994,28.6,0.17,0.12,0.23,1
17,0.39,2,4.20869400224242,12.0,25.264,62.137,28.847,49.496,28.252,55.186,34.108999999999995,28.4,0.19,0.12,0.15,1
18,0.39,2,4.9807534365222,15.0,24.948,59.994,28.177,49.636,27.733,54.177,34.129,28.4,0.26,0.19,0.36,1
19,0.39,2,5.19020178970928,18.0,24.924,60.399,30.426,46.52,28.549,53.235,33.614999999999995,29.2,0.26,0.19,0.36,4
20,0.39,2,5.15727325970561,21.0,25.167,64.81,31.594,45.302,28.4,55.526,33.714999999999996,29.6,0.55,0.14,0.12,4
21,0.39,2,5.12124670685424,24.0,25.264,65.507,32.029,44.214,28.227,57.113,33.788000000000004,29.9,0.25,0.14,0.32,4
22,0.39,2,4.80587668862349,27.0,25.312,65.39,32.08,43.283,27.93,57.677,33.826,30.1,0.35,0.32,0.07,3
23,0.39,2,1.92584096763354,30.0,25.361,64.851,32.286,42.655,27.856,57.694,33.907000000000004,30.4,0.23,0.16,0.05,4
24,0.38,1,2.02406224832217,0.0,25.676,73.062,26.407,71.342,26.188,75.749,32.444,26.1,0.15,0.05,0.15,1
25,0.38,1,2.19651187675064,3.0,25.385,65.594,27.634,62.009,26.359,68.564,32.541000000000004,27.4,0.15,0.05,0.15,2
26,0.38,1,2.62785697478995,6.0,25.458,64.322,29.421,54.747,27.118,64.23,32.574,28.3,0.08,0.1,0.1,2
27,0.38,1,3.08713593592476,9.0,25.458,65.887,30.603,51.29,27.757,61.507,32.385000000000005,29.2,0.24,0.11,0.05,2
28,0.38,1,2.49858989493895,12.0,25.361,65.489,31.288,47.509,27.93,59.235,32.495,29.7,0.24,0.11,0.05,3
29,0.38,1,2.32290534552388,15.0,25.409,66.62,31.926,46.371,28.128,59.916,32.467,30.4,0.16,0.12,0.06,4
30,0.38,1,2.27188565652016,18.0,25.603,67.322,32.337,45.924,28.45,60.694,32.256,30.8,0.16,0.09,0.09,4
31,0.38,1,2.39581200743068,21.0,25.555,64.204,32.08,43.84,28.475,57.469,32.224,30.9,0.16,0.09,0.09,3
32,0.38,1,2.66342811762057,24.0,25.774,69.014,31.773,48.471,28.549,62.317,32.332,29.7,0.24,0.16,0.03,3
33,0.38,1,2.37470183152237,27.0,25.993,68.448,31.952,51.057,28.847,65.183,32.257000000000005,30.1,0.24,0.16,0.03,4
34,0.38,1,2.38928109886412,30.0,26.042,68.44,32.08,47.485,28.972,60.685,32.192,30.1,0.15,0.1,0.08,4
35,0.38,1,2.51935148938585,33.0,25.871,64.142,32.003,44.652,28.847,57.141,32.232,29.7,0.15,0.1,0.08,3
36,0.38,1,3.10815484906524,36.0,25.676,61.552,31.161,43.535,28.574,54.929,32.362,28.7,0.15,0.15,0.18,2
37,0.38,1,3.29754610389638,39.0,25.458,59.97,30.577,44.097,28.153,54.277,32.223,28.4,0.15,0.15,0.18,2
