地区,食品,衣着,居住,家庭设备及服务,交通和通讯, 文教娱乐用品及服务,医疗保健,其他用品及服务
北京,2132.51 ,513.44 ,1023.21 ,340.15 ,778.52 ,870.12 ,629.56 ,111.75 
天津,1367.75 ,286.33 ,674.81 ,126.74 ,400.11 ,312.07 ,306.19 ,64.30 
河北,1025.72 ,185.68 ,627.98 ,140.45 ,318.19 ,243.30 ,188.06 ,57.40 
山西,1033.68 ,260.88 ,392.78 ,120.86 ,268.75 ,370.97 ,170.85 ,63.81 
内蒙古,1280.05 ,228.40 ,473.98 ,117.64 ,375.58 ,423.75 ,281.46 ,75.29 
辽宁,1334.18 ,281.19 ,513.11 ,142.07 ,361.77 ,362.78 ,265.01 ,108.05 
吉林,1240.93 ,227.96 ,399.11 ,120.95 ,337.46 ,339.77 ,311.37 ,87.89 
黑龙江,1077.34 ,254.01 ,691.02 ,104.99 ,335.28 ,312.32 ,272.49 ,69.98 
上海,3259.48 ,475.51 ,2097.21 ,451.40 ,883.71 ,857.47 ,571.06 ,249.04 
江苏,1968.88 ,251.29 ,752.73 ,228.51 ,543.97 ,642.52 ,263.85 ,134.41 
浙江,2430.60 ,405.32 ,1498.50 ,338.80 ,782.98 ,750.69 ,452.44 ,142.26 
安徽,1192.57 ,166.31 ,479.46 ,144.23 ,258.29 ,283.17 ,177.04 ,52.98 
福建,1870.32 ,235.61 ,660.55 ,184.21 ,465.40 ,356.26 ,174.12 ,107.00 
江西,1492.02 ,147.71 ,474.49 ,121.54 ,277.15 ,252.78 ,167.71 ,61.08 
山东,1369.20 ,224.18 ,682.13 ,195.99 ,422.36 ,424.89 ,230.84 ,71.98 
河南,1017.43 ,189.71 ,615.62 ,136.37 ,269.46 ,212.36 ,173.19 ,62.26 
湖北,1479.04 ,168.64 ,434.91 ,166.25 ,281.12 ,284.13 ,178.77 ,97.13 
湖南,1675.16 ,161.79 ,508.33 ,152.60 ,278.78 ,293.89 ,219.95 ,86.88 
广东,2087.58 ,162.33 ,763.01 ,163.85 ,443.24 ,254.94 ,199.31 ,128.06 
广西,1378.78 ,86.90 ,554.14 ,112.24 ,245.97 ,172.45 ,149.01 ,47.98 
海南,1430.31 ,86.26 ,305.90 ,93.26 ,248.08 ,223.98 ,95.55 ,73.23 
重庆,1376.00 ,136.34 ,263.73 ,138.34 ,208.69 ,195.97 ,168.57 ,39.06 
四川,1435.52 ,156.65 ,366.45 ,142.64 ,241.49 ,177.19 ,174.75 ,52.56 
贵州,998.39 ,99.44 ,329.64 ,70.93 ,154.52 ,147.31 ,79.31 ,34.16 
云南,1226.69 ,112.52 ,586.07 ,107.15 ,216.67 ,181.73 ,167.92 ,38.43 
西藏,1079.83 ,245.00 ,418.83 ,133.26 ,156.57 ,65.39 ,50.00 ,68.74 
陕西,941.81 ,161.08 ,512.40 ,106.80 ,254.74 ,304.54 ,222.51 ,55.71 
甘肃,944.14 ,112.20 ,295.23 ,91.40 ,186.17 ,208.90 ,149.82 ,29.36 
青海,1069.04 ,191.80 ,359.74 ,122.17 ,292.10 ,135.13 ,229.28 ,47.23 
宁夏,1019.35 ,184.26 ,450.55 ,109.27 ,265.76 ,192.00 ,239.40 ,68.17 
新疆,939.03 ,218.18 ,445.02 ,91.45 ,234.70 ,166.27 ,210.69 ,45.25 
