orderid,bikeid,userid,time,start_location_x,start_location_y,end_time,end_location_x,end_location_y,lag,weekday,hour
891333,92776,6605,2016/8/29 19:09,121.508,31.279,2016/8/29 19:31,121.489,31.271,22,1,19
1389484,196259,10648,2016/8/23 21:34,121.484,31.32,2016/8/23 21:43,121.471,31.325,9,2,21
441362,331921,11705,2016/8/31 8:16,121.529,31.324,2016/8/31 8:19,121.532,31.323,3,3,8
76435,347335,8135,2016/8/30 12:49,121.467,31.32,2016/8/30 13:03,121.447,31.318,14,2,12
903987,13745,3117,2016/8/9 19:51,121.514,31.307,2016/8/9 19:59,121.51,31.304,8,2,19
163153,129925,9763,2016/8/9 8:33,121.551,31.279,2016/8/9 8:40,121.558,31.272,7,2,8
1718308,291555,9867,2016/8/24 16:32,121.528,31.309,2016/8/24 16:45,121.523,31.321,13,3,16
1660785,74378,3637,2016/8/6 22:30,121.59,31.243,2016/8/6 22:41,121.584,31.246,11,6,22
1796188,210920,4156,2016/8/24 22:52,121.483,31.278,2016/8/24 23:02,121.473,31.273,10,3,22
737601,58198,6349,2016/8/1 17:57,121.513,31.302,2016/8/1 18:19,121.541,31.311,22,1,17
1399630,44728,5944,2016/8/22 18:27,121.506,31.329,2016/8/22 18:33,121.501,31.335,6,1,18
466460,240822,12012,2016/8/21 22:13,121.533,31.318,2016/8/21 22:42,121.502,31.309,29,7,22
381450,354203,958,2016/8/28 10:03,121.476,31.27,2016/8/28 10:24,121.484,31.263,21,7,10
332076,245356,10316,2016/8/31 7:55,121.5,31.302,2016/8/31 8:21,121.489,31.294,26,3,7
1802934,320611,1211,2016/8/26 22:05,121.504,31.305,2016/8/26 22:27,121.5,31.308,22,5,22
785926,135461,8752,2016/8/18 19:57,121.459,31.297,2016/8/18 20:10,121.47,31.306,13,4,19
638449,190411,5564,2016/8/20 17:44,121.477,31.267,2016/8/20 18:35,121.441,31.304,51,6,17
1630164,143066,11182,2016/8/24 13:32,121.436,31.328,2016/8/24 13:44,121.439,31.327,12,3,13
1623489,151285,17526,2016/8/27 21:52,121.478,31.289,2016/8/27 22:14,121.476,31.292,22,6,21
256130,150767,10915,2016/8/20 10:55,121.447,31.319,2016/8/20 11:01,121.444,31.314,6,6,10
1224745,265172,3236,2016/8/30 15:01,121.59,31.279,2016/8/30 15:17,121.593,31.282,16,2,15
573805,46868,15228,2016/8/27 11:41,121.52,31.269,2016/8/27 11:49,121.51,31.262,8,6,11
1637429,61888,4950,2016/8/26 14:06,121.507,31.316,2016/8/26 14:15,121.515,31.309,9,5,14
143407,86659,4692,2016/8/1 8:11,121.453,31.335,2016/8/1 8:22,121.441,31.331,11,1,8
215492,55494,5215,2016/8/17 6:52,121.526,31.331,2016/8/17 6:55,121.527,31.328,3,3,6
349812,187838,1744,2016/8/19 7:49,121.547,31.288,2016/8/19 8:01,121.528,31.279,12,5,7
1802844,321203,12774,2016/8/26 22:05,121.532,31.316,2016/8/26 22:13,121.541,31.318,8,5,22
324947,85350,2791,2016/8/5 15:25,121.507,31.3,2016/8/5 16:02,121.522,31.329,37,5,15
1398230,30801,3914,2016/8/12 21:10,121.523,31.279,2016/8/12 21:36,121.526,31.252,26,5,21
748550,136503,7423,2016/8/3 22:08,121.483,31.237,2016/8/3 22:26,121.484,31.234,18,3,22
1012072,118230,4215,2016/8/4 20:04,121.486,31.347,2016/8/4 20:20,121.48,31.334,16,4,20
1231225,70244,1101,2016/8/13 17:34,121.609,31.279,2016/8/13 17:43,121.602,31.284,9,6,17
1648085,157833,7293,2016/8/6 21:17,121.48,31.269,2016/8/6 22:05,121.479,31.311,48,6,21
758465,289058,6502,2016/8/21 19:25,121.481,31.335,2016/8/21 19:33,121.488,31.338,8,7,19
461206,244938,11510,2016/8/20 15:10,121.429,31.349,2016/8/20 15:15,121.422,31.35,5,6,15
1529422,141622,1776,2016/8/6 13:25,121.495,31.269,2016/8/6 13:35,121.492,31.262,10,6,13
408144,286826,16130,2016/8/29 12:04,121.543,31.215,2016/8/29 12:11,121.53,31.214,7,1,12
1266384,241381,13031,2016/8/23 18:46,121.458,31.279,2016/8/23 18:52,121.465,31.277,6,2,18
413390,185260,3411,2016/8/31 8:08,121.49,31.277,2016/8/31 8:27,121.487,31.253,19,3,8
