orderid,bikeid,userid,time,start_location_x,start_location_y,end_time,end_location_x,end_location_y,lag,weekday,hour
1551958,262199,12460,2016/8/31 18:12,121.626,31.279,2016/8/31 18:24,121.615,31.268,12,3,18
1313675,24538,7690,2016/8/12 18:50,121.627,31.28,2016/8/12 18:56,121.625,31.287,6,5,18
1281089,137288,3130,2016/8/16 17:45,121.654,31.27,2016/8/16 17:54,121.638,31.264,9,2,17
504952,342470,4823,2016/8/27 11:03,121.654,31.269,2016/8/27 11:10,121.649,31.272,7,6,11
1326287,249230,13105,2016/8/28 16:49,121.621,31.257,2016/8/28 18:33,121.613,31.254,104,7,16
188812,340052,2850,2016/8/29 8:36,121.627,31.239,2016/8/29 8:45,121.617,31.253,9,1,8
849805,255079,2165,2016/8/21 20:59,121.677,31.282,2016/8/21 21:05,121.676,31.277,6,7,20
1213707,56216,10082,2016/8/23 18:03,121.628,31.279,2016/8/23 18:19,121.601,31.273,16,2,18
331292,183671,2130,2016/8/10 13:36,121.62,31.253,2016/8/10 13:40,121.614,31.251,4,3,13
743193,123787,7631,2016/8/27 13:06,121.638,31.263,2016/8/27 13:21,121.64,31.272,15,6,13
1800320,339272,16308,2016/8/26 21:32,121.67,31.286,2016/8/26 21:42,121.672,31.284,10,5,21
29745,329885,11424,2016/8/27 5:40,121.622,31.29,2016/8/27 5:54,121.603,31.28,14,6,5
311302,22359,718,2016/8/16 7:59,121.626,31.28,2016/8/16 8:07,121.628,31.272,8,2,7
1744745,320819,12694,2016/8/26 17:41,121.619,31.263,2016/8/26 17:57,121.602,31.265,16,5,17
254784,225521,9852,2016/8/15 7:51,121.626,31.279,2016/8/15 8:04,121.635,31.283,13,1,7
770476,321723,4922,2016/8/25 9:26,121.62,31.263,2016/8/25 9:42,121.612,31.282,16,4,9
189662,311882,11885,2016/8/28 9:00,121.633,31.239,2016/8/28 9:24,121.68,31.241,24,7,9
1214285,285486,6287,2016/8/24 9:10,121.638,31.264,2016/8/24 9:20,121.623,31.259,10,3,9
257459,365234,15603,2016/8/29 9:14,121.626,31.26,2016/8/29 9:18,121.621,31.257,4,1,9
1527689,365076,767,2016/8/31 18:03,121.631,31.256,2016/8/31 18:28,121.593,31.267,25,3,18
1755753,297689,16724,2016/8/26 18:17,121.626,31.26,2016/8/26 18:50,121.582,31.241,33,5,18
281859,217699,718,2016/8/15 7:59,121.65,31.267,2016/8/15 8:06,121.638,31.264,7,1,7
800622,80368,7555,2016/8/20 19:47,121.635,31.313,2016/8/20 20:24,121.634,31.312,37,6,19
1621445,54472,12914,2016/8/26 14:00,121.632,31.309,2016/8/26 14:06,121.63,31.317,6,5,14
1056908,274769,12910,2016/8/26 8:38,121.626,31.253,2016/8/26 8:48,121.627,31.266,10,5,8
1385434,180634,6409,2016/8/19 19:31,121.671,31.283,2016/8/19 19:51,121.679,31.281,20,5,19
1793504,190096,12359,2016/8/26 20:52,121.652,31.273,2016/8/26 21:05,121.667,31.269,13,5,20
1448477,163118,4529,2016/8/30 17:28,121.635,31.27,2016/8/30 18:00,121.673,31.288,32,2,17
971274,50012,8046,2016/8/31 12:04,121.626,31.26,2016/8/31 12:36,121.627,31.258,32,3,12
1469128,375647,3567,2016/8/31 17:39,121.631,31.263,2016/8/31 18:09,121.682,31.25,30,3,17
325333,241416,12780,2016/8/29 10:13,121.628,31.26,2016/8/29 10:29,121.612,31.248,16,1,10
1737642,247492,7535,2016/8/31 23:35,121.652,31.273,2016/8/31 23:53,121.671,31.29,18,3,23
199847,146392,7690,2016/8/15 7:24,121.625,31.287,2016/8/15 7:40,121.605,31.284,16,1,7
308888,285546,1516,2016/8/30 7:44,121.626,31.28,2016/8/30 7:52,121.627,31.27,8,2,7
17263,335429,15208,2016/8/29 6:20,121.651,31.272,2016/8/29 6:34,121.627,31.28,14,1,6
1280821,107520,3323,2016/8/16 17:42,121.623,31.259,2016/8/16 18:29,121.564,31.213,47,2,17
1235895,55700,3192,2016/8/23 18:21,121.618,31.263,2016/8/23 18:36,121.601,31.275,15,2,18
513928,190096,1956,2016/8/13 9:51,121.681,31.278,2016/8/13 10:09,121.649,31.272,18,6,9
739689,227691,10913,2016/8/15 13:31,121.652,31.274,2016/8/15 13:42,121.649,31.278,11,1,13
697060,137859,7781,2016/8/3 20:23,121.667,31.269,2016/8/3 21:09,121.681,31.277,46,3,20
1609603,344315,13342,2016/8/28 19:19,121.651,31.265,2016/8/28 20:01,121.593,31.261,42,7,19
1745095,261782,1877,2016/8/24 18:04,121.62,31.263,2016/8/24 18:10,121.612,31.264,6,3,18
96659,41785,6287,2016/8/25 7:16,121.651,31.272,2016/8/25 7:32,121.639,31.264,16,4,7
557512,75912,6149,2016/8/20 16:42,121.627,31.266,2016/8/20 16:52,121.614,31.264,10,6,16
1140464,330387,2996,2016/8/25 22:47,121.668,31.285,2016/8/25 23:13,121.674,31.288,26,4,22
515219,186722,8495,2016/8/11 11:22,121.625,31.271,2016/8/11 11:29,121.627,31.264,7,4,11
1376027,297689,752,2016/8/22 18:03,121.63,31.261,2016/8/22 18:22,121.627,31.239,19,1,18
981869,193845,2981,2016/8/12 7:25,121.633,31.304,2016/8/12 7:45,121.626,31.28,20,5,7
1075511,313807,10939,2016/8/25 21:08,121.651,31.259,2016/8/25 21:22,121.654,31.27,14,4,21
297819,197884,1439,2016/8/17 7:26,121.626,31.279,2016/8/17 7:36,121.621,31.268,10,3,7
991053,260477,16385,2016/8/25 19:42,121.638,31.263,2016/8/25 20:08,121.627,31.239,26,4,19
1803226,339654,2981,2016/8/26 22:09,121.654,31.27,2016/8/26 22:16,121.655,31.261,7,5,22
135546,155488,3541,2016/8/27 7:51,121.676,31.253,2016/8/27 7:57,121.672,31.245,6,6,7
65912,362857,10994,2016/8/29 7:29,121.677,31.282,2016/8/29 8:24,121.593,31.246,55,1,7
1374440,374517,16356,2016/8/31 16:58,121.638,31.264,2016/8/31 17:06,121.627,31.255,8,3,16
1724119,386933,1026,2016/8/31 21:26,121.652,31.273,2016/8/31 21:31,121.654,31.276,5,3,21
747865,323048,15208,2016/8/26 7:51,121.627,31.238,2016/8/26 8:14,121.592,31.245,23,5,7
176171,277720,6861,2016/8/27 8:12,121.672,31.29,2016/8/27 8:25,121.663,31.274,13,6,8
1061744,47327,5158,2016/8/11 19:10,121.619,31.264,2016/8/11 19:19,121.609,31.27,9,4,19
1014324,357211,8738,2016/8/30 12:25,121.627,31.26,2016/8/30 12:31,121.628,31.257,6,2,12
1011121,132781,6953,2016/8/12 7:58,121.626,31.28,2016/8/12 8:15,121.625,31.248,17,5,7
791725,49981,472,2016/8/29 17:32,121.622,31.247,2016/8/29 17:51,121.638,31.264,19,1,17
186545,132781,5629,2016/8/11 7:44,121.626,31.28,2016/8/11 8:05,121.625,31.248,21,4,7
1498323,163746,2776,2016/8/17 19:06,121.638,31.263,2016/8/17 19:20,121.651,31.272,14,3,19
1744016,263351,7019,2016/8/26 17:37,121.631,31.268,2016/8/26 17:45,121.626,31.279,8,5,17
1257527,147320,4784,2016/8/17 16:39,121.634,31.283,2016/8/17 16:44,121.627,31.279,5,3,16
52422,319907,11245,2016/8/29 7:19,121.63,31.239,2016/8/29 7:39,121.622,31.259,20,1,7
216854,341322,11765,2016/8/27 8:34,121.625,31.277,2016/8/27 8:48,121.605,31.279,14,6,8
884808,260855,12389,2016/8/18 21:38,121.676,31.277,2016/8/18 22:37,121.679,31.28,59,4,21
114015,2452,2911,2016/8/2 9:51,121.655,31.268,2016/8/2 10:06,121.638,31.263,15,2,9
1758918,244123,7598,2016/8/26 18:26,121.634,31.258,2016/8/26 18:33,121.638,31.263,7,5,18
1645535,362500,16997,2016/8/30 19:42,121.639,31.263,2016/8/30 19:57,121.65,31.272,15,2,19
139292,26709,1956,2016/8/10 7:56,121.626,31.28,2016/8/10 8:03,121.634,31.277,7,3,7
1227626,276584,1722,2016/8/23 18:10,121.625,31.242,2016/8/23 18:31,121.62,31.211,21,2,18
1634929,238038,2165,2016/8/17 21:28,121.638,31.263,2016/8/17 21:57,121.662,31.294,29,3,21
877496,164824,8495,2016/8/11 17:44,121.627,31.264,2016/8/11 18:09,121.634,31.263,25,4,17
399970,193385,1026,2016/8/24 6:00,121.681,31.277,2016/8/24 6:07,121.669,31.275,7,3,6
416601,114514,2911,2016/8/1 12:49,121.628,31.279,2016/8/1 13:02,121.626,31.26,13,1,12
1503237,247074,5271,2016/8/31 17:51,121.62,31.253,2016/8/31 18:08,121.609,31.268,17,3,17
1362684,332262,17001,2016/8/30 16:44,121.628,31.271,2016/8/30 17:08,121.667,31.278,24,2,16
429311,184354,9235,2016/8/18 15:09,121.623,31.259,2016/8/18 15:28,121.638,31.264,19,4,15
1733333,329033,13526,2016/8/26 17:05,121.664,31.278,2016/8/26 17:19,121.679,31.276,14,5,17
21632,339831,6371,2016/8/27 4:07,121.677,31.262,2016/8/27 4:08,121.676,31.264,1,6,4
1677819,281939,11581,2016/8/31 19:29,121.621,31.283,2016/8/31 20:26,121.592,31.295,57,3,19
431637,247219,3567,2016/8/19 8:10,121.693,31.273,2016/8/19 8:40,121.66,31.277,30,5,8
795137,287232,2165,2016/8/21 20:03,121.668,31.285,2016/8/21 20:22,121.667,31.278,19,7,20
1357529,213056,3851,2016/8/16 18:20,121.618,31.246,2016/8/16 18:50,121.61,31.292,30,2,18
217455,283110,10642,2016/8/27 8:42,121.629,31.27,2016/8/27 8:53,121.613,31.265,11,6,8
427452,217684,6287,2016/8/26 6:49,121.675,31.275,2016/8/26 7:10,121.638,31.264,21,5,6
1172799,141334,6448,2016/8/11 20:22,121.634,31.263,2016/8/11 20:59,121.626,31.28,37,4,20
1375708,47327,6448,2016/8/12 20:34,121.65,31.274,2016/8/12 21:31,121.607,31.271,57,5,20
1378255,335177,1350,2016/8/30 16:57,121.623,31.26,2016/8/30 17:41,121.635,31.316,44,2,16
1122926,303016,11125,2016/8/25 22:18,121.653,31.272,2016/8/25 23:18,121.671,31.286,60,4,22
700705,365234,16508,2016/8/30 9:16,121.623,31.26,2016/8/30 9:19,121.621,31.257,3,2,9
1503618,385092,16726,2016/8/31 17:54,121.656,31.266,2016/8/31 18:01,121.665,31.268,7,3,17
1703519,363922,4781,2016/8/28 22:52,121.667,31.275,2016/8/28 23:09,121.672,31.277,17,7,22
758148,52424,1877,2016/8/25 17:23,121.619,31.262,2016/8/25 17:29,121.613,31.263,6,4,17
1595940,330779,16409,2016/8/31 18:34,121.638,31.264,2016/8/31 19:09,121.601,31.273,35,3,18
1677066,353597,4250,2016/8/30 20:54,121.618,31.249,2016/8/30 21:21,121.576,31.236,27,2,20
1064346,325092,6216,2016/8/27 15:50,121.657,31.262,2016/8/27 15:59,121.64,31.264,9,6,15
1408968,174101,1553,2016/8/30 17:11,121.627,31.27,2016/8/30 17:18,121.626,31.28,7,2,17
1184303,77156,12903,2016/8/23 17:34,121.62,31.263,2016/8/23 17:45,121.638,31.264,11,2,17
1449226,335664,718,2016/8/27 19:36,121.638,31.264,2016/8/27 19:45,121.651,31.265,9,6,19
232280,212948,1026,2016/8/25 8:26,121.655,31.266,2016/8/25 8:36,121.639,31.264,10,4,8
605672,161496,7914,2016/8/7 23:10,121.652,31.273,2016/8/7 23:49,121.655,31.266,39,7,23
351113,12413,6382,2016/8/20 12:50,121.671,31.291,2016/8/20 13:13,121.655,31.267,23,6,12
1494332,28519,7554,2016/8/22 20:42,121.627,31.279,2016/8/22 20:54,121.65,31.274,12,1,20
650468,21266,7760,2016/8/15 11:53,121.627,31.261,2016/8/15 12:42,121.653,31.267,49,1,11
52093,230833,10922,2016/8/16 5:35,121.63,31.239,2016/8/16 6:17,121.635,31.283,42,2,5
1659499,24538,6270,2016/8/31 19:08,121.626,31.279,2016/8/31 19:13,121.625,31.287,5,3,19
789265,125821,1101,2016/8/11 16:58,121.623,31.26,2016/8/11 17:35,121.586,31.274,37,4,16
743503,198275,13157,2016/8/27 13:10,121.655,31.267,2016/8/27 14:41,121.682,31.269,91,6,13
1509354,310193,3785,2016/8/26 12:27,121.683,31.275,2016/8/26 12:36,121.686,31.261,9,5,12
291027,4185,376,2016/8/3 13:42,121.631,31.279,2016/8/3 13:43,121.627,31.28,1,3,13
1140718,330479,4781,2016/8/25 22:55,121.672,31.283,2016/8/25 23:19,121.67,31.286,24,4,22
784030,214826,3541,2016/8/21 19:53,121.628,31.257,2016/8/21 20:02,121.638,31.264,9,7,19
176507,339654,2981,2016/8/27 8:17,121.655,31.261,2016/8/27 8:29,121.639,31.263,12,6,8
816485,282274,3541,2016/8/21 20:25,121.638,31.264,2016/8/21 20:37,121.655,31.257,12,7,20
1270707,184354,8073,2016/8/30 15:38,121.619,31.262,2016/8/30 15:58,121.639,31.264,20,2,15
1501820,300263,8983,2016/8/27 20:11,121.653,31.266,2016/8/27 20:31,121.634,31.263,20,6,20
1374835,236019,431,2016/8/31 17:02,121.628,31.271,2016/8/31 17:07,121.626,31.28,5,3,17
1704246,366779,7902,2016/8/31 20:04,121.621,31.257,2016/8/31 20:25,121.593,31.258,21,3,20
1899,315239,7598,2016/8/28 2:35,121.685,31.262,2016/8/28 2:49,121.681,31.277,14,7,2
532790,341059,2981,2016/8/27 11:21,121.655,31.28,2016/8/27 11:41,121.638,31.264,20,6,11
