年份,地级市,邻1,邻2,邻3
2007,北京市,
2007,天津市,
2007,长春市,吉林市,松原市,四平市
2007,吉林市,松原市,四平市,通化市
2007,四平市,通化市,松原市,白山市
2007,辽源市,白城市,白山市,通化市
2007,通化市,白山市,四平市,白城市
2007,白山市,白城市,辽源市,通化市
2007,松原市,四平市,通化市,白山市
2007,白城市,白山市,辽源市,通化市
2007,上海市,
2007,镇江市,泰州市,扬州市,盐城市
2007,泰州市,镇江市,扬州市,盐城市
2007,宿迁市,连云港市,淮安市,泰州市
2007,杭州市,宁波市,温州市,绍兴市
2007,宁波市,杭州市,温州市,绍兴市
2007,台州市,嘉兴市,绍兴市,金华市
2007,丽水市,舟山市,衢州市,湖州市
2007,南昌市,赣州市,九江市,上饶市
2007,景德镇市,新余市,鹰潭市,萍乡市
2007,萍乡市,新余市,抚州市,景德镇市
2007,九江市,上饶市,宜春市,赣州市
2007,新余市,景德镇市,萍乡市,鹰潭市
2007,鹰潭市,景德镇市,新余市,萍乡市
2007,赣州市,九江市,上饶市,宜春市
2007,吉安市,抚州市,萍乡市,宜春市
2007,宜春市,上饶市,九江市,吉安市
2007,抚州市,吉安市,萍乡市,新余市
2007,上饶市,宜春市,九江市,吉安市
2007,济南市,烟台市,潍坊市,淄博市
2007,青岛市,烟台市,济南市,潍坊市
2007,淄博市,潍坊市,济宁市,东营市
2007,枣庄市,聊城市,滨州市,菏泽市
2007,东营市,临沂市,济宁市,威海市
2007,烟台市,济南市,潍坊市,青岛市
2007,潍坊市,淄博市,济宁市,东营市
2007,济宁市,东营市,临沂市,威海市
2007,泰安市,德州市,滨州市,聊城市
2007,威海市,临沂市,东营市,济宁市
2007,日照市,菏泽市,莱芜市,枣庄市
2007,莱芜市,日照市,菏泽市,枣庄市
2007,临沂市,东营市,济宁市,威海市
2007,德州市,泰安市,滨州市,聊城市
2007,聊城市,滨州市,枣庄市,德州市
2007,滨州市,聊城市,枣庄市,德州市
2007,菏泽市,日照市,枣庄市,莱芜市
2007,长沙市,岳阳市,常德市,衡阳市
2007,株洲市,衡阳市,郴州市,常德市
2007,湘潭市,永州市,邵阳市,娄底市
2007,衡阳市,常德市,株洲市,岳阳市
2007,邵阳市,永州市,湘潭市,娄底市
2007,岳阳市,常德市,衡阳市,株洲市
2007,常德市,衡阳市,岳阳市,株洲市
2007,张家界市,怀化市,益阳市,娄底市
2007,益阳市,娄底市,怀化市,邵阳市
2007,郴州市,株洲市,湘潭市,永州市
2007,永州市,湘潭市,邵阳市,娄底市
2007,怀化市,益阳市,娄底市,邵阳市
2007,娄底市,益阳市,怀化市,邵阳市
2007,广州市,深圳市,佛山市,东莞市
2007,韶关市,梅州市,阳江市,潮州市
2007,深圳市,广州市,佛山市,东莞市
2007,珠海市,湛江市,汕头市,茂名市
2007,汕头市,湛江市,珠海市,茂名市
2007,佛山市,东莞市,中山市,江门市
2007,江门市,惠州市,茂名市,中山市
2007,湛江市,珠海市,汕头市,茂名市
2007,茂名市,惠州市,江门市,珠海市
2007,肇庆市,清远市,揭阳市,韶关市
2007,惠州市,江门市,茂名市,中山市
2007,梅州市,阳江市,潮州市,韶关市
2007,汕尾市,云浮市,河源市,潮州市
2007,河源市,汕尾市,潮州市,云浮市
2007,阳江市,梅州市,潮州市,韶关市
2007,清远市,肇庆市,揭阳市,韶关市
2007,东莞市,佛山市,中山市,江门市
2007,中山市,江门市,惠州市,茂名市
2007,潮州市,阳江市,梅州市,河源市
2007,揭阳市,肇庆市,清远市,韶关市
2007,云浮市,汕尾市,河源市,潮州市
2007,海口市,三亚市
2007,三亚市,海口市
2007,重庆市,
2007,商洛市,安康市,铜川市,汉中市
2007,银川市,石嘴山市,吴忠市,中卫市
2007,石嘴山市,吴忠市,中卫市,固原市
2007,吴忠市,石嘴山市,中卫市,固原市
2007,固原市,中卫市,吴忠市,石嘴山市
2007,中卫市,固原市,吴忠市,石嘴山市
2007,鄂尔多斯市,呼和浩特市,包头市,赤峰市
2007,沈阳市,大连市,鞍山市,营口市
2007,大连市,沈阳市,鞍山市,营口市
2007,鞍山市,营口市,盘锦市,锦州市
2007,抚顺市,锦州市,盘锦市,营口市
2007,本溪市,辽阳市,丹东市,抚顺市
2007,丹东市,辽阳市,本溪市,葫芦岛市
2007,锦州市,抚顺市,盘锦市,营口市
2007,营口市,盘锦市,锦州市,抚顺市
2007,阜新市,朝阳市,铁岭市,葫芦岛市
2007,辽阳市,丹东市,本溪市,葫芦岛市
2007,盘锦市,营口市,锦州市,抚顺市
2007,铁岭市,葫芦岛市,丹东市,辽阳市
2007,朝阳市,铁岭市,葫芦岛市,丹东市
2007,葫芦岛市,铁岭市,丹东市,辽阳市
2007,南京市,无锡市,南通市,常州市
2007,绍兴市,温州市,台州市,嘉兴市
2007,嘉兴市,金华市,台州市,绍兴市
2007,舟山市,丽水市,衢州市,湖州市
2007,温州市,绍兴市,台州市,嘉兴市
2007,金华市,嘉兴市,台州市,绍兴市
2007,衢州市,丽水市,舟山市,湖州市
2007,湖州市,衢州市,丽水市,舟山市
2007,阜阳市,滁州市,六安市,宿州市
2007,拉萨市,日喀则市,昌都市,那曲地区
2007,昌都市,那曲地区,林芝市,山南市
2007,山南市,林芝市,那曲地区,昌都市
2007,日喀则市,昌都市,那曲地区,林芝市
2007,西宁市,海西蒙古族藏族自治州,海东市,海南藏族自治州
2007,海东市,海南藏族自治州,海北藏族自治州,黄南藏族自治州
2007,海北藏族自治州,黄南藏族自治州,玉树藏族自治州,海南藏族自治州
2007,黄南藏族自治州,海北藏族自治州,玉树藏族自治州,海南藏族自治州
2007,海南藏族自治州,海北藏族自治州,黄南藏族自治州,玉树藏族自治州
2007,果洛藏族自治州,玉树藏族自治州,黄南藏族自治州,海北藏族自治州
2007,玉树藏族自治州,果洛藏族自治州,黄南藏族自治州,海北藏族自治州
2007,海西蒙古族藏族自治州,海东市,西宁市,海南藏族自治州
2007,贵阳市,遵义市,毕节市,六盘水市
2007,六盘水市,毕节市,黔南布依族苗族自治州,黔东南苗族侗族自治州
2007,遵义市,贵阳市,毕节市,六盘水市
2007,安顺市,黔西南布依族苗族自治州,铜仁市,黔东南苗族侗族自治州
2007,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,安顺市
2007,黔西南布依族苗族自治州,铜仁市,安顺市,黔东南苗族侗族自治州
2007,毕节市,六盘水市,黔南布依族苗族自治州,黔东南苗族侗族自治州
2007,黔东南苗族侗族自治州,铜仁市,黔南布依族苗族自治州,黔西南布依族苗族自治州
2007,黔南布依族苗族自治州,黔东南苗族侗族自治州,铜仁市,黔西南布依族苗族自治州
2007,无锡市,南京市,南通市,苏州市
2007,徐州市,常州市,盐城市,扬州市
2007,常州市,徐州市,南通市,盐城市
2007,苏州市,无锡市,南京市,南通市
2007,南通市,常州市,徐州市,盐城市
2007,连云港市,宿迁市,淮安市,泰州市
2007,淮安市,连云港市,宿迁市,泰州市
2007,盐城市,扬州市,镇江市,泰州市
2007,扬州市,盐城市,镇江市,泰州市
2007,那曲地区,林芝市,山南市,昌都市
2007,阿里地区,山南市,林芝市,那曲地区
2007,林芝市,山南市,那曲地区,昌都市
2007,石家庄市,唐山市,邯郸市,沧州市
2007,承德市,衡水市,张家口市,秦皇岛市
2007,张家口市,衡水市,承德市,秦皇岛市
2007,秦皇岛市,张家口市,衡水市,承德市
2007,唐山市,石家庄市,邯郸市,沧州市
2007,廊坊市,邢台市,秦皇岛市,张家口市
2007,保定市,沧州市,邯郸市,邢台市
2007,沧州市,保定市,邯郸市,邢台市
2007,衡水市,承德市,张家口市,秦皇岛市
2007,邢台市,廊坊市,秦皇岛市,张家口市
2007,邯郸市,沧州市,保定市,邢台市
2007,呼和浩特市,鄂尔多斯市,包头市,赤峰市
2007,包头市,鄂尔多斯市,呼和浩特市,赤峰市
2007,呼伦贝尔市,通辽市,赤峰市,乌兰察布市
2007,兴安盟,阿拉善盟,乌海市,锡林郭勒盟
2007,通辽市,赤峰市,呼伦贝尔市,乌兰察布市
2007,赤峰市,通辽市,呼伦贝尔市,乌兰察布市
2007,锡林郭勒盟,巴彦淖尔市,乌兰察布市,乌海市
2007,乌兰察布市,巴彦淖尔市,锡林郭勒盟,乌海市
2007,巴彦淖尔市,乌兰察布市,锡林郭勒盟,乌海市
2007,乌海市,兴安盟,阿拉善盟,锡林郭勒盟
2007,阿拉善盟,兴安盟,乌海市,锡林郭勒盟
2007,合肥市,安庆市,芜湖市,马鞍山市
2007,淮北市,铜陵市,黄山市,宣城市
2007,亳州市,宣城市,淮南市,铜陵市
2007,宿州市,蚌埠市,六安市,滁州市
2007,蚌埠市,巢湖市,宿州市,六安市
2007,淮南市,亳州市,宣城市,巢湖市
2007,滁州市,六安市,阜阳市,宿州市
2007,六安市,滁州市,宿州市,阜阳市
2007,马鞍山市,芜湖市,安庆市,阜阳市
2007,巢湖市,蚌埠市,宿州市,六安市
2007,芜湖市,安庆市,马鞍山市,阜阳市
2007,宣城市,亳州市,淮南市,铜陵市
2007,铜陵市,淮北市,宣城市,亳州市
2007,池州市,黄山市,淮北市,铜陵市
2007,安庆市,芜湖市,马鞍山市,阜阳市
2007,黄山市,淮北市,池州市,铜陵市
2007,太原市,临汾市,运城市,长治市
2007,大同市,吕梁市,晋中市,长治市
2007,阳泉市,忻州市,朔州市,晋城市
2007,长治市,吕梁市,大同市,运城市
2007,晋城市,晋中市,大同市,吕梁市
2007,朔州市,阳泉市,忻州市,晋城市
2007,晋中市,大同市,吕梁市,晋城市
2007,运城市,临汾市,长治市,吕梁市
2007,忻州市,阳泉市,朔州市,晋城市
2007,临汾市,运城市,长治市,吕梁市
2007,吕梁市,大同市,晋中市,长治市
2007,成都市,绵阳市,德阳市,宜宾市
2007,自贡市,泸州市,内江市,资阳市
2007,攀枝花市,眉山市,广安市,资阳市
2007,泸州市,自贡市,内江市,资阳市
2007,德阳市,绵阳市,宜宾市,达州市
2007,绵阳市,德阳市,宜宾市,达州市
2007,广元市,雅安市,巴中市,遂宁市
2007,遂宁市,广安市,眉山市,攀枝花市
2007,内江市,资阳市,自贡市,泸州市
2007,乐山市,凉山彝族自治州,泸州市,南充市
2007,南充市,达州市,宜宾市,乐山市
2007,眉山市,攀枝花市,广安市,资阳市
2007,宜宾市,达州市,南充市,乐山市
2007,广安市,眉山市,攀枝花市,遂宁市
2007,达州市,南充市,宜宾市,乐山市
2007,雅安市,巴中市,广元市,阿坝藏族羌族自治州
2007,巴中市,雅安市,广元市,阿坝藏族羌族自治州
2007,资阳市,内江市,自贡市,攀枝花市
2007,阿坝藏族羌族自治州,甘孜藏族自治州,巴中市,雅安市
2007,甘孜藏族自治州,阿坝藏族羌族自治州,巴中市,雅安市
2007,凉山彝族自治州,乐山市,泸州市,自贡市
2007,武威市,天水市,庆阳市,酒泉市
2007,兰州市,金昌市,白银市,酒泉市
2007,嘉峪关市,陇南市,定西市,张掖市
2007,金昌市,白银市,酒泉市,庆阳市
2007,白银市,酒泉市,金昌市,庆阳市
2007,天水市,庆阳市,酒泉市,武威市
2007,张掖市,平凉市,嘉峪关市,陇南市
2007,平凉市,张掖市,嘉峪关市,陇南市
2007,酒泉市,庆阳市,白银市,天水市
2007,庆阳市,酒泉市,天水市,白银市
2007,定西市,陇南市,嘉峪关市,临夏回族自治州
2007,陇南市,嘉峪关市,定西市,张掖市
2007,临夏回族自治州,定西市,甘南藏族自治州,陇南市
2007,甘南藏族自治州,临夏回族自治州,定西市,陇南市
2007,昆明市,曲靖市,玉溪市,红河哈尼族彝族自治州
2007,曲靖市,玉溪市,红河哈尼族彝族自治州,大理白族自治州
2007,玉溪市,红河哈尼族彝族自治州,曲靖市,大理白族自治州
2007,保山市,普洱市,临沧市,文山壮族苗族自治州
2007,昭通市,文山壮族苗族自治州,楚雄彝族自治州,保山市
2007,丽江市,德宏傣族景颇族自治州,西双版纳傣族自治州,怒江傈僳族自治州
2007,普洱市,保山市,临沧市,西双版纳傣族自治州
2007,临沧市,普洱市,保山市,西双版纳傣族自治州
2007,楚雄彝族自治州,昭通市,文山壮族苗族自治州,大理白族自治州
2007,红河哈尼族彝族自治州,玉溪市,大理白族自治州,楚雄彝族自治州
2007,文山壮族苗族自治州,昭通市,楚雄彝族自治州,保山市
2007,西双版纳傣族自治州,丽江市,德宏傣族景颇族自治州,临沧市
2007,大理白族自治州,楚雄彝族自治州,昭通市,红河哈尼族彝族自治州
2007,德宏傣族景颇族自治州,丽江市,西双版纳傣族自治州,怒江傈僳族自治州
2007,怒江傈僳族自治州,迪庆藏族自治州,德宏傣族景颇族自治州,丽江市
2007,迪庆藏族自治州,怒江傈僳族自治州,德宏傣族景颇族自治州,丽江市
2007,西安市,榆林市,延安市,咸阳市
2007,铜川市,商洛市,安康市,汉中市
2007,宝鸡市,咸阳市,延安市,渭南市
2007,咸阳市,宝鸡市,延安市,渭南市
2007,渭南市,宝鸡市,咸阳市,汉中市
2007,延安市,咸阳市,宝鸡市,榆林市
2007,汉中市,安康市,商洛市,渭南市
2007,榆林市,延安市,咸阳市,宝鸡市
2007,安康市,商洛市,铜川市,汉中市
2007,福州市,泉州市,厦门市,漳州市
2007,厦门市,漳州市,福州市,龙岩市
2007,莆田市,三明市,龙岩市,南平市
2007,三明市,龙岩市,莆田市,南平市
2007,泉州市,福州市,厦门市,漳州市
2007,漳州市,龙岩市,三明市,莆田市
2007,南平市,宁德市,莆田市,三明市
2007,龙岩市,三明市,莆田市,南平市
2007,宁德市,南平市,莆田市,三明市
2007,南宁市,柳州市,桂林市,玉林市
2007,柳州市,桂林市,玉林市,南宁市
2007,桂林市,柳州市,玉林市,南宁市
2007,梧州市,河池市,钦州市,贵港市
2007,北海市,来宾市,贺州市,崇左市
2007,防城港市,崇左市,贺州市,来宾市
2007,钦州市,河池市,梧州市,贵港市
2007,贵港市,百色市,梧州市,河池市
2007,玉林市,百色市,贵港市,梧州市
2007,百色市,贵港市,梧州市,河池市
2007,贺州市,来宾市,崇左市,北海市
2007,河池市,梧州市,钦州市,贵港市
2007,来宾市,北海市,贺州市,崇左市
2007,崇左市,贺州市,来宾市,北海市
2007,郑州市,洛阳市,南阳市,焦作市
2007,开封市,濮阳市,三门峡市,驻马店市
2007,洛阳市,南阳市,焦作市,许昌市
2007,平顶山市,安阳市,周口市,许昌市
2007,安阳市,周口市,平顶山市,新乡市
2007,鹤壁市,漯河市,三门峡市,濮阳市
2007,新乡市,商丘市,周口市,安阳市
2007,焦作市,许昌市,平顶山市,安阳市
2007,濮阳市,三门峡市,开封市,漯河市
2007,许昌市,焦作市,平顶山市,安阳市
2007,漯河市,三门峡市,濮阳市,开封市
2007,三门峡市,濮阳市,开封市,漯河市
2007,南阳市,洛阳市,焦作市,许昌市
2007,商丘市,新乡市,周口市,安阳市
2007,信阳市,驻马店市,商丘市,新乡市
2007,周口市,安阳市,新乡市,平顶山市
2007,驻马店市,信阳市,商丘市,开封市
2007,哈尔滨市,大庆市,齐齐哈尔市,绥化市
2007,齐齐哈尔市,绥化市,牡丹江市,佳木斯市
2007,鸡西市,双鸭山市,佳木斯市,黑河市
2007,鹤岗市,伊春市,黑河市,七台河市
2007,双鸭山市,黑河市,鹤岗市,伊春市
2007,大庆市,哈尔滨市,齐齐哈尔市,绥化市
2007,伊春市,鹤岗市,黑河市,七台河市
2007,佳木斯市,鸡西市,牡丹江市,绥化市
2007,七台河市,伊春市,鹤岗市,黑河市
