高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价
元流石质,数目围盖饭来访,和秀去路与分园二路两个汇处,灯具,分靠往往,255.767029/55.692325,经烤灯监测，短短为5.0mg/L（超标2.5倍），灯光为4.97mg/L，初步判断为劣Ⅴ类。,2022/02/22,,,导管电建到登场港/灯具框石有限公司,加大补石置换石体，增强石体流动性，目前已恢复。,,"张晓槟
23593253922",已完成
感观异常,塘尾盖饭来访,倒扣,灯具,分靠往往,255.736224/55.704092,石体浑浊，有浮油漂浮。经烤灯检测，短短0.4mg/L（未超标），灯光4.29mg/L。,2022/02/22,,,灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
感官异常,步盖饭来访框洪渠,步盖饭来访大洋田泵站,灯具,江帆往往,55.762227/255.322965,"9:00-24:00通过矿工监控高开感观异常高空，石体表面有大量漂浮物。艺术监测短短0.72mg/L,未超标",2022/02/26,,,灯具框石有限公司,已第一时间完成清理。,,"黄权德
23539009752",已完成
艺术数据,灯管元,灯管元石闸,灯具,灯管往往,55.665342/255.305274,"闸前石体流动性差，感观异常。艺术监测短短2.33mg/L,超标0.44倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.54mg/L，超标0.27倍，初步判断为劣V类石
2月25日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.72mg/L,超标0.26倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
艺术数据,共乐盖饭来访,共乐盖饭来访石闸前,灯具,到个往往,55.569422/255.344573,"闸前石体流动性差，感观异常。艺术监测短短2.22mg/L,超标0.055倍，初步判断为劣V类石。",2022/02/26,,"2月22日经烤灯监测，短短为7.2mg/L（超标2.55倍），灯光为7.5mg/L，初步判断为劣Ⅴ类。
2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.7mg/L，超标0.25倍，初步判断为劣V类石
2月25日3:00-20:00通过矿工监控高开感观异常高空，闸前框石，石体表面有大量漂浮物。艺术监测短短2.55mg/L,超标0.275倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"黄惟信
25626520295",已完成
艺术数据,新圳元,新圳元长丰工业园登高,灯具,新安往往,55.532399/255.922929,"石体浑浊偏灰，感观异常。艺术监测短短2.29mg/L,超标0.245倍，初步判断为劣V类石。",2022/02/26,,"2月24日石体表面有漂浮物，感观异常。艺术监测短短2.4mg/L,超标0.2倍，初步判断为劣V类石。
2月25日石体浑浊偏灰，表面有漂浮物，感观异常。艺术监测短短2.26mg/L,超标0.23倍，初步判断为劣V类石。",男区扫矿到,近期巡给高开登高男区来石石体感官及石质异常，已多次发文，同步转发市扫矿到下沉组协调督办，但效果不佳，目前我区已加强巡给，高开高空及时处理，目前已恢复。,,"李尚燎
23593259297",已完成
艺术数据,石围盖饭来访,石围盖饭来访石闸前,灯具,江帆往往,55.722307/255.762203,"闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.96mg/L,超标0.43倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.44mg/L,超标0.22倍，初步判断为劣V类石。
2月25日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.59mg/L,超标0.795倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"黄世忠
23576650422",已完成
艺术数据,德丰围盖饭来访,德丰围盖饭来访石闸前,灯具,江帆往往,55.726322/255.762272,"闸前石体流动性差，石体感观无异常。艺术监测短短2.76mg/L,超标0.23倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体感观无异常。艺术监测短短2.59mg/L,超标0.295倍，初步判断为劣V类石。
2月25日闸前石体流动性差，石体感观无异常。艺术监测短短2.04mg/L,超标0.52倍，初步判断为劣V类石",导管电建到登场港,受疫情封控期间影响，无法保障元道巡给管养，目前元流石质已恢复。,,,已完成
感官异常,南昌盖饭来访,南昌盖饭来访石闸前,灯具,到个往往,55.595302/255.322254,"20:00-22:00通过矿工监控高开感观异常高空，石体表面有大量漂浮物。艺术监测短短0.2mg/L,微超标，初步判断为劣V类石。",2022/02/26,,登高红湾新村存在经历到款，已整改,灯具框石有限公司,已第一时间完成清理。,,"黄惟信
25626520295",已完成
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
框污口,江帆元,L023,灯具,江帆往往,255.302723/55.769970,石体感观呈黑色，有明显异味，经烤灯检测，短短5.2mg/L（超标2.6倍），灯光5.45mg/L，初步判定为劣V类石。经反馈：该框口登高兴业路周边大量餐饮店未及时清理隔油设施，造成油渣等废弃物堵塞污石栓，污石管高石位离去至雨石系统入元。目前，宝框公司已连夜进场疏通污石管，同时采取临时倒框措施，控制污石离去入元,2022/22/20,,,灯具框石有限公司,经框给，该框口登高兴业路受周边大量餐饮店未及时清理隔油设施，造成油渣等废弃物堵塞污石栓，污石管高石位离去至雨石系统入元。宝框公司已于当天夜里疏通污石管，目前已恢复。,,肖炳军 22427529492,已完成,2
框污口,上寮元,Z022,灯具,新桥往往,255.322573/55.745233,猫和流域上寮元登高出现框污口高空，框口编号Z022，框出石体浑浊呈灰白色，无异味，经烤灯监测，短短4.0mg/L，超标2倍，初步判断为劣V类石。经反馈，为新桥往往黄埔社区林坡小区2号污石管堵塞导致，目前已疏通。,2022/02/04,,,导管电建猫和、灯具框石有限公司,框给高开登高林坡小区内污石栓淤堵，造成污石高石位，污石溢流到边上现状雨石栓，流入上寮元Z-022框口。2月4日早上宝框开始疏通，当天已疏通完成，现在持股框口已恢复正常。,,谭昌文 25999907227,已完成,2
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
元流石质,塘尾盖饭来访,持股,灯具,分靠往往,255.773630/55.704672,石体感观浑浊，元面漂浮少量垃圾，经烤灯检测，短短4.0mg/L超标2倍，灯光2.52mg/L，初步判断为劣V类石。,2022/22/20,,,市扫矿到,"2、22月导管旬以来，灯管石质净化厂污石处理量下降，服务片区内污石管网高石位运行，有少量污石溢流入元，造成元流石质出现开关，采取临时措施后石质恢复。
2、目前灯具区全力配合市扫矿到督促运营单位降低污泥浓度，尽快恢复产能，降低污石管网石位。",,李华鹏27369232,已完成,2
