,,Annual Mean Annual MRT (C),,,,,Annual Mean Solar Gains ,,,,,Volumne Flow Rate ,,,,,Total Ventilation Heat Gain [W],,,,,Total Ventilation Heat Loss [W],,,,,Daylight - Glare percentage ,,,,,Cooing Energy Uses,,,,,Lighting Energy Uses,,,,,Total Energy Uses,,,,,Embodied Carbon,,,,,
Case,Orientation [Deg],Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,
330,0.192192797,28.40233,28.27194,29.35972,26.03312,23.87848,276.7582318,321.9469459,295.692491,243.0181617,215.3758423,4.395690415,4.67135633,5.541908494,8.893605925,6.069046205,20.61367519,19.82375817,31.42906098,29.48317085,7.088884692,312.6688023,347.1407238,344.3808201,322.3714334,290.8672665,0,0,0,0,0.001675042,159606.8645,135716.8943,215468.1411,185977.5414,63117.98296,831.1719429,819.8403358,827.9239557,833.2252354,833.1073328,160438.0364,136536.7346,216296.0651,186810.7667,63951.09029,,,,,,
293,0.577660787,28.68456,28.66302,29.68216,26.27482,24.09031,520.6288163,612.4489085,554.4778923,445.9910673,399.7633338,4.395858648,4.671765863,5.542195831,8.89379453,6.069232878,9.795751958,6.952814329,10.05543036,16.42506542,4.224693052,391.001798,450.4658147,422.4807174,383.5038237,354.5393134,0.162549625,0.096856415,0.090228779,0.071522024,0.056489866,160531.707,136801.7195,216224.2375,186482.6434,63504.65192,560.4900255,524.2337868,576.195072,611.6440318,642.6450315,161092.197,137325.9533,216800.4325,187094.2874,64147.29695,,,,,,
119,0.721539172,28.36146,28.21975,29.31549,25.99903,23.84919,247.216863,287.0039339,264.7450778,218.6689319,193.3883501,4.39566369,4.671306236,5.541872719,8.893584256,6.069023208,22.9952908,23.1584598,35.70340798,31.86977781,8.084680886,303.1233063,336.6202479,336.435164,315.1926066,283.4360483,0,0,0,0,0,159466.3177,135570.5251,215359.7781,185904.061,63061.82253,847.3117013,847.2964732,847.2879872,847.3200139,847.2969753,160313.6294,136417.8215,216207.0661,186751.381,63909.11951,,,,,,
232,1.211982403,29.24928,29.42274,30.31913,26.74679,24.4785,1040.166654,1232.62113,1107.67067,879.576265,794.2508134,4.396307843,4.672553155,5.542773203,8.894261097,6.069639447,5.956579611,4.445781632,3.085315383,7.947901405,4.433319348,600.0436846,723.0061441,644.4470426,545.8248254,504.1816155,0.047640053,0.03462192,0.041907205,0.058002617,0.062095731,162844.5052,139450.9899,217947.2595,187566.1674,64280.7874,142.5054562,140.2236922,152.8428933,143.0559674,177.7233995,162987.0107,139591.2136,218100.1024,187709.2233,64458.5108,,,,,,
212,1.514864809,28.77917,28.79311,29.78793,26.34841,24.15337,610.666147,718.8261264,648.777809,520.1460357,466.7364605,4.39593064,4.671894646,5.542275924,8.893853117,6.069294728,8.314510308,5.871664956,7.358773556,13.91316033,4.09659268,421.7669659,491.7883221,454.3956811,405.0558652,376.2981787,0.083590648,0.088572642,0.09600171,0.100305277,0.070504528,160845.9007,137192.6647,216447.6713,186627.0774,63618.04934,435.9196945,415.8616302,454.0390226,492.0701138,542.2303423,161281.8204,137608.5263,216901.7103,187119.1475,64160.27968,,,,,,
498,2.087138906,28.61878,28.57246,29.60256,26.21547,24.03723,471.3205051,551.2602014,498.7122516,402.8045754,359.4623548,4.395811214,4.671684704,5.542136587,8.893750106,6.069182991,11.0714809,8.154815813,12.97701908,18.8388829,4.496461573,370.1257128,422.5065522,399.3141933,366.2900368,336.8732667,0.156594618,0.104502974,0.09600171,0.077191452,0.055411815,160276.6073,136488.0972,216003.9508,186340.4056,63395.71027,572.3459995,531.2141287,583.8865896,618.8751447,649.761063,160848.9532,137019.3113,216587.8374,186959.2808,64045.47133,,,,,,
427,2.514757031,28.36502,28.22323,29.31879,26.00147,23.85131,249.5449376,289.3176461,266.91588,220.3671565,194.8772315,4.395665681,4.671306748,5.541871593,8.89358555,6.069024562,22.83625723,23.02563444,35.44668823,31.7177421,8.014396825,304.0431986,337.4858643,337.153213,315.7584601,284.0041442,0,0,0,0,0,159479.6553,135583.0668,215369.9964,185910.6695,63066.92391,846.4056179,845.6487086,846.230137,846.4280406,846.5206887,160326.0609,136428.7155,216216.2266,186757.0976,63913.4446,,,,,,
445,2.782389975,29.05722,29.17262,30.10539,26.57846,24.33368,873.5795322,1032.398281,928.3163171,739.3145638,666.0092169,4.396141439,4.672307976,5.542558876,8.894079188,6.069484605,6.467544407,4.703078308,3.87319558,9.415286356,4.271946887,524.1817262,626.3104533,562.6817945,482.5286816,445.3416956,0.05513895,0.036745964,0.045542014,0.066288705,0.063820612,161915.603,138419.1082,217215.1353,187077.6911,63919.66984,143.7038821,141.0473944,154.0318264,144.3675388,180.6209677,162059.3068,138560.1556,217369.1671,187222.0586,64100.29081,,,,,,
154,3.153961368,29.202,29.36002,30.26523,26.7044,24.44148,998.4271827,1181.856832,1061.860919,843.8886237,761.3458272,4.396270172,4.672497919,5.542716378,8.894215363,6.069602148,6.055968631,4.4931773,3.229049124,8.247391548,4.386832918,580.9721826,698.339442,623.3733943,529.5628297,488.9312697,0.049845611,0.03462192,0.042121018,0.059092891,0.062095731,162611.4446,139189.8086,217759.8145,187443.1541,64188.96589,142.5265427,140.2248693,152.8469005,143.0939239,177.7293976,162753.9711,139330.0335,217912.6614,187586.248,64366.69529,,,,,,
317,3.562106454,28.38328,28.23921,29.33343,26.01341,23.86142,264.1606769,301.972479,279.1959998,230.5369766,203.8703361,4.395670169,4.671317445,5.541869056,8.89359661,6.069032104,21.95870163,22.36381819,34.26974406,30.9421455,7.684873558,309.0432894,341.8562423,340.6927675,318.9050649,287.0177859,0,0,0,0,0,159551.493,135644.0893,215419.811,185943.8793,63091.28298,839.9830588,838.6474852,841.4873759,842.6440057,843.2160266,160391.4761,136482.7368,216261.2984,186786.5233,63934.49901,,,,,,
277,3.851856216,28.36923,28.22758,29.32279,26.00446,23.85388,253.1149643,292.9665286,270.30168,223.013176,197.2300239,4.395666709,4.67130941,5.541865387,8.893588851,6.06902661,22.60142607,22.80626319,35.07998686,31.49249348,7.907860734,305.025176,338.4414238,337.8924976,316.3587343,284.6263233,0,0,0,0,0,159493.361,135596.0432,215380.5908,185917.2998,63072.24119,841.3297722,839.2914267,841.1415381,842.2783744,842.8790415,160334.6908,136435.3346,216221.7323,186759.5781,63915.12023,,,,,,
58,4.204652586,28.75718,28.76037,29.75515,26.3241,24.13011,597.7055774,699.8566879,630.121016,506.3254082,452.6627847,4.39590663,4.671859055,5.542251944,8.893833283,6.069271456,8.568468763,6.070187857,8.029105911,14.73796183,4.140403211,414.1592861,480.8118317,443.9911387,397.3044918,368.1452081,0.10344067,0.114061172,0.113748129,0.127998256,0.084519189,160737.1226,137055.3171,216337.9447,186560.2539,63567.98563,411.5896422,391.697223,430.2345089,469.7803499,525.9713512,161148.7123,137447.0143,216768.1792,187030.0343,64093.95698,,,,,,
379,4.36135133,29.17365,29.32215,30.23243,26.67875,24.41895,973.5913192,1151.474066,1034.352534,822.499753,741.5461415,4.396247202,4.67246748,5.542689096,8.894193455,6.069578027,6.110864807,4.525092547,3.329786389,8.453098597,4.360832482,569.6721823,683.5993734,610.7462786,519.8410126,479.7481885,0.051389502,0.03462192,0.04233483,0.059747056,0.062095731,162472.978,139033.3091,217647.1901,187369.7696,64134.06497,142.5512077,140.2255711,152.8473166,143.1056106,177.7423902,162615.5292,139173.5346,217800.0374,187512.8752,64311.80736,,,,,,
