,Annual Mean Annual MRT (C),,,,,Annual Mean Solar Gains ,,,,,Volumne Flow Rate ,,,,,Total Ventilation Heat Gain [W],,,,,Total Ventilation Heat Loss [W],,,,,Daylight - Glare percentage ,,,,,Cooing Energy Uses,,,,,Lighting Energy Uses,,,,,Total Energy Uses,,,,
Orientation [Deg],Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong,Singapore,Colombo,Bangkok,Dongfang,Hong Kong
0.0,28.40233,28.27194,29.35972,26.03312,23.87848,276.7582318,321.9469459,295.692491,243.0181617,215.3758423,4.395690415,4.67135633,5.541908494,8.893605925,6.069046205,20.61367519,19.82375817,31.42906098,29.48317085,7.088884692,312.6688023,347.1407238,344.3808201,322.3714334,290.8672665,0.0,0.0,0.0,0.0,0.001675042,159606.8645,135716.8943,215468.1411,185977.5414,63117.98296,831.1719429,819.8403358,827.9239557,833.2252354,833.1073328,160438.0364,136536.7346,216296.0651,186810.7667,63951.09029
0.5,28.52301,28.441385,29.498825,26.136924999999998,23.969749999999998,383.92283965,449.7264212,409.61148505,332.3299996,296.57584195,4.395761169,4.6715360495,5.542034275,8.893689392999999,6.069128043,16.395521379,15.055637064499999,22.879419170000002,24.147421615,6.154686969,347.06255215,393.5430313,379.4579407,349.34821515,318.98768085,0.0812748125,0.0484282075,0.0451143895,0.035761012,0.028244933,159999.01235,136186.1223,215792.0078,186193.3522,63283.237225,703.9008633999999,685.76513,711.7415295999999,729.48202285,744.9710034,160702.9132,136871.8874,216503.7493,186922.83419999998,64028.208230000004
1.0,29.24928,29.42274,30.31913,26.74679,24.4785,1040.166654,1232.62113,1107.67067,879.576265,794.2508134,4.396307843,4.672553155,5.542773203,8.894261097,6.069639447,5.956579611,4.445781632,3.085315383,7.947901405,4.433319348,600.0436846,723.0061441,644.4470426,545.8248254,504.1816155,0.047640053,0.03462192,0.041907205,0.058002617,0.062095731,162844.5052,139450.9899,217947.2595,187566.1674,64280.7874,142.5054562,140.2236922,152.8428933,143.0559674,177.7233995,162987.0107,139591.2136,218100.1024,187709.2233,64458.5108
1.5,28.77917,28.79311,29.78793,26.34841,24.15337,610.666147,718.8261264,648.777809,520.1460357,466.7364605,4.39593064,4.671894646,5.542275924,8.893853117,6.069294728,8.314510308,5.871664956,7.358773556,13.91316033,4.09659268,421.7669659,491.7883221,454.3956811,405.0558652,376.2981787,0.083590648,0.088572642,0.09600171,0.100305277,0.070504528,160845.9007,137192.6647,216447.6713,186627.0774,63618.04934,435.9196945,415.8616302,454.0390226,492.0701138,542.2303423,161281.8204,137608.5263,216901.7103,187119.1475,64160.27968
2.0,28.61878,28.57246,29.60256,26.21547,24.03723,471.3205051,551.2602014,498.7122516,402.8045754,359.4623548,4.395811214,4.671684704,5.542136587,8.893750106,6.069182991,11.0714809,8.154815813,12.97701908,18.8388829,4.496461573,370.1257128,422.5065522,399.3141933,366.2900368,336.8732667,0.156594618,0.104502974,0.09600171,0.077191452,0.055411815,160276.6073,136488.0972,216003.9508,186340.4056,63395.71027,572.3459995,531.2141287,583.8865896,618.8751447,649.761063,160848.9532,137019.3113,216587.8374,186959.2808,64045.47133
2.5,28.71112,28.697924999999998,29.71209,26.289965000000002,24.092495,561.5622349,660.85796355,597.6160985500001,479.84086014999997,430.4432242,4.39590356,4.671807362,5.5422152345,8.893832368999998,6.0692545835,14.6519008185,13.864356374,19.659941905,20.566514228,6.143171856,414.11246239999997,481.8981588,449.91750375000004,399.14357085,364.6729199,0.027569475,0.018372982,0.022771007,0.0331443525,0.031910306,160697.62915,137001.0875,216292.56585,186494.1803,63493.296875,495.05475,493.3480515,500.1309817,495.39778970000003,513.5708282,161192.68385,137494.43555,216792.69685,186989.57809999998,64006.867705
3.0,29.202,29.36002,30.26523,26.7044,24.44148,998.4271827,1181.856832,1061.860919,843.8886237,761.3458272,4.396270172,4.672497919,5.542716378,8.894215363,6.069602148,6.055968631,4.4931773,3.229049124,8.247391548,4.386832918,580.9721826,698.339442,623.3733943,529.5628297,488.9312697,0.049845611,0.03462192,0.042121018,0.059092891,0.062095731,162611.4446,139189.8086,217759.8145,187443.1541,64188.96589,142.5265427,140.2248693,152.8469005,143.0939239,177.7293976,162753.9711,139330.0335,217912.6614,187586.248,64366.69529
3.5,28.376255,28.233395,29.328110000000002,26.008935,23.85765,258.6378206,297.4695038,274.7488399,226.7750763,200.55018,4.395668439,4.6713134274999994,5.5418672215,8.8935927305,6.069029357,22.280063849999998,22.58504069,34.67486546,31.21731949,7.796367146,307.03423269999996,340.14883305,339.29263255,317.6318996,285.8220546,0.0,0.0,0.0,0.0,0.0,159522.427,135620.06624999997,215400.2009,185930.58955,63081.762085,840.6564155,838.96945595,841.314457,842.4611900499999,843.04753405,160363.08345,136459.0357,216241.51535,186773.05070000002,63924.80962
4.0,28.965415,29.04126,29.99379,26.501425,24.27453,785.6484483,925.66537695,832.2367750000001,664.4125806000001,597.1044631,4.396076916,4.6721632675,5.54247052,8.894013369,6.069424741500001,7.339666785,5.297640202,5.67944615,11.5955302135,4.2506178465,491.9157342,582.20560255,527.36870865,458.57275219999997,423.9466983,0.077415086,0.07434154600000001,0.0780414795,0.093872656,0.07330745999999999,161605.0503,138044.3131,216992.5674,186965.01175,63851.0253,277.07042495,265.96139705,291.54091274999996,306.44298025,351.85687069999994,161882.12075,138310.27445000003,217284.10830000002,187271.45475,64202.88217
