,博主名称,博主主页,关注数,粉丝数,博文链接,发布内容,Unnamed: 6,图片数量,是否存在图片,是否存在视频,发布时间,转发数,评论数,点赞数,confidence,score,sentiment
0,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1O4kCJ4B?uid=2014034660&rl=0#cmtfrm,#晚间分享##山水舞韵#舞在山水间，万千生物跃。山水间，诗画里，舞影婆娑......当文采飞扬的文人墨客遇上包罗万象的自然世界，万千生物跃然入画。用舞蹈的方式打开诗意山水，一起来见证这场人文与自然的碰撞。#国际生物多样性日# 中国新闻网的微博视频,参与类,,,有,05月22日 21:20,,2.0,0.0,0.999916,0.999962,2
1,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1NfB7631?uid=2014034660&rl=0#cmtfrm,#上海滨江绿道现绝美月季花海#，网友：超出片！月季被称为“花中皇后”，五月正是月季花的盛花期。近日，上海黄浦滨江绿道月季花海开放，引得市民游客纷纷驻足拍照打卡。在江边微风的吹拂下，月季花海摇曳生姿，美不胜收。 021视频的微博视频,信息类,,,有,05月22日 19:15,,1.0,2.0,0.998855,0.999485,2
2,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1MR3m9hv?uid=2014034660&rl=0#cmtfrm,#美食推荐##今天吃什么# 【椒盐小河虾】外卖的虾怎么比得上家里做的~试试这样做～ 厨艺教程的微博视频,参与类,,,有,05月22日 18:14,1.0,,2.0,0.982522,0.992135,2
3,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1MmNvKr1?uid=2014034660&rl=0#cmtfrm,上海博物馆自5月23日（周二）起，实行免预约入馆措施。当馆内观众达到限流峰值时，将采取临时管控措施。上海博物馆将继续提供各种公益讲座、展厅讲解、文物党课等系列活动，预约请在上海博物馆官方微信公众号及微信小程序接洽。,信息类,,有,,05月22日 17:00,,,0.0,0.923522,0.965585,2
4,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1M4xdrXI?uid=2014034660&rl=0#cmtfrm,春末夏初，顾村公园悦林湖畔盛放的月季花海包揽了春夏交替之际的浪漫与期待，成为市民游客休闲度假的好去处~#魔都美好打卡地#,信息类,6.0,有,,05月22日 16:15,,,1.0,0.989064,0.995079,2
5,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1LUUCsDJ?uid=2014034660&rl=0#cmtfrm,金山山阳田园夜市节来啦！夜市节以“夜趣田园，味你而来”为主题，活动通过灯光秀、文化集市、各类美食，着重突出“趣”和“味”，在每周五、周六及节假日晚上举办，一直持续至10月上旬，不仅为市民游客夜生活提供了新去处，还让金山的夜晚焕发新的生机。,信息类,6.0,有,,05月22日 15:51,,,0.0,0.982311,0.99204,2
6,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1LhPgBHR?uid=2014034660&rl=0#cmtfrm,8530家咖啡馆点亮上海#2023上海咖啡文化周# 开幕。芳菲五月，申城又迎来咖啡飘香。作为第四届上海“五五购物节”的标杆活动之一，2023上海咖啡文化周已于近日正式开幕。本届咖啡文化周不仅渗透全市16个区，还为市民带来全城免费“恰咖啡”活动，遍布全市的8530家咖啡馆正将上海咖啡文化带上一个新台阶。 SMGNEWS的微博视频,信息类,,,有,05月22日 14:15,1.0,,2.0,0.999371,0.999717,2
7,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1LeDhNqE?uid=2014034660&rl=0#cmtfrm,#上影节官方宣传片发布#第二十五届#上海国际电影节#官方宣传片《此刻我正奔向你》今日发布。 让我们与青年影人代表易烊千玺一起，以光影为导航，领略上海这座城市的日常与摩登，共同奔赴六月的上海…… 上海国际电影节的微博视频,参与类,,,有,05月22日 14:07,,,3.0,0.999488,0.99977,2
8,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1Kt5s0QJ?uid=2014034660&rl=0#cmtfrm,揭开源远流长的商学历史，通过视频带你走进上海财经大学商学博物馆 。@上海杨浦 上海杨浦的微博视频,参与类,,,有,05月22日 12:10,3.0,,0.0,0.992696,0.996713,2
9,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1K4Ju7Et?uid=2014034660&rl=0#cmtfrm,#上海公布首批15个美术新空间# 近年来，为满足市民文化需求，许多艺术机构和社会主体开始走出美术馆、画廊等专业艺术场馆，在商场、商务楼宇举办美术展览展示活动，逐渐形成了一批“美术新空间”。区别于传统的美术馆、博物馆、展览馆、画廊等展示空间，“美术新空间”指在室内或户外的特定空间内，经常性向社会公开陈列展示视觉艺术作品的非营利性场所，这些在上海的无墙艺术空间你打卡了吗？,信息类,9.0,有,,05月22日 11:10,1.0,,0.0,0.992525,0.996636,2
