用户,评论内容,时间,地点
任天堂快把破ns换了,我身边也有这种，一边反华，一边准备考公务员的只不过没考上,2023/4/21 12:31,山西
是椒图不是焦土,干得漂亮，就该把这种政治上不正确的人捶死。,2023/4/21 13:11,福建
itsRea1,漂亮,2023/4/21 13:31,浙江
菇蘑小,真特么的笑掉大牙，一边反华一边考公，是要打入内部么,2023/4/21 13:35,吉林
叮当法术变变变888,好，不要两面三刀的人,2023/4/21 13:38,江苏
就热闹的与世隔绝,不然为什么要政审,2023/4/21 13:38,湖北
Mo_zzie,有意思,2023/4/21 13:38,浙江
世上最爱静茹的鱼粉,所以？他说了什么？,2023/4/21 13:39,辽宁
Aisaka143,还好没考上,2023/4/21 13:41,四川
我要回天庭57569,不然呢，一边反华一边公职？？？,2023/4/21 13:43,江苏
雁返,到底说了什么辱华言论呢,2023/4/21 13:46,浙江
南暖OvO,应该抓起来！,2023/4/21 13:46,浙江
叮当法术变变变888,政审要严一点，考生各大平台的账号言论都要过一遍,2023/4/21 13:47,江苏
莲歌阿柴,他宁可牺牲工作，也要出卖组织,2023/4/21 13:47,河北
blue_猪,经典的反贼爱考公,2023/4/21 13:49,浙江
西晚晚,这种人，永不录取！录取了，也是投敌叛国！,2023/4/21 13:53,浙江
肥宅GPP,我的关注点比较奇葩...浙大的学生都开始考乡镇公务员了啊...,2023/4/21 13:53,山东
Mr_zeng曾先森,还公务员？直接学历作废啊,2023/4/21 13:54,广东
小猪T牙疼,好霸气,2023/4/21 13:54,河北
TracheliumHSQ,都反华了还考得上公务员的话，先不说大小官职，这个本身不是很好可怕的事情吗？公务员呢，都反华都不喜欢自己的国家了还考上公务员的话不是很危险？？？,2023/4/21 13:55,福建
痴情滴喵少爷,军队和体制内的不少人其实都不认可自己的信仰、只是想混碗轻松饭吃吃而已、现在好入党地方一个部队、第二个是学校；捞张党票傍身、以后提干、或者出来找工作有一定政治优势；我为国运堪忧；,2023/4/21 13:55,湖北
书影留音,我想看看他辱华的内容具体写了什么,2023/4/21 13:55,上海
屯了许久的馍馍,那反思就是内部很可能有反华情绪的人但是不发表言论哦,2023/4/21 13:55,浙江
Valkyrie9527,这是让人惦记着呢,2023/4/21 13:56,山东
面具之下h,这种人不行，政治立场不坚定，还是不要考公务员了,2023/4/21 13:59,浙江
热爱可抵岁月漫长_92,这是明晃晃的想当间谍吗？,2023/4/21 13:59,辽宁
瞭望使者,不是更应该判刑,2023/4/21 14:01,浙江
cn南方流星,漂亮,2023/4/21 14:01,广东
o0肥啾0o,不喜欢自己的国家还考什么公务员啊，自虐吗,2023/4/21 14:03,日本
Mingchelsea,让他赶紧润好了，进什么公务员系统,2023/4/21 14:03,广东
Bonnie宝Liu,难道不应该吗？什么叫政审？,2023/4/21 14:04,广东
你的那杯是红茶,@安吉拉打爆你的狗头,2023/4/21 14:04,浙江
你拉so功能,乳人民的也不能要，毕竟公务员是为人民服务,2023/4/21 14:04,安徽
文晶晶的小港果树,不仅不应该为公务员，他要是党员也开除党籍吧,2023/4/21 14:05,新疆
小刀_刀,辱华言论不应该驱逐出境？,2023/4/21 14:08,广东
这个逗X的世界,双面人,2023/4/21 14:09,陕西
焦糖布丁没有糖,这种人可不少呢，应该清理出去,2023/4/21 14:09,上海
迷失中重逢,被爆出来，正常点的大公司都不会要。,2023/4/21 14:09,广东
高端名表_fu刻-浪琴-万国-欧米茄,这种人，永不录取！录取了，也是投敌叛国！,2023/4/21 14:11,广东
甜紫薯芋泥面包,好典,2023/4/21 14:11,上海
我在地平线上看未来,所以说，考公本来就不是为人民服务，不考公也可以为人民服务。,2023/4/21 14:11,上海
作家向威,活该！,2023/4/21 14:12,上海
烈小抽,这种考进去也是卖国的先锋,2023/4/21 14:13,天津
我见长安雪满头,好，一个连国家都不爱的人，怎么可能会爱人民，真心诚意的为人民服务呢。建议推广，考公的都查查,2023/4/21 14:14,云南
逆轉的鐘,政审的重要性。,2023/4/21 14:14,广西
陈凯航,政审应当从严,2023/4/21 14:16,广东
是你的楠木啊,干得漂亮,2023/4/21 14:16,四川
大龙村的小龙人,小心二鬼子混入内部,2023/4/21 14:17,山东
不知道起个什么昵称的猫,有没有全国公务员内部系统，有的话应该把此人列入黑名单，以免以后此人报考别的单位。,2023/4/21 14:17,北京
一研为定哟,爱国难道不是一个人的底线么？书都读到脚后跟了？,2023/4/21 14:18,河南
半梦半醒之间中,搁这儿潜伏呢,2023/4/21 14:18,陕西
我愿凌霄,干的漂亮,2023/4/21 14:18,广东
源我如星君如月_梅长苏_R,做得好,2023/4/21 14:18,河北
Mo限火力,反思队虽迟必到,2023/4/21 14:18,吉林
candice澳门,支持，同时也适用于只会说漂亮说话，行动矮子的伪君子！ 公务员不只是职业，更应该拥有爱国情怀，崇高的思想觉悟！行动和觉悟应同步！不只是为了上岸，才去考！,2023/4/21 14:19,广东
医医0901,自己国家都不爱，有什么资格做公务员,2023/4/21 14:21,湖南
不点X402,该,2023/4/21 14:21,北京
江江江行云,不明白一边反还要一边考公务员的人是一种什么心理,2023/4/21 14:23,河北
甜崽跟你拼了,爽文结尾 好耶,2023/4/21 14:23,山东
air-air-air,幸亏提前查出来了,2023/4/21 14:24,美国
rs不是夏天,谁举报的呢？好奇,2023/4/21 14:25,北京
其实我不喜欢谈张作霖,如果真的看不惯不认同，那就去找其他工作，去企业也能养活自己。为什么要考公呢？,2023/4/21 14:25,福建
向往自由与勇敢的心,就这？还是开除学籍吧,2023/4/21 14:26,重庆
_早睡并不难,干得漂亮,2023/4/21 14:26,中国
我爱大菠萝1993,反华公务员被拒录取，在微博上一群人说红卫兵又出来了 很难想象键盘后边是个人,2023/4/21 14:26,安徽
Jacky冲冲冲,所以才有毒教材 也不知道以后还会不会有,2023/4/21 14:26,浙江
嘿這里是遠遠,好！,2023/4/21 14:27,北京
希尔耶布达,挺搞笑的，这么割裂吗？一边骂着，一边又要考,2023/4/21 14:29,安徽
是颀不是欣吖,吃着国家的粮，读着国家提供的教育，在这反国家，还想考国家公务员。真有出息,2023/4/21 14:30,安徽
他们看见城,哈哈哈哈哈，漂亮的。又当又立典范,2023/4/21 14:31,上海
原炀压我头发了,芜湖～干得漂亮,2023/4/21 14:31,贵州
欢欢Mia,干得漂亮,2023/4/21 14:31,浙江
绿绿绿绿绿子Greenjade,求仁得仁，因果不虚。,2023/4/21 14:31,浙江
勇孤rich,反华还入公务员干嘛,2023/4/21 14:32,广东
祥瑞御免的老老Z,考公岗位竞争新途经啊这才开个头，估计以后会越来越多吧,2023/4/21 14:32,辽宁
万国潇13669729159,不爱国，当公职人员，不怕所有人被带偏,2023/4/21 14:34,云南
祥瑞御免的老老Z,举报人应该就是同岗位的竞争者或者亲属吧,2023/4/21 14:35,辽宁
村口的沙雕,所以鲁迅当不了官,2023/4/21 14:35,北京
钱多少不爱吃蛋白,漂亮,2023/4/21 14:36,浙江
橙花酱,活该,2023/4/21 14:36,江苏
寻找星光lysum,干得好！,2023/4/21 14:37,河北
钟灵毓秀7777,挺合适,2023/4/21 14:37,河南
寻找星光lysum,干得好！不爱国当什么公务员……,2023/4/21 14:38,河北
浅浅落uni,这种不会过政审吧,2023/4/21 14:39,北京
微博视频,您好，恭喜您的视频荣登视频飙升榜，全部领域第9名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,2023/4/21 14:40,40
诺式媒女,这种现象并不少见，一边反一边考公…可怕在于真的有些人就进去了，然后对外就更反，甚至可能故意“高级黑”…说白了，敌在内部，根深蒂固,2023/4/21 14:41,四川
夹处逢生木木,那么问题来了，他说啥了,2023/4/21 14:41,广东
肖站_什么时候重回热搜第一啊,还好有举报。考察组真不合格,2023/4/21 14:41,重庆
吃可爱多长大的坏小孩,所以这些知识分子啊,2023/4/21 14:42,重庆
有点不正常的正常人,现在考公不都是为了一口饭吃嘛。可想而知，公务员队伍里面到底有多少还真正为了人民和国家。,2023/4/21 14:42,湖南
语文老师卢天宝,太好了！就是混进来太多这种两面人，我们的队伍才会不纯洁！,2023/4/21 14:43,江苏
长沙日常吐槽君,什么言论呀，麻烦亮出来,2023/4/21 14:43,湖南
Aether-DPS,这种打小报告的人一定要远离,2023/4/21 14:44,澳大利亚
ETALPRELIOB,应该把他说的话贴出来让大家自行判断,2023/4/21 14:45,上海
大黑亮亮,这件事还是其他浙大同学积极反应的，搞笑的是考察组留的电话号码还是少一位的，浙大同学兜兜转转费了好大劲才把情况反应上去。现在公告出来，考察组成了明察秋毫的,2023/4/21 14:45,浙江
胡萝卜须爱春天,我只想知道告密的是谁？,2023/4/21 14:45,山东
幾何_YING,原来不放弃名额，是会以更难看的下场收尾的啊。。。怪不得那谁谁也要放弃名额,2023/4/21 14:47,上海
hiker0001,反对因言获罪。私企有权利不录用，国家机构以言论为由不录用，是违宪,2023/4/21 14:47,安徽
特特_阿土公主,做得好！,2023/4/21 14:47,北京
煎bingo子_w,上网实名制,2023/4/21 14:47,安徽
Jinx35,这类人要是考进公务系统。也太可怕了,2023/4/21 14:48,河北
哇勒七点,本来就该这样,2023/4/21 14:48,江苏
周末愉快的吃饼家,抓起来,2023/4/21 14:49,海南
旧時旧夢故居寻故人,干得漂亮,2023/4/21 14:49,安徽
纪南序,我只能说活该,2023/4/21 14:49,内蒙古
梅子之味1005,漂亮,2023/4/21 14:49,河南
lulu真心想瘦成一道閃電,这种人考上了会不会一下就被人家策反,2023/4/21 14:49,福建
Fiiigo_,@LeeShaedle,2023/4/21 14:51,浙江
曾敬明,这种人还有许多，他们一边反华，一边考公。所以，我们必须擦亮眼晴，绝不能让这种人混进我们的公务员队伍，,2023/4/21 14:52,广东
坚果是只喵猪,活该！一边骂娘还想一边吃娘饭？！,2023/4/21 14:52,云南
南山路最速傳說,真正的敌人，永远在我们内部,2023/4/21 14:52,福建
蘸盐,这学生可以报考@四川航空 呀要是再说点什么“该对汉族进行种族屠杀”的言论，没准还能转入管理岗，跟阿英嘎共事呢。然后俩人一宿舍睡觉的时候被对方摸黑割下脑袋。想想就兴奋啊,2023/4/21 14:53,北京
霓虹饭,现在体制内很多人一点也不爱党爱国 甚至是恨国党 我感觉政审是太弱了,2023/4/21 14:53,广东
无敌馒头猫炫炫炫,痛快，思想不正还想吃皇粮,2023/4/21 14:53,北京
无常与无聊人,看评论，二鬼子挺多的,2023/4/21 14:53,海南
雪6_嘟嘟,研究生考县公务员？是不是有点大材小用了？,2023/4/21 14:54,陕西
爱吃大嘴巴子的太空人,恕我直言 这样的两面人现实中多的是,2023/4/21 14:54,福建
淺淺_Ting-Sohn,要是真被录取了，可能就是内奸,2023/4/21 14:54,福建
阚阚_阿Moon,考公务员本来就是要政审的呀。,2023/4/21 14:54,江苏
CaptainSpringer,关键是他当时说啥了啊,2023/4/21 14:55,北京
Lydia-K8,考公赚钱啊,2023/4/21 14:56,广东
鹅厂大户_,这是得罪导员被摆了一道吧,2023/4/21 14:56,黑龙江
喵喵想要睡觉觉,得亏没被录用。。。,2023/4/21 14:56,福建
女亭夂,干的漂亮??,2023/4/21 14:58,四川
小羊撒腿跑,干得漂亮,2023/4/21 14:58,广东
莲怜惹人爱,该！,2023/4/21 14:58,广东
