861574,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾底盘异响 防冻液变质暖风不热,"冷却系统故障,底盘异响,空调问题",2022-12-29,处理反馈
796575,东风日产,轩逸,2014款 1.6L XV CVT 尊享版,东风日产轩逸空调不制冷防冻液渗漏,"漏防冻液,空调问题",2022-08-20,用户评分
795713,奇瑞捷豹路虎,发现神行,2016款 2.0T SE,路虎发现神行空调不出风 漏防冻液,"漏防冻液,空调问题",2022-08-19,处理反馈
782316,奇瑞汽车,瑞虎3x,2018款 1.5L 自动 精英版,奇瑞瑞虎3x暖风水箱爆裂漏防冻液,"漏防冻液,空调问题",2022-07-31,处理反馈
704299,东风日产,轩逸,2021款 经典 1.6 XL CVT 豪华版,东风日产轩逸空调翻板故障外循环驾驶室冻腿,空调问题,2022-02-17,处理反馈
700121,奇瑞捷豹路虎,发现神行,2017款 2.0T SE,奇瑞捷豹路虎发现神行水箱漏防冻液,"漏防冻液,空调问题",2022-02-05,处理反馈
689149,北京奔驰,奔驰GLC,2022款 改款 GLC 260 L 4MATIC 动感型,北京奔驰GLC新车漏防冻液无法行驶,"漏防冻液,抖动,异响,空调问题",2022-01-04,用户评分
610775,东风日产,轩逸,2016款 1.6XL CVT 尊享版,东风日产轩逸空调不制冷防冻液渗漏,"漏防冻液,冷却系统故障,空调问题",2021-06-23,用户评分
574925,宝沃汽车,宝沃BX7,2016款 28T 四驱 豪华版 5座,宝沃BX7空调异响发动机噪音大漏防冻液,"噪音大,漏防冻液,异响,空调问题",2021-02-27,处理反馈
573624,上汽通用别克,昂科拉,2013款 1.4T  手动 都市进取型,别克昂科拉发动机漏油漏防冻液,"漏油,漏防冻液,车内异味,空调问题",2021-02-22,用户评分
568657,一汽-大众,速腾,2014款 1.6L 自动 舒适型 改款,一汽大众速腾防冻液渗漏空调制热效果差,"漏防冻液,空调问题",2021-01-29,处理反馈
554793,江西五十铃,D-MAX,2018款 3.0T 自动 四驱 超豪华型 4JJ1-TC HI,江西五十铃D-MAX发动机漏油漏防冻液,"漏油,漏防冻液,抖动,空调问题",2020-12-18,信息审核
547119,陕汽商用车,轩德X9,陕汽商用车 轩德X9 标载版 143马力 4.15米单排栏板式轻卡,陕汽轩德X9空调故障防冻液渗漏希望厂家处理,"漏防冻液,空调问题",2020-11-26,信息审核
534398,宝沃汽车,宝沃BX7,2016款 28T 四驱 豪华版 5座,宝沃BX7发动机噪音大漏防冻液空调异响,"噪音大,漏防冻液,异响,空调问题",2020-10-19,用户评分
530119,长安马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹暖风水箱漏防冻液,空调问题,2020-10-08,用户评分
505807,华晨宝马,宝马3系,2017款 320Li 时尚型,华晨宝马3系水箱漏防冻液 空调不制冷,"漏油,漏防冻液,空调问题",2020-08-05,处理反馈
474391,众泰汽车,众泰T600,2017款 1.5T 手动 豪华 贺岁版,众泰T600空调压缩机异响 散热水箱漏防冻液,"漏防冻液,冷却系统故障,空调问题",2020-05-18,处理反馈
468848,众泰汽车,众泰T600,2017款 1.5T 手动 豪华 贺岁版,众泰T600空调压缩机异响散热水箱漏防冻液,"漏防冻液,空调问题",2020-05-02,用户评分
458698,东风雪铁龙,雪铁龙C4L,2015款 1.6T 自动 旗舰版,东风雪铁龙C4L空调不制冷 防冻液泄漏,"漏防冻液,空调问题",2020-03-30,处理反馈
444352,一汽-大众,速腾,2012款 1.4TSI DSG 豪华型,一汽大众速腾发动机漏防冻液 减震器漏油,"漏防冻液,顿挫,减震器漏油,空调问题,中控台异响",2020-01-17,处理反馈
426485,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS暖风水箱处漏防冻液,"漏防冻液,空调问题",2019-11-21,处理反馈
361983,长安福特,翼虎,2013款 1.6T  两驱风尚型,长安福特翼虎冷却系统召回后暖风管漏防冻液,"漏防冻液,空调问题",2019-04-03,用户评分
319973,比亚迪,比亚迪G5,2014款 1.5TI 手动 尊贵型,比亚迪G5无法换挡发动机舱异响漏防冻液,"异响,冷却系统故障,无法换挡,空调问题,车身漏水",2018-11-13,处理反馈
255849,上汽通用别克,昂科拉,2013款 1.4T  自动 都市精英型,别克昂科拉发动机漏防冻液 空调压缩机损坏,"漏防冻液,空调问题",2018-02-28,厂家受理
250187,上汽通用别克,昂科拉,2013款 1.4T  自动 都市精英型,别克昂科拉发动机漏防冻液 空调压缩机损坏,"漏防冻液,空调问题",2018-02-01,用户评分
247020,上汽通用别克,君越,2016款 20T 双离合 领先型 改款,别克君越发动机抖动漏防冻液 空调不出热风,"抖动,漏防冻液,空调问题",2018-01-23,处理反馈
244449,东风小康,小康C37,2016款 1.5L 精典型II DK15-06,东风小康C37机油及防冻液异常消耗 暖风失效,"烧机油,冷却系统故障,空调问题",2018-01-14,处理反馈
243505,上汽通用别克,昂科拉,2013款 1.4T  自动 都市精英型,别克昂科拉发动机漏防冻液 空调压缩机损坏,"漏防冻液,顿挫,空调问题",2018-01-10,用户评分
242066,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L发动机烧机油水泵漏防冻液,"烧机油,漏防冻液,水泵故障,空调问题",2018-01-04,处理反馈
234934,长安福特,翼虎,2013款 1.6T  两驱舒适型,长安福特翼虎发动机漏油冷却系统漏防冻液,"漏油,漏防冻液,空调问题",2017-12-04,用户评分
163367,上汽通用雪佛兰,创酷,2014款 1.4T 手动 两驱 舒适型 5座,雪佛兰创酷普利司通轮胎开裂 冷冻液壶开裂,"漏防冻液,冷却系统故障,开裂,空调问题",2016-10-21,厂家受理
132110,上汽大众斯柯达,明锐,2013款 1.6L 手动 逸杰版,斯柯达明锐暖风管接头漏防冻液,空调问题,2016-03-15,用户评分
112596,上汽大众,途观,2010款 2.0TSI 自动 四驱 菁英版,上海大众途观漏防冻液 空调制冷效果差,"漏防冻液,空调问题",2015-10-14,用户评分
111583,上汽大众,途观,2010款 2.0TSI 自动 四驱 菁英版,上海大众途观漏防冻液 空调制冷效果差,"漏防冻液,空调问题",2015-10-07,用户评分
53815,保时捷,Panamera,2013款 3.6L 双离合 Platinum Edition,保时捷Panamera空调不凉漏防冻液,"漏防冻液,空调问题",2014-04-19,信息审核
