544866,一汽-大众,迈腾,2011款 1.4TSI 精英型,一汽大众迈腾变速箱顿挫跳挡防冻液渗漏,"漏防冻液,顿挫,无法换挡,抖动,故障灯亮,车灯进水,车钥匙故障,车门故障",2020-11-18,用户评分
494373,华晨宝马,宝马3系,2020款 325i M运动套装,华晨宝马3系发动机防冻液泄漏 车灯进昆虫,"漏防冻液,车灯进水",2020-07-11,处理反馈
173705,奇瑞汽车,艾瑞泽7,2015款 1.5T 手动 致尚版,奇瑞艾瑞泽7漏防冻液 大灯进水 A柱异响共振,"漏防冻液,车灯进水,车身共振,车身装饰脱落",2016-12-19,处理反馈
119888,猎豹汽车,猎豹CS10,2015款 2.0T 手动 卓越版,猎豹CS10大灯里面有雾气 防冻液缺失,"漏防冻液,刹车泵故障,车灯进水",2015-12-14,用户评分
956133,北京现代,名图,2016款 1.6T 自动 智能型GLS,北京现代名图右侧尾灯进水希望厂家处理,车灯进水,2023-07-10,处理反馈
955489,比亚迪,驱逐舰05,2022款 DM-i 55KM 豪华型,比亚迪驱逐舰05电池电压低 后尾灯进水,"混动模式转换故障,车灯进水,动力电池故障",2023-07-10,厂家受理
953466,上汽大众,凌渡,2021款 280TSI DSG 舒适版,上汽大众凌渡大灯开裂进水起雾希望解决,"车灯进水,灯罩裂纹或变形",2023-07-06,处理反馈
950088,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹座椅生锈 车灯进水 后备厢处流水,"车身生锈,车灯进水,疑似设计缺陷",2023-07-03,处理反馈
949757,奇瑞汽车,瑞虎7,2020款 1.5T 手动 精英型,奇瑞瑞虎7左前大灯开裂导致进水,"车灯进水,灯罩裂纹或变形",2023-07-02,用户评分
949185,比亚迪,汉,2022款 DM-i 121KM 尊荣型,比亚迪汉尾灯进水 动力电池故障续航降价,"车灯进水,动力电池故障",2023-07-01,用户评分
946769,一汽奥迪,奥迪Q3,2021款 40 TFSI 时尚动感型,一汽奥迪Q3大灯进水不亮希望处理,车灯进水,2023-06-28,用户评分
946614,广汽本田,雅阁,2023款 260TURBO 智享版,广汽本田雅阁新车尾灯起雾疑似进水,车灯进水,2023-06-28,处理反馈
946063,广汽本田,皓影,2020款 锐·混动 2.0L 两驱 锐·豪华版,广汽本田皓影大灯进水 刹车异响 面板松动,"异响,车灯进水",2023-06-27,处理反馈
945114,上汽通用别克,君威,2021款 552T 精英型,别克君威中控屏经常死机 车灯内部有水珠,"影音系统故障,车灯进水",2023-06-26,用户评分
943055,长城汽车,哈弗H6,2017款 1.5T 自动 两驱 豪华型 改款 运动版 蓝标,哈弗H6大灯进水4S店维修后更加严重,"车灯进水,维修技术差",2023-06-24,处理反馈
942192,东风乘用车,东风风神E70,2018款 超享版,东风风神E70事故维修更换大灯进水起雾,"车灯进水,配件质量差",2023-06-22,用户评分
938372,上汽通用别克,昂科旗,2022款 652T 四驱 尊享旗舰型 7座,别克昂科旗左侧尾灯一直出现水珠,车灯进水,2023-06-15,用户评分
936533,比亚迪,宋,2019款 1.5TI 手动 智联越动型,比亚迪宋大灯进水起雾希望厂家解决,车灯进水,2023-06-11,用户评分
936003,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪行版,奇瑞瑞虎8 PLUS前大灯进水4S店拒绝更换,车灯进水,2023-06-10,处理反馈
934848,上汽通用别克,君威,2019款 20T 精英型 国VI,别克君威高位刹车灯开裂导致车内漏水,"部件开裂,车灯进水",2023-06-08,用户评分
934351,长城汽车,哈弗H6,2017款 1.5T 自动 两驱 豪华型 改款 运动版 蓝标,哈弗H6大灯有水汽保修期内拖延不更换,车灯进水,2023-06-07,用户评分
933447,吉利汽车,星瑞,2021款 2.0T 尊贵型,吉利星瑞车辆正常使用后尾灯进水,车灯进水,2023-06-06,用户评分
932599,一汽奥迪,奥迪Q2L,2022款 35 TFSI 时尚动感型,一汽奥迪Q2L右前车灯进水开裂希望处理,"车灯进水,灯罩裂纹或变形",2023-06-04,处理反馈
932220,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹后尾灯有雾水 车机反应慢,"影音系统故障,车灯进水",2023-06-03,处理反馈
931715,宝马（进口）,宝马2系,2021款 225i 四门轿跑车 M运动套装,进口宝马2系新车大灯出现水珠质量差,车灯进水,2023-06-02,处理反馈
931012,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹座椅生锈 车灯进水 变相降价,"车身生锈,车灯进水,疑似设计缺陷,价格变动",2023-06-01,用户评分
930345,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动大灯进水起雾不予解决,车灯进水,2023-05-31,用户评分
929389,上汽通用别克,君威,2020款 552T 豪华型,别克君威左后车灯进水存在质量问题,车灯进水,2023-05-29,处理反馈
927301,宝马（进口）,宝马2系,2021款 225i 四门轿跑车 M运动套装,进口宝马2系新车大灯出现水珠质量差,车灯进水,2023-05-26,用户评分
926183,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹后尾灯有雾水 车机反应慢,"影音系统故障,车身生锈,车灯进水,行车安全辅助系统故障",2023-05-24,处理反馈
925073,上汽大众斯柯达,柯迪亚克,2020款 TSI330  两驱 舒适版 7座,斯柯达柯迪亚克大灯进水起雾存在质量问题,"车灯进水,配件质量差",2023-05-22,用户评分
923706,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹座椅生锈 车灯进水 变相降价,"车身生锈,车灯进水,胎压监测故障,疑似设计缺陷,价格变动",2023-05-19,用户评分
923547,华晨宝马,宝马X3,2020款 xDrive28i M运动套装,华晨宝马X3两侧大灯裂纹进水起雾,"车灯进水,灯罩裂纹或变形",2023-05-19,处理反馈
921933,上汽通用凯迪拉克,凯迪拉克CT5,2020款 改款 28T 领先运动型,凯迪拉克CT5车灯进水不亮要求处理,"车灯不亮,车灯进水",2023-05-16,用户评分
921382,上汽通用别克,君威,2022款 552T 智享型,别克君威电瓶亏电右边大灯进水明显,"电瓶故障,车灯进水",2023-05-15,处理反馈
918836,奔驰（进口）,奔驰GLE,2021款 GLE 350 4MATIC 豪华型,进口奔驰GLE左大灯进水起雾希望厂家处理,车灯进水,2023-05-11,信息审核
918626,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹座椅塌陷起皱下雨时车灯渗水,"空调问题,座椅故障,车灯进水,续航里程不准",2023-05-11,用户评分
918378,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹车内异响 车灯进水 变相降价,"车身生锈,车内异响,车灯进水,价格变动",2023-05-10,处理反馈
918148,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹大灯进水转向异响希望厂家处理,"异响,车灯进水,价格变动",2023-05-10,处理反馈
914558,长城汽车,哈弗H6S,2022款 2.0T 两驱 智跑版,哈弗H6S大灯进水起雾希望厂家处理,"车灯进水,疑似设计缺陷",2023-05-04,用户评分
913060,长安汽车,长安CS75 PLUS,2021款 1.5T 自动 尊贵型,长安CS75 PLUS右前大灯进水 下雨天水雾严重,车灯进水,2023-04-29,处理反馈
911086,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国VI,东风本田CR-V后尾灯内部有水珠,车灯进水,2023-04-25,处理反馈
910989,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 尊贵型,长安CS75 PLUS天窗漏水 大灯及雾灯进水起雾,车灯进水,2023-04-25,处理反馈
