850869,上汽通用雪佛兰,科沃兹,2016款 1.5L 自动 欣悦版,雪佛兰科沃兹转向卡滞漏防冻液车身漏水,"漏防冻液,卡滞,车身漏水",2022-12-02,处理反馈
341373,一汽奥迪,奥迪Q5,2016款 40 TFSI 技术型,一汽大众奥迪Q5雨刮器异响漏防冻液,"漏防冻液,车身漏水,雨刮器故障",2019-01-19,信息审核
319973,比亚迪,比亚迪G5,2014款 1.5TI 手动 尊贵型,比亚迪G5无法换挡发动机舱异响漏防冻液,"异响,冷却系统故障,无法换挡,空调问题,车身漏水",2018-11-13,处理反馈
241573,上汽大众斯柯达,明锐,2013款 1.6L 手动 逸俊版,斯柯达明锐防冻液消耗过快后备箱漏水,"漏防冻液,车身漏水",2018-01-02,处理反馈
175993,长城汽车,哈弗H2,2016款 1.5T 手动 两驱豪华型,哈弗H2车身漏水 倒车雷达不响 防冻液渗漏,"漏防冻液,车身漏水,倒车雷达失灵",2016-12-31,处理反馈
173590,上汽集团,荣威360,2015款 1.5L   自动 豪华版,上汽集团荣威360水箱漏防冻液 车内积水,"漏防冻液,车身漏水",2016-12-19,处理反馈
130480,北京汽车,绅宝D70,2013款 2.0T 豪华版,绅宝D70发动机漏防冻液 底板积水,"漏防冻液,共振,车身漏水",2016-03-08,处理反馈
116694,上汽通用五菱,乐驰,2010款 1.2L 手动 运动版活力型,宝骏乐驰发动机漏防冻液 驾驶室漏水,"漏防冻液,车身漏水,服务态度,人员技术",2015-11-17,处理反馈
95806,上汽通用五菱,五菱宏光,2013款 1.5L 舒适型L2B,五菱宏光副驾驶室位置漏防冻液,车身漏水,2015-05-15,用户评分
90258,上汽通用五菱,五菱宏光,2014款 1.2L 基本型,上汽通用五菱宏光副驾驶漏防冻液,车身漏水,2015-04-03,处理反馈
41253,东风日产,轩逸,2012款 1.6L XL 手动 豪华版,东风日产轩逸主驾驶座左侧在行驶时冻腿严重,车身漏水,2013-11-10,处理反馈
957402,一汽-大众捷达,捷达VS7,2020款 1.4T 自动 悦享型,一汽大众捷达VS7发动机舱漏水导致零件生锈,"车轮异响,车身漏水,态度蛮横",2023-07-12,信息审核
956783,上汽通用别克,别克E5,2023款 臻享标准续航版,别克E5车身漏水导致内饰发霉严重,车身漏水,2023-07-11,处理反馈
956153,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹雷达误报座椅生锈后备厢进水,"车身生锈,车身漏水,行车安全辅助系统故障",2023-07-10,信息审核
955722,领克,领克05,2020款 2.0TD 两驱 耀Halo,领克05车身漏水导致无法启动行驶,车身漏水,2023-07-10,处理反馈
954643,奇瑞汽车,艾瑞泽8,2022款 1.6T DCT逸,奇瑞艾瑞泽8车辆漏水多次维修未解决,"车身漏水,多次返修",2023-07-08,处理反馈
954264,一汽解放,解放J6L,2020款 基本型,一汽解放J6L驾驶室后车窗漏水严重,车身漏水,2023-07-08,信息审核
953831,东风日产,骐达TIIDA,2011款 1.6 CVT 舒适版 新骐达,东风日产骐达变速箱无法加速 后备厢漏水,"滑阀箱故障,车身漏水",2023-07-07,信息审核
953379,东风本田,英仕派,2022款 锐·混动 2.0L 净雅版,东风本田英仕派后备厢备胎槽大量积水,车身漏水,2023-07-06,处理反馈
952895,东风本田,思域,2019款 220TURBO CVT 燃动版 国VI,东风本田思域尾翼处漏水严重要求厂家解决,车身漏水,2023-07-06,处理反馈
952885,东风柳汽,乘龙H5,重型仓栅式货车,东风柳汽乘龙H5发动机油耗高 车内进水,"油耗高,车身漏水",2023-07-06,信息审核
952619,东风标致,标致4008,2018款 350THP 精英版,东风标致4008方向异响 后备厢及A柱漏水,"异响,车身漏水",2023-07-05,处理反馈
951289,奇瑞汽车,瑞虎5x,2019款 HERO 1.5L 手动 时尚版,奇瑞瑞虎5x后备厢进水 后备厢生锈,"车身生锈,车身漏水",2023-07-04,处理反馈
950844,上汽大众,途观,2013款 1.8TSI 自动 两驱 豪华型,上汽大众途观下雨时车身漏水导致积水,车身漏水,2023-07-03,用户评分
950829,江淮汽车,瑞风S7,2017款 2.0T 自动 豪华型,江淮瑞风S7脚垫地毯下方积水 车身漏水,车身漏水,2023-07-03,处理反馈
949914,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧车身漏水 油门异响,"油门故障,车身漏水,车灯不亮",2023-07-02,处理反馈
949639,比亚迪,宋PLUS新能源,2021款 DM-i 110KM 旗舰型,比亚迪宋PLUS新能源蒸发箱漏水造成车内积水,"空调问题,车身漏水",2023-07-02,用户评分
949637,比亚迪,唐新能源,2021款 DM-i 112KM 尊贵型,比亚迪唐新能源下雨副驾车门漏水,"车身漏水,车门故障",2023-07-02,处理反馈
949126,吉利汽车,星瑞,2021款 2.0TD 豪华型,吉利星瑞高位刹车灯漏水导致车内积水,"部件开裂,车身漏水",2023-07-01,处理反馈
948417,长安汽车,长安CS35 PLUS,2019款 1.4T DCT 酷联 蓝鲸版,长安CS35 PLUS车身漏水 后雨刮器不喷水,"车身漏水,雨刮器故障",2023-06-30,处理反馈
946046,吉利汽车,星越L,2022款 1.5T 雷神Hi·X油电混动版 Super迅,吉利星越L后挡风玻璃漏水导致电路受损,"车身漏水,电路故障,服务承诺不兑现",2023-06-27,用户评分
945930,长城汽车,炮,2021款 2.0T 商用版 自动 柴油 两驱 精英型 长箱 GW4D20M,长城炮倒车摄像头渗水导致影像显示不全,"影音系统故障,车身漏水",2023-06-27,用户评分
945811,吉利汽车,博越,2020款 1.8TD DCT 智联PRO,吉利博越车身漏水引起后备厢积水,车身漏水,2023-06-27,处理反馈
945046,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹充电口处车身漏水希望处理,车身漏水,2023-06-26,处理反馈
944325,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 精英型,长安CS75 PLUS后排安全带处有漏水的现象,车身漏水,2023-06-26,处理反馈
944213,比亚迪,海豹,2022款 550km 标准续航 后驱版 精英型,比亚迪海豹座椅塌陷 门把手内陷 充电口漏水,"车身漏水,座椅故障,车门把手故障",2023-06-25,处理反馈
944057,上汽大众斯柯达,柯珞克,2019款 TSI280 智行优享版 国V,斯柯达柯珞克下雨时后备厢漏水严重,车身漏水,2023-06-25,处理反馈
943676,路虎进口,路虎卫士,2023款 改款 90 3.0T P400 XS,路虎卫士集雨器进水导致影像黑屏,车身漏水,2023-06-25,处理反馈
943534,上汽通用雪佛兰,迈锐宝,2018款 530T 风尚版,雪佛兰迈锐宝后备厢进水要求解决,车身漏水,2023-06-25,处理反馈
943522,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质悦天窗版,长安马自达3 昂克赛拉车内积水影响使用,车身漏水,2023-06-25,处理反馈
943432,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 豪华型,长安CS75 PLUS后排安全带处有漏水的现象,车身漏水,2023-06-24,处理反馈
943369,上汽通用凯迪拉克,凯迪拉克CT5,2021款 28T 铂金运动型,凯迪拉克CT5后备厢漏水希望厂家处理问题,车身漏水,2023-06-24,用户评分
942380,上汽通用别克,君威,2019款 20T 精英型 国VI,别克君威高位刹车灯漏水导致车内积水,"车身漏水,灯罩裂纹或变形",2023-06-22,用户评分
942299,奇瑞汽车,瑞虎8,2019款 1.5TCI 自动 精英型,奇瑞瑞虎8车身底盘漏水要求厂家解决,车身漏水,2023-06-22,处理反馈
942270,成功汽车,成功V2E,2017款 纯电动 360V,成功V2产品设计缺陷导致电机线路一直进水,车身漏水,2023-06-22,信息审核
941941,上汽集团,名爵5,2021款 180DVVT CVT 青春豪华版,名爵5行驶中跑偏 车内进水希望解决,"跑偏,车身漏水",2023-06-21,处理反馈
940829,悦达起亚,起亚KX5,2016款 2.0L 自动 两驱GLS,悦达起亚KX5前挡风玻璃漏水希望厂家解决,车身漏水,2023-06-19,处理反馈
940711,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 尊贵版,一汽丰田RAV4荣放原车行李架漏水,车身漏水,2023-06-19,处理反馈
940579,上汽通用别克,君威,2019款 20T 精英型 国VI,别克君威驾驶室和后排漏水希望尽快解决,车身漏水,2023-06-19,用户评分
940424,北京汽车,绅宝D50,2014款 1.5L 手动 舒适版,北汽绅宝D50车身漏水内饰发霉 气囊故障灯亮,"车身漏水,气囊故障",2023-06-19,处理反馈
940160,江淮汽车,瑞风S7,2017款 1.5T 手动 精英型,江淮瑞风S7气囊故障 副驾驶漏水,"车身漏水,气囊故障",2023-06-19,处理反馈
940099,长安汽车,长安CS35 PLUS,2019款 1.4T DCT 酷联 蓝鲸版,长安CS35 PLUS车身漏水 后雨刮器不喷水,"车身漏水,雨刮器故障",2023-06-18,用户评分
940090,上汽集团,荣威RX5,2016款 1.5T 自动  两驱 互联网智享版,荣威RX5三角玻璃漏水 底盘异响 车机黑屏,"底盘异响,影音系统故障,车身漏水",2023-06-18,处理反馈
939298,长城汽车,哈弗赤兔,2022款 劲享版 1.5T 紫铜兔,哈弗赤兔车门爆漆 顶灯漏水影响使用,"漆面起泡开裂,车身漏水",2023-06-17,用户评分
938187,一汽-大众捷达,捷达VS7,2020款 1.4T 自动 荣耀型,一汽大众捷达VS7车身漏水要求厂家处理,车身漏水,2023-06-14,用户评分
938049,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度车门漏水希望厂家协助解决,车身漏水,2023-06-14,用户评分
937739,上汽集团,荣威RX8,2018款 30T 四驱 智联网 旗舰版 7座,上汽荣威RX8车窗漏水 后备厢内有大量积水,车身漏水,2023-06-14,处理反馈
937724,北京现代,伊兰特,2021款 240TGDi DCT TOP 旗舰版,北京现代伊兰特车身密封瑕疵导致车辆漏水,车身漏水,2023-06-14,处理反馈
937571,吉利汽车,博越,2020款 1.8TD DCT 智联PRO,吉利博越车身漏水引起后备厢积水,车身漏水,2023-06-13,用户评分
937265,程力威,洗扫车,环卫洗扫车,程力威环卫洗扫车车身多处漏水,车身漏水,2023-06-13,信息审核
936079,长安福特,蒙迪欧,2020款 EcoBoost 180 时尚型,长安福特蒙迪欧眼镜盒位置漏水,车身漏水,2023-06-10,处理反馈
935225,一汽-大众,迈腾,2023款 200万辆纪念版 330TSI DSG 领先型,一汽大众迈腾后备厢密封条渗水导致车辆泡水,车身漏水,2023-06-08,处理反馈
935146,上汽大众斯柯达,柯珞克,2019款 TSI280 智行优享版 国Ⅵ,斯柯达柯珞克后备厢漏水 车内漏玻璃水,"车身漏水,雨刮器故障",2023-06-08,用户评分
934533,长安马自达,马自达3 昂克赛拉,2014款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉车内进水要求解决,车身漏水,2023-06-07,用户评分
934214,北京现代,伊兰特,2021款 240TGDi DCT TOP 旗舰版,北京现代伊兰特车身密封瑕疵导致车辆漏水,车身漏水,2023-06-07,用户评分
933869,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹座椅塌陷生锈 后备厢漏水,"异响,抖动,车身生锈,车身漏水,座椅故障,同款不同配置,价格变动",2023-06-06,处理反馈
932916,北京现代,途胜,2022款 途胜L 2.0L 混动·尊贵版,北京现代途胜下雨后车门积水严重,车身漏水,2023-06-05,处理反馈
931925,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹座椅生锈 后备厢漏水 中控台异响,"车身生锈,中控台异响,车身漏水,座椅故障",2023-06-03,用户评分
931143,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧车身漏水 油门异响,"油门故障,车身漏水",2023-06-01,用户评分
930666,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来车身漏水导致后备厢有积水,车身漏水,2023-05-31,处理反馈
930575,北京现代,伊兰特,2021款 240TGDi DCT TOP 旗舰版,北京现代伊兰特车身密封瑕疵导致车辆漏水,车身漏水,2023-05-31,用户评分
930185,一汽-大众捷达,捷达VS7,2020款 1.4T 自动 荣耀型,一汽大众捷达VS7车身漏水要求处理,车身漏水,2023-05-31,处理反馈
929452,长城汽车,哈弗M6,2021款 PLUS 1.5T 手动 精英智联型,哈弗M6更换后备厢玻璃后出现漏水,车身漏水,2023-05-29,处理反馈
929319,广汽本田,凌派,2022款 180Turbo CVT豪华版,广汽本田凌派后门渗水希望厂家处理,车身漏水,2023-05-29,处理反馈
925721,长城汽车,哈弗赤兔,2022款 劲享版 1.5T 紫铜兔,哈弗赤兔车门爆漆 顶灯漏水影响使用,"漆面起泡开裂,车身漏水",2023-05-24,用户评分
924825,一汽红旗,红旗E-HS9,2021款 460km 旗悦版 七座,红旗E-HS9车辆漏水导致全车断电,车身漏水,2023-05-22,信息审核
924712,广汽本田,皓影,2021款 锐·混动 2.0L 两驱 锐·豪华版,广汽本田皓影后备厢进水而且生锈,"车身生锈,车身漏水",2023-05-22,处理反馈
924137,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹座椅生锈 后备厢漏水 中控台异响,"车身生锈,中控台异响,车身漏水,座椅故障",2023-05-20,用户评分
923447,一汽-大众捷达,捷达VS7,2020款 1.4T 自动 悦享型,一汽大众捷达VS7后备厢备胎槽大量积水,车身漏水,2023-05-19,处理反馈
922927,东风日产,奇骏·荣耀,2022款 改款 2.0L 两驱 智联臻享版,东风日产奇骏荣耀后翼子板玻璃松动漏水,"异响,车身漏水",2023-05-18,处理反馈
922865,东风标致,标致408,2016款 1.6T 自动 豪华版,标致408集雨板导水槽漏水固特异轮胎开裂,"开裂,部件开裂,车身漏水",2023-05-18,用户评分
921674,江铃福特,领裕,2021款 EcoBoost 225 精领型 6座,江铃福特领裕车身风挡玻璃漏水车内进水,车身漏水,2023-05-16,处理反馈
920906,比亚迪,海豹,2022款 550km 标准续航 后驱版 尊贵型,比亚迪海豹后备厢漏水 雨刮器异响,"车身漏水,疑似设计缺陷",2023-05-15,用户评分
920600,比亚迪,海豹,2022款 700km 长续航 后驱版,比亚迪海豹座椅塌陷生锈 后备厢漏水,"车身生锈,车身漏水,座椅故障,价格变动",2023-05-14,用户评分
920177,长安汽车,长安奔奔E-Star,2022款 国民版 多彩限量款（快充版）磷酸铁锂,长安奔奔E-Star轮胎进水导致胎压传感器故障,车身漏水,2023-05-13,处理反馈
920147,比亚迪,海豹,2022款 550km 标准续航 后驱版 精英型,比亚迪海豹车身生锈 座椅塌陷 车身漏水,"影音系统故障,车身生锈,车身漏水,座椅故障,雨刮器故障,续航里程不准,车门把手故障",2023-05-13,处理反馈
919974,一汽-大众,宝来,2020款 1.5L 手动 时尚型,一汽大众宝来车辆漏水后备厢有积水,车身漏水,2023-05-12,处理反馈
919946,一汽-大众,揽境,2023款 380TSI 四驱 豪华佳境版Pro,一汽大众揽境车顶排水管未接导致A柱处漏水,车身漏水,2023-05-12,处理反馈
919932,上汽大众,凌渡,2022款 凌渡L 280TSI DSG 炫辣版,上汽大众凌渡后备厢下方出现黑色水渍,车身漏水,2023-05-12,用户评分
919931,奇瑞汽车,瑞虎5x,2017款 1.5T 自动 豪华型,奇瑞瑞虎5x后备厢通风口处有漏水的现象,车身漏水,2023-05-12,处理反馈
919329,一汽丰田,亚洲龙,2022款 双擎 2.5L 豪华版,一汽丰田亚洲龙车身漏水多次维修未解决,车身漏水,2023-05-12,处理反馈
919194,比亚迪,海豹,2022款 550km 标准续航 后驱版 精英型,比亚迪海豹车身生锈 大灯缝隙漏水 向右跑偏,"跑偏,车身生锈,车身漏水,行车安全辅助系统故障,车门把手故障",2023-05-11,用户评分
