标题,房屋区域,房屋地址,房屋户型,房屋面积,房屋朝向,装修情况,有无电梯,房屋楼层,预计总价格,每平方价格,建成年份,房屋网址
"['浑南新市府 电梯洋房 三室两卫 楼下国际软件园"">浑南新市府 电梯洋房 三室两卫 楼下国际软件园']",['浑南'],藏珑白塔湾里,3室1厅1厨2卫,135.23㎡,南 北,简装,暂无数据,高楼层 (共6层),149.5万,11056元/平方,2016年建,https://sy.lianjia.com/ershoufang/102106547417.html
"['万科惠斯勒叠拼别墅 带南花园带车位 美式装修 一跃二"">万科惠斯勒叠拼别墅 带南花园带车位 美式装修 一跃二']",['浑南'],万科惠斯勒小镇,4室2厅1厨3卫,170.95㎡,南,精装,,低楼层 (共4层),136万,7956元/平方,未知年建,https://sy.lianjia.com/ershoufang/102106538793.html
"['恒大名都一期 精装三室 带大平台使用空间大 着急出售"">恒大名都一期 精装三室 带大平台使用空间大 着急出售']",['苏家屯'],恒大名都一期,3室1厅1厨1卫,116.16㎡,东南 北,精装,有,低楼层 (共32层),65.5万,5639元/平方,2012年建,https://sy.lianjia.com/ershoufang/102106547391.html
"['毛坯房，中间楼层，采光好，南北通透，视野好，看河景"">毛坯房，中间楼层，采光好，南北通透，视野好，看河景']",['沈北新区'],碧桂园太阳城,3室2厅1厨2卫,148.82㎡,东南 北,毛坯,有,高楼层 (共32层),80万,5376元/平方,2012年建,https://sy.lianjia.com/ershoufang/102106556393.html
"['此房满五年 交通便利 配套齐全 产权清晰 封闭园区"">此房满五年 交通便利 配套齐全 产权清晰 封闭园区']",['皇姑'],中远颐和丽园,3室2厅1厨2卫,109.48㎡,南 西,简装,有,低楼层 (共21层),106万,9683元/平方,未知年建,https://sy.lianjia.com/ershoufang/102106546737.html
"['华润大开 前边是洋房 方林精装 全新未住 业主外地发展"">华润大开 前边是洋房 方林精装 全新未住 业主外地发展']",['于洪'],华润橡树湾二期,4室1厅1厨2卫,129.99㎡,南 北,精装,有,高楼层 (共31层),139.9万,10763元/平方,2013年建,https://sy.lianjia.com/ershoufang/102106556184.html
标题,房屋区域,房屋地址,房屋户型,房屋面积,房屋朝向,装修情况,有无电梯,房屋楼层,预计总价格,每平方价格,建成年份,房屋网址
标题,房屋区域,房屋地址,房屋户型,房屋面积,房屋朝向,装修情况,有无电梯,房屋楼层,预计总价格,每平方价格,建成年份,房屋网址
标题,房屋区域,房屋地址,房屋户型,房屋面积,房屋朝向,装修情况,有无电梯,房屋楼层,预计总价格,每平方价格,建成年份,房屋网址
标题,房屋区域,房屋地址,房屋户型,房屋面积,房屋朝向,装修情况,有无电梯,房屋楼层,预计总价格,每平方价格,建成年份,房屋网址
标题,房屋区域,房屋地址,房屋户型,房屋面积,房屋朝向,装修情况,有无电梯,房屋楼层,预计总价格,每平方价格,建成年份,房屋网址
"['浑南新市府 电梯洋房 三室两卫 楼下国际软件园"">浑南新市府 电梯洋房 三室两卫 楼下国际软件园']",['浑南'],藏珑白塔湾里,3室1厅1厨2卫,135.23㎡,南 北,简装,暂无数据,高楼层 (共6层),149.5万,11056元/平方,2016年建,https://sy.lianjia.com/ershoufang/102106547417.html
"['万科惠斯勒叠拼别墅 带南花园带车位 美式装修 一跃二"">万科惠斯勒叠拼别墅 带南花园带车位 美式装修 一跃二']",['浑南'],万科惠斯勒小镇,4室2厅1厨3卫,170.95㎡,南,精装,,低楼层 (共4层),136万,7956元/平方,未知年建,https://sy.lianjia.com/ershoufang/102106538793.html
"['恒大名都一期 精装三室 带大平台使用空间大 着急出售"">恒大名都一期 精装三室 带大平台使用空间大 着急出售']",['苏家屯'],恒大名都一期,3室1厅1厨1卫,116.16㎡,东南 北,精装,有,低楼层 (共32层),65.5万,5639元/平方,2012年建,https://sy.lianjia.com/ershoufang/102106547391.html
