Sex,Year,Age,People
M,1900,0,4619544
M,2000,0,9735380
M,1900,5,4465783
M,2000,5,10552146
M,1900,10,4057669
M,2000,10,10563233
M,1900,15,3774846
M,2000,15,10237419
M,1900,20,3694038
M,2000,20,9731315
M,1900,25,3389280
M,2000,25,9659493
M,1900,30,2918964
M,2000,30,10205879
M,1900,35,2633883
M,2000,35,11475182
M,1900,40,2261070
M,2000,40,11320252
M,1900,45,1868413
M,2000,45,9925006
M,1900,50,1571038
M,2000,50,8507934
M,1900,55,1161908
M,2000,55,6459082
M,1900,60,916571
M,2000,60,5123399
M,1900,65,672663
M,2000,65,4453623
M,1900,70,454747
M,2000,70,3792145
M,1900,75,268211
M,2000,75,2912655
M,1900,80,127435
M,2000,80,1902638
M,1900,85,44008
M,2000,85,970357
M,1900,90,15164
M,2000,90,336303
F,1900,0,4589196
F,2000,0,9310714
F,1900,5,4390483
F,2000,5,10069564
F,1900,10,4001749
F,2000,10,10022524
F,1900,15,3801743
F,2000,15,9692669
F,1900,20,3751061
F,2000,20,9324244
F,1900,25,3236056
F,2000,25,9518507
F,1900,30,2665174
F,2000,30,10119296
F,1900,35,2347737
F,2000,35,11635647
F,1900,40,2004987
F,2000,40,11488578
F,1900,45,1648025
F,2000,45,10261253
F,1900,50,1411981
F,2000,50,8911133
F,1900,55,1064632
F,2000,55,6921268
F,1900,60,887508
F,2000,60,5668961
F,1900,65,640212
F,2000,65,4804784
F,1900,70,440007
F,2000,70,5184855
F,1900,75,265879
F,2000,75,4355644
F,1900,80,132449
F,2000,80,3221898
F,1900,85,48614
F,2000,85,1981156
F,1900,90,20093
F,2000,90,1064581
