['1', '广元市', '四川省', '10 ', '优', '7']
['2', '怀化市', '湖南省', '12 ', '优', '8']
['3', '张家界市', '湖南省', '12 ', '优', '4']
['4', '绵阳市', '四川省', '12 ', '优', '6']
['5', '铜仁地区', '贵州省', '13 ', '优', '8']
['6', '乐山市', '四川省', '15 ', '优', '10']
['7', '湘西州', '湖南省', '16 ', '优', '8']
['8', '德阳市', '四川省', '16 ', '优', '8']
['9', '眉山市', '四川省', '16 ', '优', '8']
['10', '克拉玛依市', '新疆', '16 ', '优', '11']
['11', '乌鲁木齐市', '新疆', '16 ', '优', '9']
['12', '昌吉州', '新疆', '18 ', '优', '10']
['13', '楚雄州', '云南省', '18 ', '优', '12']
['14', '林芝市', '西藏', '19 ', '优', '8']
['15', '成都市', '四川省', '20 ', '优', '13']
['16', '保山市', '云南省', '20 ', '优', '14']
['17', '玉溪市', '云南省', '21 ', '优', '10']
['18', '昌都市', '西藏', '21 ', '优', '10']
['19', '日喀则市', '西藏', '22 ', '优', '6']
['20', '遵义市', '贵州省', '22 ', '优', '11']
['21', '六盘水市', '贵州省', '22 ', '优', '15']
['22', '贵阳市', '贵州省', '22 ', '优', '14']
['23', '遂宁市', '四川省', '23 ', '优', '11']
['24', '西双版纳州', '云南省', '23 ', '优', '16']
['25', '拉萨市', '西藏', '23 ', '优', '7']
['26', '邵阳市', '湖南省', '23 ', '优', '16']
['27', '桂林市', '广西省', '24 ', '优', '15']
['28', '清远市', '广东省', '24 ', '优', '12']
['29', '安康市', '陕西省', '24 ', '优', '15']
['30', '阿里地区', '西藏', '24 ', '优', '4']
['31', '昭通市', '云南省', '24 ', '优', '16']
['32', '雅安市', '四川省', '24 ', '优', '14']
['33', '毕节市', '贵州省', '24 ', '优', '16']
['34', '石河子市', '新疆', '25 ', '优', '10']
['35', '河池市', '广西省', '25 ', '优', '17']
['36', '龙岩市', '福建省', '25 ', '优', '9']
['37', '包头市', '内蒙古', '26 ', '优', '18']
['38', '漳州市', '福建省', '26 ', '优', '16']
['39', '昆明市', '云南省', '26 ', '优', '12']
['40', '宜昌市', '湖北省', '26 ', '优', '11']
['41', '广州市', '广东省', '26 ', '优', '15']
['42', '梅州市', '广东省', '26 ', '优', '17']
['43', '肇庆市', '广东省', '27 ', '优', '18']
['44', '普洱市', '云南省', '27 ', '优', '17']
['45', '黄山市', '安徽省', '27 ', '优', '16']
['46', '朔州市', '山西省', '28 ', '优', '19']
['47', '南充市', '四川省', '28 ', '优', '16']
['48', '广安市', '四川省', '28 ', '优', '16']
['49', '娄底市', '湖南省', '28 ', '优', '19']
['50', '河源市', '广东省', '28 ', '优', '18']
['51', '东莞市', '广东省', '29 ', '优', '15']
['52', '镇江市', '江苏省', '29 ', '优', '16']
['53', '常州市', '江苏省', '29 ', '优', '14']
['54', '厦门市', '福建省', '29 ', '优', '13']
['55', '庆阳市', '甘肃省', '29 ', '优', '20']
['56', '伊犁哈萨克州', '新疆', '30 ', '优', '21']
['57', '三明市', '福建省', '30 ', '优', '16']
['58', '南平市', '福建省', '31 ', '优', '17']
['59', '佛山市', '广东省', '31 ', '优', '19']
['60', '惠州市', '广东省', '32 ', '优', '22']
['61', '资阳市', '四川省', '32 ', '优', '22']
['62', '大理州', '云南省', '32 ', '优', '12']
['63', '无锡市', '江苏省', '32 ', '优', '16']
['64', '西宁市', '青海省', '33 ', '优', '23']
['65', '泉州市', '福建省', '33 ', '优', '10']
['66', '东营市', '山东省', '33 ', '优', '17']
['67', '威海市', '山东省', '33 ', '优', '21']
['68', '延安市', '陕西省', '33 ', '优', '22']
['69', '安顺市', '贵州省', '33 ', '优', '23']
['70', '达州市', '四川省', '33 ', '优', '14']
['71', '中山市', '广东省', '33 ', '优', '16']
['72', '云浮市', '广东省', '34 ', '优', '18']
['73', '泰州市', '江苏省', '34 ', '优', '13']
['74', '萍乡市', '江西省', '35 ', '优', '21']
['75', '南通市', '江苏省', '35 ', '优', '18']
['76', '永州市', '湖南省', '35 ', '优', '24']
['77', '汉中市', '陕西省', '36 ', '优', '12']
['78', '重庆市', '重庆市', '36 ', '优', '23']
['79', '舟山市', '浙江省', '36 ', '优', '16']
['80', '扬州市', '江苏省', '36 ', '优', '13']
['81', '福州市', '福建省', '36 ', '优', '14']
