id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4809752067184135,M45H8u8V9,1650750990,看厦门,挺好奇，我们国内新冠疫情会以怎样的方式结束,,厦门,,,22,88,257,2022-09-03 23:08,iPhone 12,,,
4809756491646179,M45Oh6Ufh,1455197710,晨晓同学,#石家庄疫情#明天起，高新区全部解除封控。,,,,石家庄疫情,3,32,51,2022-09-03 23:26,新版微博 weibo.com,,,
4809756386528962,M45O6rotQ,3236242114,河北新闻哥,【#石家庄疫情##河北新增#高新区明日率先解封】大体精神是这样的：1.明天商场、饭店继续暂停营业，超市正常开业。2.明天起区内解封，人员可以在高新区内自由流动，不需要各类证件。3.除长安区、裕华区、桥西区、新华区外，其他无疫情的地区人员可出入高新区。4.明天各超市、市场要加大备货，满足群众消费需求。5.各场所要严格落实测温、扫场所码、查验健康码、戴口罩、消毒通风等措施。6.入口处要加强查验，要加派人手维持秩序，防止人员聚集。必要时采取限流措施。,,,,"石家庄疫情,河北新增",16,142,390,2022-09-03 23:25,iPhone 12 Pro Max,['https://wx1.sinaimg.cn/large/c0e522c2ly1h5ttzf8eudj20gs08emy0.jpg'],,
4809762006373216,M45XaqJXO,1898968765,叫我啊宅_,睡了吗，来吃夜宵聊聊天嘛。早上一个朋友给我打电话，因为疫情她的工作被打乱，加上居家隔离，她难受得决定一天不吃东西。我真的非常佩服她，因为居家隔离我今天正打算大吃一顿，什么热量高吃什么。我对食物是很依赖的，尤其是很累或者心情不佳的时候。我是不可能因为天热就没胃口，我是吃撑了都能再塞一顿的那种。我记得前两年看过的一条微博。内容是科学家经过计算得出全球要恢复到疫情前的样子需要六年。我当时觉得不可思议，觉得不可能。我可是经历过SARS的人，天热病毒大概就会死翘翘。现在我已经完全认可这种说法，甚至觉得时间都已过半，很快另外三年就会过去。最后说一个你们爱听的，我这个人从小做啥，啥就跟我作对。排队永远是最长的，有一年深圳特别热，第二年我就买了两份高温保险，结果那年夏天深圳没有一天超过35度。所以说不定明年病毒就死翘翘了，我们拭目以待,,,,,1,51,60,2022-09-03 23:48,iPhone 13 Pro,['https://wx4.sinaimg.cn/large/712ff6bdgy1h5tuncbv8ij229i2umhdt.jpg'],,
4809761662442041,M45WCafhL,5698455016,孔唯唯Vivian,#广州疫情防控#这次疫情有点悬，换了深圳官员过来麻烦把广州卫健委原来的官员换回来深圳经验不适合广州这次真是粤语冲上热搜,,,,广州疫情防控,10,17,535,2022-09-03 23:46,OPPO Reno6 Pro+ 5G,,,
4809761923797815,M45X2fVZ5,7459491707,蔡蔡白日梦,#官方回应大庆孕妇就医流产事件#一次又一次，十几次核酸，次次阴性。低风险区却让你买菜都成困难。但我还得谨慎说话，我得小心翼翼，我得遣词造句，我一定要唱赞歌，不然网络不是法外之地，我一定要安分守己闭门不出，否则就是眼中无大局的腌臜泼才。在疫情里，你的快递可以被退回，你的外卖可以被退回，你的学业可以被退回，甚至你的人生你的时间也要暂停更甚者退回。他们要求你没有口腹之欲，要求你大局为重，要求你不准躺平，要求你早生贵子，要求你言行得当，要求你默默无闻，还要你无私奉献。希望我们的时间不再暂停，高呼万岁的官方能停下不休的赞歌，你也不用为自己的诉求而战战兢兢,,,,官方回应大庆孕妇就医流产事件,14,31,294,2022-09-03 23:47,Redmi K30 5G先锋,,,
4809750154582966,M45E3jeeO,1854343754,吉林大冷面,#吉林疫情#散会洗洗睡觉吧L吉林大冷面的微博视频,,吉林·如一坊中央公园,,吉林疫情,4,17,86,2022-09-03 23:01,冷面粉送的iPhone 12 Pro,,"http://f.video.weibocdn.com/o0/Kd3Do1Zzlx07YVO5Qsnm01041200a5Tg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1670240371&ssig=LdQhiyZjw1&KID=unistore,video",
4809754334987046,M45KNkVme,3309826382,健康成都官微,#疫情防控#【当前本土疫情防控聚焦问题答疑】目前，正值我市本土疫情应急处置关键时期，感谢广大市民朋友克服防疫给工作和生活带来的不便，积极主动落实疫情防控措施，齐心协力阻击疫情传播。现就市民朋友关注的疫情防控热点问题统一答复。疫情大考仍在继续，让我们一起努力，众志成城齐心战疫，早日恢复正常生产生活秩序。,,,,疫情防控,24,54,162,2022-09-03 23:17,HUAWEI P30,"['https://wx1.sinaimg.cn/large/c547f14egy1h5ttri05sjj20dw08pt8s.jpg', 'https://wx1.sinaimg.cn/large/c547f14egy1h5ttrmd3cfj20q0cmqnke.jpg']",,
4809750577944131,M45EJxkD9,5714719345,Oneline科技,看了几百条评论，我来简单总结一下。我看不少朋友都表示，自己已经做到了三天三检，但为啥还是黄码？工作人员回应称，这是四川疾控中心的应急黄码，收到短信黄码之后三天三检就行。哎？问题来了，网友刚刚三天三检，但为啥从短信提示后，自己之前的核酸检测就被清零了？剩余内容请查看下方图片。#四川增本土确诊98例无症状88例##成都疫情防控##成都黄码##成都疫情#,,,,"四川增本土确诊98例无症状88例,成都疫情防控,成都黄码,成都疫情",6,16,137,2022-09-03 23:02,iPhone 13,['https://wx4.sinaimg.cn/large/006eKnyFly1h5ttc2unenj30oo19f7gs.jpg'],,
4809402023150509,M3WAyddAF,7006372128,詹志斌同学,就在上条微博刚感慨疫情发出几分钟后我小区突然发通知小区封起来了（小区所在地区是低风险地区）0点后只进不出我瞬间蹦下床拖着行李冲出家门因为明天已经确定了要出差想想还挺魔幻的我现在想晚上我能住哪因为深圳今夜起大部分地方都封控了,,深圳,,,6,233,334,2022-09-02 23:57,,"['https://wx1.sinaimg.cn/large/007Ea1s4gy1h5sp67u2yej30pk111wjv.jpg', 'https://wx4.sinaimg.cn/large/007Ea1s4gy1h5sp8rwh8oj32c0340b2a.jpg']",,
