区域,区域.1,房屋,链接,参考总价,参考单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房协编码
福田区,百花,房子满五唯一南北通、业主自住 保养好,https://sz.lianjia.com/ershoufang/105106972576.html,1284万,120000元/平米,南天一花园,3室2厅1厨1卫,低楼层 (共17层),107㎡,平层,暂无数据,板楼,南,钢混结构,精装,六梯二十二户,有,2021/4/12,商品房,2012/2/14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.16E+11
福田区,百花,长城二南北，70年产权，可贷款30年看房方便,https://sz.lianjia.com/ershoufang/105105276975.html,1072万,100000元/平米,长城二花园,3室1厅1厨1卫,低楼层 (共18层),107.2㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯七户,有,2020/9/8,商品房,2015/8/18,普通住宅,满五年,非共有,无抵押,已上传房本照片,20528711628
福田区,百花,长城花园 复式两房 动静分离 楼层视野好 业主诚心卖,https://sz.lianjia.com/ershoufang/105107182897.html,837万,100000元/平米,长城花园,2室1厅1厨1卫,高楼层 (共17层),83.67㎡,复式,暂无数据,板楼,南,钢混结构,简装,两梯十六户,有,2021/4/29,商品房,1985/5/28,普通住宅,满五年,非共有,有抵押 200万元 建行 客户偿还,已上传房本照片,2.15E+11
福田区,百花,业主诚心出售 满5年唯一  朝南向,https://sz.lianjia.com/ershoufang/105106773459.html,577万,131000元/平米,国城花园,1室1厅1厨1卫,中楼层 (共31层),44㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,三梯十二户,有,2021/3/26,商品房,2013/11/5,普通住宅,满五年,非共有,有抵押 50万元,已上传房本照片,2.16E+11
福田区,百花,业主诚心出售 满5年，税费少 ，朝北向,https://sz.lianjia.com/ershoufang/105106592643.html,571万,131000元/平米,国城花园,1室0厅1厨1卫,中楼层 (共31层),43.54㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,三梯十二户,有,2021/3/9,商品房,2013/1/7,普通住宅,满五年,非共有,有抵押 300万元 金融公司垫资,已上传房本照片,U210953928894
福田区,百花,楼层好，客厅带阳台，两房刚需户型，唯一住房免个税。,https://sz.lianjia.com/ershoufang/105103818173.html,960万,120000元/平米,百花园一期,2室1厅1厨1卫,低楼层 (共28层),79.95㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,三梯六户,有,2020/3/10,商品房,2007/12/11,普通住宅,满五年,非共有,有抵押 600万元 客户偿还,已上传房本照片,U201662050669
福田区,百花,南天百花二期精装两房业主诚心出售,https://sz.lianjia.com/ershoufang/105106977551.html,978万,120000元/平米,南天二花园,2室2厅1厨1卫,高楼层 (共18层),81.46㎡,平层,暂无数据,板塔结合,南,框架结构,简装,两梯六户,有,2021/4/13,商品房,1999/11/18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.13E+11
福田区,百花,南天一花园 70年产权 安静住家 高层视野,https://sz.lianjia.com/ershoufang/105104091081.html,1044万,120000元/平米,南天一花园,2室1厅1厨1卫,中楼层 (共17层),87㎡,复式,暂无数据,板楼,南,钢混结构,精装,六梯五十六户,有,2020/4/14,商品房,2016/6/28,普通住宅,满两年,非共有,有抵押 450万元 工商银行 客户偿还,已上传房本照片,U216256586128
福田区,百花,百花园一期厅出阳台 户型方正 红本 满五年 交易简单,https://sz.lianjia.com/ershoufang/105107145237.html,628万,120000元/平米,百花园一期,1室1厅1厨1卫,低楼层 (共29层),52.27㎡,平层,暂无数据,塔楼,东,钢混结构,简装,三梯十六户,有,2021/4/26,商品房,2003/9/25,普通住宅,满五年,共有,无抵押,已上传房本照片,2.16E+11
福田区,百花,此房满5年，指标未占用，客厅出阳台，业主诚心出售！,https://sz.lianjia.com/ershoufang/105105628555.html,642万,120000元/平米,百花园一期,1室1厅1厨1卫,中楼层 (共29层),53.44㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯十六户,有,2020/10/26,商品房,2007/1/31,普通住宅,满五年,非共有,无抵押,已上传房本照片,∪190082173442
福田区,百花,不临大路，安静位置，满五年住宅，高楼层采光好,https://sz.lianjia.com/ershoufang/105104354037.html,1048万,120000元/平米,南天一花园,2室1厅1厨1卫,高楼层 (共17层),87.3㎡,复式,暂无数据,板楼,南,钢混结构,精装,六梯五十六户,有,2020/5/15,商品房,2007/2/8,普通住宅,满五年,非共有,有抵押 750万元 客户偿还,已上传房本照片,2.07E+11
福田区,百花,业主诚心卖，满5年不唯一，精装修   可以看房,https://sz.lianjia.com/ershoufang/105106973668.html,1032万,120000元/平米,南天一花园,2室1厅1厨1卫,中楼层 (共17层),86㎡,复式,暂无数据,板楼,南,钢混结构,精装,四梯五十六户,有,2021/4/13,商品房,2015/9/17,普通住宅,满五年,非共有,有抵押 200万元 客户偿还,已上传房本照片,2.10E+11
福田区,百花,长城花园复式两房好装修南北向红本满五70年产权诚卖,https://sz.lianjia.com/ershoufang/105106402438.html,853万,100000元/平米,长城花园,2室1厅1厨1卫,中楼层 (共17层),85.3㎡,复式,暂无数据,塔楼,南 北,框架结构,精装,两梯十六户,有,2021/2/18,商品房,2013/4/3,普通住宅,满五年,共有,有抵押 100万元 中国工商银行股份有限公司深圳上步支行 客户偿还,已上传房本照片,2.10E+11
福田区,百花,长城少有中间栋数，中间楼层户型。,https://sz.lianjia.com/ershoufang/105106726891.html,840万,100000元/平米,长城花园,2室1厅1厨2卫,高楼层 (共17层),84㎡,复式,暂无数据,板楼,南 北,钢混结构,简装,两梯十六户,有,2021/3/22,商品房,2017/1/13,普通住宅,满两年,非共有,有抵押 300万元 客户偿还,已上传房本照片,0
