序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
1,300164,通源石油,5.82,20.0,0.97,1296226,723675105.8,17.11,5.82,4.99,4.99,4.85,7.77,24.03,26.37,2.56
2,300313,*ST天山,13.15,19.98,2.19,131054,166947647.6,11.86,13.15,11.85,11.99,10.96,3.48,7.11,-156.64,57.87
3,300029,ST天龙,8.51,15.94,1.17,138817,113847952.0,20.71,8.68,7.16,7.16,7.34,21.79,6.93,-73.4,93.13
4,688068,热景生物,45.61,13.29,5.35,60933,269909294.0,15.25,46.94,40.8,41.0,40.26,10.82,6.6,24.82,1.23
5,300301,*ST长方,1.98,13.14,0.23,411937,78440242.62,18.29,2.05,1.73,1.74,1.75,11.31,5.21,-14.93,11.06
6,688629,华丰科技,23.19,13.12,2.69,67484,152216813.0,20.29,24.45,20.29,20.63,20.5,9.56,10.38,141.98,7.29
7,301509,金凯生科,98.68,11.84,10.45,58606,555076848.63,12.5,102.26,91.23,92.0,88.23,4.28,28.73,37.94,4.02
8,688166,博瑞医药,41.67,11.66,4.35,412139,1728829735.0,9.49,43.64,40.1,43.12,37.32,5.06,9.76,80.43,7.93
9,301137,哈焊华通,20.65,11.02,2.05,128524,259526173.73,14.35,21.5,18.83,18.95,18.6,5.39,12.64,91.44,2.88
10,300909,汇创达,33.23,10.62,3.19,155599,529389685.45,13.48,36.04,31.99,32.05,30.04,8.34,25.68,119.57,3.15
11,300581,晨曦航空,11.09,10.24,1.03,275125,298501968.59,14.31,11.58,10.14,10.19,10.06,12.96,5.0,-133.84,6.07
12,603615,茶花股份,9.53,10.05,0.87,49417,45363604.0,11.78,9.53,8.51,8.65,8.66,7.8,2.04,270.46,1.94
13,605577,龙版传媒,13.92,10.04,1.27,309702,411244033.0,13.52,13.92,12.21,12.65,12.65,9.35,16.44,24.17,1.77
14,600839,四川长虹,5.81,10.04,0.53,4950907,2795447242.0,9.66,5.81,5.3,5.3,5.28,4.38,10.73,66.32,2.0
15,002827,高争民爆,15.35,10.04,1.4,212484,312161853.33,9.61,15.35,14.01,14.01,13.95,6.15,7.7,64.21,5.28
16,603139,康惠制药,20.85,10.03,1.9,26836,55953060.0,0.0,20.85,20.85,20.85,18.95,5.67,2.69,82.64,2.11
17,603353,和顺石油,22.17,10.02,2.02,45216,98511151.0,9.28,22.17,20.3,20.58,20.15,7.9,2.61,68.62,2.37
18,000756,新华制药,24.48,10.02,2.23,558502,1360119166.55,3.73,24.48,23.65,24.46,22.25,8.6,12.66,30.61,3.81
