名称,代码,最新价,涨跌幅,换手率,成交额,成交量,振幅,总市值
N唯特偶,301319,56.77,+18.89%,52.45,4.16亿,729.26万,31.41,33.29亿
利仁科技,001259,34.16,-10.01%,49.60,3.22亿,916.79万,8.80,25.14亿
彩虹集团,003023,31.23,+7.54%,48.45,7.61亿,2490万,12.02,32.90亿
趣睡科技,301336,60.31,+16.38%,45.50,2.71亿,455.02万,16.17,24.12亿
中纺标,873122,16.36,+15.86%,43.70,6090万,384.23万,29.04,14.91亿
恩威医药,301331,48.80,-14.83%,40.85,3.73亿,716.54万,14.47,34.23亿
硅烷科技,838402,17.65,+25.27%,34.35,3.60亿,2325万,30.80,55.23亿
劲旅环境,001230,32.15,+2.68%,33.96,3.06亿,945.62万,10.38,35.81亿
C鸿日达,301285,18.88,-13.00%,33.83,3.23亿,1650万,9.72,39.02亿
N近岸   ,688137,79.27,-25.35%,33.13,4.39亿,538.78万,10.18,55.63亿
源飞宠物,001222,31.50,-10.00%,30.80,3.46亿,1050万,10.51,42.95亿
N万润   ,688275,216.53,-27.79%,30.50,12.89亿,578.64万,16.60,184.52亿
润贝航科,001316,42.35,+5.88%,28.93,2.47亿,578.60万,8.05,33.88亿
海鸥住工,002084,6.13,+10.05%,28.91,11.17亿,1.91亿,13.29,40.71亿
同兴环保,003027,26.75,-2.62%,27.64,4.97亿,1840万,9.76,35.42亿
楚环科技,001336,30.76,-2.90%,27.22,1.73亿,546.94万,6.57,24.72亿
真爱美家,003041,18.41,-0.49%,27.21,1.95亿,1039万,8.70,22.09亿
C逸豪,301176,20.05,-8.86%,26.42,2.10亿,1017万,7.36,33.90亿
胜通能源,001331,39.72,-7.80%,25.10,3.09亿,752.95万,6.55,47.66亿
弘业期货,001236,12.20,+5.72%,24.42,2.99亿,2461万,7.63,122.95亿
C森鹰,301227,27.46,-7.35%,24.41,1.46亿,513.01万,8.64,26.03亿
证通电子,002197,10.13,+9.99%,23.82,12.75亿,1.27亿,9.45,62.23亿
宏英智能,001266,31.11,+10.01%,22.98,1.82亿,590.60万,9.23,31.99亿
C天德   ,688252,17.95,-5.03%,22.79,1.44亿,780.79万,6.93,72.80亿
浙江正特,001238,33.17,-9.99%,22.27,2.05亿,612.35万,3.07,36.49亿
德龙汇能,000593,10.39,+6.02%,22.18,8.18亿,7951万,14.18,37.26亿
C一博,301366,56.89,-9.81%,22.00,2.38亿,403.61万,8.08,47.41亿
五洲医疗,301234,32.75,+11.58%,21.59,1.19亿,366.96万,15.88,22.27亿
C骄成   ,688392,113.00,-0.26%,21.49,4.20亿,374.95万,9.11,92.66亿
锡装股份,001332,71.38,-5.46%,21.35,3.12亿,427.00万,7.25,57.10亿
美芝股份,002856,11.56,-4.46%,20.84,2.82亿,2230万,20.00,15.64亿
联动科技,301369,101.98,-4.23%,20.66,2.51亿,239.60万,6.73,47.32亿
贝肯能源,002828,9.22,-0.75%,20.62,2.94亿,3109万,9.69,18.53亿
宝馨科技,002514,13.79,+5.51%,19.30,14.04亿,1.07亿,15.76,99.29亿
兰州黄河,000929,11.95,-10.02%,18.87,4.32亿,3505万,6.17,22.20亿
贝仕达克,300822,19.40,+4.36%,18.56,1.48亿,776.29万,12.26,31.04亿
棒杰股份,002634,6.33,+0.80%,18.45,4.47亿,6839万,8.76,29.08亿
长江材料,001296,25.46,+0.24%,18.19,1.23亿,485.99万,4.37,27.21亿
嘉华股份,603182,18.16,-0.82%,18.15,1.39亿,746.65万,6.94,29.88亿
长虹美菱,000521,4.62,+6.70%,17.82,7.01亿,1.56亿,13.63,47.58亿
迪森股份,300335,5.52,-2.82%,17.56,3.83亿,6918万,8.10,26.77亿
尚荣医疗,002551,4.79,-3.43%,17.42,5.03亿,1.06亿,9.07,40.46亿
联盛化学,301212,38.25,-6.98%,17.27,1.72亿,442.18万,6.23,41.31亿
华康医疗,301235,40.61,+6.53%,17.22,1.70亿,429.94万,8.29,42.88亿
山东墨龙,002490,5.25,-2.05%,16.83,4.87亿,9115万,8.40,41.89亿
金富科技,003018,10.00,-5.30%,16.78,1.29亿,1267万,4.36,26.00亿
泰福泵业,300992,26.00,-1.33%,16.65,1.82亿,724.83万,11.08,23.61亿
泰慕士,001234,27.73,-7.75%,16.51,1.26亿,440.37万,7.02,29.58亿
公元股份,002641,6.59,+1.07%,15.58,12.50亿,1.77亿,10.28,81.40亿
冀东装备,000856,10.08,+5.88%,15.45,3.53亿,3507万,11.97,22.88亿
汇绿生态,001267,7.40,-3.39%,15.18,3.25亿,4346万,9.79,57.38亿
华帝股份,002035,6.22,+1.63%,14.63,6.88亿,1.10亿,6.37,52.72亿
阳光乳业,001318,15.25,-4.15%,14.58,1.60亿,1031万,4.90,43.11亿
亚香股份,301220,37.60,-4.91%,14.58,1.10亿,279.63万,9.33,30.38亿
全筑股份,603030,3.46,-4.42%,14.46,2.97亿,8388万,6.35,20.07亿
传艺科技,002866,42.74,-3.00%,14.31,10.90亿,2584万,9.01,123.74亿
华宝新能,301327,216.97,-6.88%,14.13,7.41亿,328.77万,12.38,208.29亿
联合精密,001268,26.59,+1.26%,14.10,1.03亿,380.59万,6.70,28.70亿
久其软件,002279,5.19,+7.01%,14.03,4.71亿,9021万,9.90,36.88亿
奥维通信,002231,8.03,-1.23%,13.15,3.04亿,3876万,5.41,27.85亿
天力锂能,301152,54.24,-2.95%,13.04,1.94亿,344.70万,5.64,66.16亿
双成药业,002693,5.65,-4.07%,13.02,3.03亿,5315万,9.51,23.43亿
维科技术,600152,10.94,-8.60%,13.00,7.06亿,6377万,8.60,57.42亿
瑞和股份,002620,6.71,-9.93%,12.89,2.81亿,4058万,7.38,25.33亿
邦德股份,838171,11.98,-10.60%,12.86,4133万,329.41万,14.10,14.25亿
微电生理-U,688351,13.85,+8.03%,12.79,1.10亿,798.79万,10.92,65.18亿
博纳影业,001330,9.71,-3.67%,12.72,3.51亿,3496万,6.85,133.47亿
荣亿精密,873223,3.99,-9.73%,12.72,2175万,519.16万,13.57,6.28亿
新华联,000620,4.00,-9.91%,12.44,9.61亿,2.36亿,4.95,75.87亿
科信技术,300565,34.52,-9.13%,12.41,8.28亿,2337万,11.37,71.80亿
三和管桩,003037,12.17,-1.70%,12.35,1.39亿,1124万,6.38,61.32亿
建艺集团,002789,16.88,-1.97%,12.33,2.02亿,1221万,5.40,26.94亿
日出东方,603366,10.43,-7.70%,12.11,10.36亿,9689万,12.39,85.69亿
南方精工,002553,12.62,-8.22%,12.10,3.68亿,2845万,9.53,43.92亿
三羊马,001317,37.12,-5.50%,12.03,9178万,240.70万,7.76,29.71亿
C邦彦   ,688132,21.01,-5.23%,11.85,8621万,394.93万,9.52,31.98亿
洪兴股份,001209,15.59,-5.17%,11.81,6926万,438.90万,4.87,20.50亿
川润股份,002272,7.00,-4.89%,11.80,2.77亿,3920万,5.43,30.68亿
迈赫股份,301199,26.43,-0.49%,11.80,1.04亿,393.37万,5.80,35.24亿
华瓷股份,001216,13.36,-7.80%,11.78,1.01亿,741.63万,11.66,33.65亿
C信科-U,688387,5.51,-3.84%,11.74,3.71亿,6602万,5.06,188.37亿
捷邦科技,301326,39.14,-3.52%,11.67,7467万,186.35万,5.87,28.26亿
唯万密封,301161,19.26,-2.73%,11.64,6095万,309.07万,5.30,23.11亿
常润股份,603201,33.61,-3.36%,11.53,7829万,229.08万,5.35,26.72亿
国光连锁,605188,8.13,-1.09%,11.31,5587万,683.02万,4.50,40.29亿
九丰能源,605090,26.26,-0.53%,11.12,7.46亿,2811万,6.89,162.85亿
泰林生物,300813,37.58,+1.21%,11.03,1.10亿,292.44万,7.73,31.25亿
联发股份,002394,7.79,-9.84%,11.00,2.84亿,3553万,6.94,25.22亿
则成电子,837821,10.74,-8.13%,10.95,1949万,176.47万,8.47,7.58亿
南天信息,000948,15.62,+10.00%,10.88,5.59亿,3640万,9.44,61.60亿
炬申股份,001202,14.90,-2.04%,10.88,6668万,437.75万,6.84,19.19亿
值得买,300785,37.51,-3.02%,10.85,3.18亿,816.30万,10.83,49.90亿
磁谷科技,688448,24.94,-3.74%,10.79,4448万,174.87万,5.44,17.77亿
比依股份,603215,17.62,+1.97%,10.69,8777万,498.95万,4.98,32.89亿
祥生医疗,688358,38.63,+10.03%,10.69,1.14亿,299.27万,13.24,43.27亿
中天服务,002188,5.54,-10.06%,10.67,1.47亿,2570万,9.74,16.21亿
派特尔,836871,5.98,-6.12%,10.62,1178万,192.30万,8.63,4.41亿
盛弘股份,300693,39.34,+6.15%,10.59,6.52亿,1699万,11.28,80.76亿
京北方,002987,23.41,+3.36%,10.58,3.27亿,1378万,7.59,73.72亿
亿晶光电,600537,6.63,-1.04%,10.43,8.02亿,1.23亿,10.45,79.09亿
