iron,coal,grain,ord,deli,scrap, bunker ,cur,int,bci,capesize
21992,16287.5,16532.2,8653070,176391,135831,149.5,123.2,4.8,1168,20
24993,20591.7,19043.7,10260372,419404,0,158.9,117.6,4.8,1129,20
24669,20602,18235,10182998,164218,110439,166.8,119.1,4.8,1151,20
25368,19254,18516.3,10358996,175775,0,172.5,120.5,4.8,1460,20
25388,20659.3,19075,10741789,184877,159162,160.8,123.9,4.8,1776,19
24732,19228.2,15700.2,11708093,0,0,149.2,121.8,4.4,1887,20
23825,21203.3,22868,11708093,0,0,164.1,122.3,4.3,2217,21
27238,21935,20637.7,12228627,700289,0,181.2,118.8,4.3,2274,22
25321,19837.7,18906.7,12826845,0,0,199.8,119.2,4.3,2283,22
25982,20275.8,17855.8,13520870,529342,0,191.6,118.8,4.3,2539,22
26291,19746.1,22273.2,14263118,203508,0,168.9,119.5,4.3,2722,22
28397,19006.5,19248.5,15149610,533240,124817,164,117.3,4.3,2952,22
26625,19376.2,19047.6,14965534,525393,0,167,118.4,4.3,2892,22
27013,22587.2,21372,16477496,374324,263290,178.6,118.4,4,2853,22
25342,21023.7,21079.5,17930744,700124,0,167.1,118.9,4,3202,22
28877,20520.8,18530.3,17406923,351650,0,161.4,115.2,4,3548,23
25256,19784,22961.4,18019402,527135,0,161.2,109.4,4,6167,29
26624,18071.7,17142.1,19007957,342143,0,160.5,109.1,4,6231,30
30382,21427.4,25588.2,18872110,353228,0,163.3,107.9,4,6570,32
28803,22852.2,21246.3,20738450,1045661,0,168.3,106.3,4,7599,43
32785,19592.9,21275.4,20849661,688455,129542,168.6,107,4,7247,45
33916,22818.5,23840.7,20447959,350830,0,163.8,108.8,4,6231,45
33935,22619.8,22549.8,22471913,170081,0,171.4,107.6,4,5330,43
27025,22436.6,17762.9,25085485,931066,0,188.8,112,4,4296,39
29496,23005.2,21981.3,25272803,591666,0,182.4,109.2,4,3911,33
33905,23734.3,19972.7,26034763,716110,0,180.9,109.6,4.2,5109,37
29877,22577.2,20432.1,26990494,354393,0,191.3,110.4,4.4,5951,41
34918,21306.4,35256.9,27340006,735986,123043,186.3,109.8,4.6,5565,45
30691,21164.3,25224.7,28654079,383588,0,202.3,108.9,4.8,5992,45
33590,23691.4,29035.9,28647488,909854,0,190.8,104.9,4.9,7426,46
38248,23437.9,26592.9,28989750,549719,0,169.2,103.8,5.2,7649,46
35150,22574,22199.3,29773422,1084750,0,181,103.4,5.3,6054,51
32056,19990.3,21295.6,33734331,357371,0,196.8,105.3,5.5,6318,54
41206,25274.3,29461.5,34440909,1088628,0,224.9,105,5.6,6023,54
38375,18741.7,21159.7,33824592,383415,0,261.4,107.4,5.8,6347,55
36247,21808.9,32010.6,33796993,542506,119514,259.9,106.7,5.9,5066,53
36741,21901.8,28272.2,33667084,523494,0,257.4,108.5,6,3078,52
35034,23438.2,29356.7,33323773,586454,140159,256.5,111.6,6.2,2943,45
39077,22360.9,32143.6,33092921,906560,0,272.4,110.4,6.4,3004,43
37001,22447.8,26246.4,32542320,1232586,0,321.3,111.1,6.6,4001,40
36595,22287.2,25841.3,31839483,560830,0,319.3,114.8,6.8,4694,40
42761,21557.5,37181.3,31873731,1134759,107140,303,118.2,7,4366,40
40739,21504.6,24463.3,31422526,351300,0,289.1,118.4,7.2,3490,38
42120,22304.6,38349,32349165,1447579,0,307.1,115.3,7.3,2976,35
37731,20892.8,27986.5,32554808,709004,0,318.5,118,7.5,3645,33
43459,23347.6,26367.9,32058716,737405,0,331,117.2,7.6,3681,33
41242,20726.8,34489.7,37910263,1252952,129882,346.1,116.9,7.8,3346,33
39866,21277,43045,38446159,529537,166013,345.9,111.7,7.9,3095,35
43729,22364.9,32158.6,38871847,1059037,0,327.1,114.7,8.1,3389,38
39741,22637.1,34400.3,37990874,171827,0,341,115.7,8.3,3987,44
48358,23153.1,41907.5,40137077,1071778,0,322.5,115.6,8.3,5134,52
44142,21038.9,36319.5,39775749,733052,0,291.6,117.1,8.3,5347,56
36544,21878,43084.6,43348433,1445137,0,286.6,118.5,8.3,5411,56
42968,21949.1,40342,45191149,522374,0,271.1,117.4,8.3,5734,59
44611,23599.6,42332,51874421,758193,0,269.7,117.2,8.3,5872,62
51902,23822.9,38203.9,59344034,1548690,0,274.9,120.5,8.3,6226,65
41269,23063.5,38994.5,59232521,793088,0,296.4,120.5,8.3,6320,65
50582,26260.6,36000.3,61918148,1106609,0,314.9,117.6,8.3,7237,67
