sender,datetime,message
政通路305弄1号楼组群(21444913089@chatroom) ,2022/4/9 19:26,"  """
203(wxid_5glc0nycq89h11) ,2022/4/10 8:43,images\[00153]2022-04-10 08-43-34
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 8:44,  是的
夕军(wxid_18xodpzfqk9n22) ,2022/4/10 9:25,  
华华(wxid_zbk3k0ujszlp22) ,2022/4/10 9:48,  [转发的网页]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 9:49,  
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:09,  预告：13:30会进行第二波蔬菜团购，奉贤保供基地当天采摘绿叶菜直送，66元蔬菜套餐（含6-8斤随机绿叶菜+2斤水果小番茄）参考下图，共400份，预计4月14日配送！！
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:09,images\[00154]2022-04-10 13-09-59
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/10 13:11,  帮我团
锦绣(wxid_9j67lzrx9f3522) ,2022/4/10 13:12,  我要一份
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 13:12,  英姿: 怎么弄
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 13:13,  阿华: 我正想问你呢
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:13,  一点半的时候会在大群发小程序，点进去购买就可以了
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 13:13,  哦哦
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:14,  如果你们都嫌麻烦，那我也可以帮你们一起团
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 13:14,  就是刚需团里面吗？
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:14,  算好总份数
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:14,  是的
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/10 13:15,  毛头姐我要一份哦
雁雁_Kim(kimyan330) ,2022/4/10 13:16,  阿姨点小程序自己买
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 13:16,  我也要
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:24,  大家群里会买的还是去大群买
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/10 13:25,  我们没有大群
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:26,  哦，好的 那帮你团一份
203(wxid_5glc0nycq89h11) ,2022/4/10 13:26,  [转发的网页]
夕军(wxid_18xodpzfqk9n22) ,2022/4/10 13:27,  自己点小程序就可买了
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:32,  @喧暮笙央?赶紧去买
英姿(wxid_azz5pbps4v3b22) ,2022/4/10 13:34,  @沈玉华502?买了吗
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/10 13:35,  好的谢谢了
203(wxid_5glc0nycq89h11) ,2022/4/10 13:38,  都买上了吗？
wxid_hz0g6i0fg9h511 ,2022/4/10 13:45,  谢谢你 买好了
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 13:47,  没有了？
夕军(wxid_18xodpzfqk9n22) ,2022/4/10 13:48,  我上次买了二份这次不用买了[抱拳]
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 18:24,  谁家有蒜啊，借点[呲牙]
夕军(wxid_18xodpzfqk9n22) ,2022/4/10 18:28,  只有洋葱
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 18:53,  已经有了，有个阿叔给我们送了，谢谢你啊
夕军(wxid_18xodpzfqk9n22) ,2022/4/10 18:58,  哦没事，蒜没有洋葱有的[捂脸]
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 18:59,  洋葱我们也有
夕军(wxid_18xodpzfqk9n22) ,2022/4/10 19:04,  我当你们己吃掉了呢[捂脸]
我 ,2022/4/10 19:28,  咱们楼有缺猪肉的吗？ 我这可以分两三块～社区团购的下午刚到
304(anyap22f) ,2022/4/10 20:16,  请问是停电了么？
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 20:16,  没有啊
304(anyap22f) ,2022/4/10 20:17,  我家突然断电了……
304(anyap22f) ,2022/4/10 20:17,  要命……
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 20:17,  跳闸了吧
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 20:17,  需要帮忙嘛
304(anyap22f) ,2022/4/10 20:17,  闸在哪里啊？
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 20:18,  你里面看一看
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 20:18,  门口看一看
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/10 20:18,  门口电表看一下
304(anyap22f) ,2022/4/10 20:19,  门口电表是锁住的
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 20:19,  不会吧
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 20:20,  不是外面总表
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 20:20,  是这个
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/10 20:21,images\[00155]2022-04-10 20-21-13
304(anyap22f) ,2022/4/10 20:22,  嗯嗯 谢谢谢谢
304(anyap22f) ,2022/4/10 20:22,  我找到了
304(anyap22f) ,2022/4/10 20:23,  已经搞好了
203(wxid_5glc0nycq89h11) ,2022/4/11 16:53,  [转发的网页]
203(wxid_5glc0nycq89h11) ,2022/4/11 16:53,  份数很少，爱森猪肉，有需要赶紧买
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/11 16:53,  [转发的网页]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/11 16:56,  没买到[捂脸]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/11 16:57,  怎么那么快[捂脸]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/11 16:57,  我一直看着手机都没用[捂脸]
雁雁_Kim(kimyan330) ,2022/4/11 16:57,  只有100份
