编号,持续时间,数量,内容
1,2022/4/9 19:26-2022/4/9 19:26,1,"  """
1,2022/4/10 8:43-2022/4/10 8:44,2,images\[00153]2022-04-10 08-43-34   是的
1,2022/4/10 9:25-2022/4/10 9:25,1,  
1,2022/4/10 9:48-2022/4/10 9:49,2,  [转发的网页]   
1,2022/4/10 13:09-2022/4/10 13:48,27,  预告：13:30会进行第二波蔬菜团购，奉贤保供基地当天采摘绿叶菜直送，66元蔬菜套餐（含6-8斤随机绿叶菜+2斤水果小番茄）参考下图，共400份，预计4月14日配送！！ images\[00154]2022-04-10 13-09-59   帮我团   我要一份   英姿: 怎么弄   阿华: 我正想问你呢   一点半的时候会在大群发小程序，点进去购买就可以了   哦哦   如果你们都嫌麻烦，那我也可以帮你们一起团   就是刚需团里面吗？   算好总份数   是的   毛头姐我要一份哦   阿姨点小程序自己买   我也要   大家群里会买的还是去大群买   我们没有大群   哦，好的 那帮你团一份   [转发的网页]   自己点小程序就可买了   @喧暮笙央?赶紧去买   @沈玉华502?买了吗   好的谢谢了   都买上了吗？   谢谢你 买好了   没有了？   我上次买了二份这次不用买了[抱拳]
1,2022/4/10 18:24-2022/4/10 18:28,2,  谁家有蒜啊，借点[呲牙]   只有洋葱
1,2022/4/10 18:53-2022/4/10 19:04,4,  已经有了，有个阿叔给我们送了，谢谢你啊   哦没事，蒜没有洋葱有的[捂脸]   洋葱我们也有   我当你们己吃掉了呢[捂脸]
1,2022/4/10 19:28-2022/4/10 19:28,1,  咱们楼有缺猪肉的吗？ 我这可以分两三块～社区团购的下午刚到
1,2022/4/10 20:16-2022/4/10 20:23,18,  请问是停电了么？   没有啊   我家突然断电了……   要命……   跳闸了吧   需要帮忙嘛   闸在哪里啊？   你里面看一看   门口看一看   门口电表看一下   门口电表是锁住的   不会吧   不是外面总表   是这个 images\[00155]2022-04-10 20-21-13   嗯嗯 谢谢谢谢   我找到了   已经搞好了
1,2022/4/11 16:53-2022/4/11 17:04,13,  [转发的网页]   份数很少，爱森猪肉，有需要赶紧买   [转发的网页]   没买到[捂脸]   怎么那么快[捂脸]   我一直看着手机都没用[捂脸]   只有100份   量少 1分钟秒光了[捂脸]   老人家动作慢了[捂脸]   @404 雁雁?你好！付款里没写门牌有事吗？只管抢又忘了[捂脸]群团里有备注称伲门号的   @夕军?提前到那个小程序里，改掉自己的常用地址，不然每次团购都是错误地址。   哦，那现在可进去改吗？   我去找找看吧
1,2022/4/11 17:15-2022/4/11 17:24,3,  不知道怎么弄了[捂脸]等@203?你空了再指教我好吗？[抱拳][抱拳][抱拳]   好的 晚一点噢   0k！谢谢??
1,2022/4/11 17:40-2022/4/11 17:40,1,  @203?怎么退回了
1,2022/4/11 19:41-2022/4/11 19:43,8,images\[00156]2022-04-11 19-41-36 images\[00157]2022-04-11 19-41-36   @203?团长对了吗？请指点[抱拳]   现在对啦～      棒～   @喧暮笙央?晚上重新团   哦，谢谢啦[抱拳]
1,2022/4/11 21:34-2022/4/11 21:53,11,  @203?你好！一打开就要写地址，然后我已保存了呀，又没抢到[捂脸]   不知问题在哪里了   没抢到是因为别人抢太快啦   不是的，可能还是地址不对，里面要我收货地址，我把老地址到删除了或[捂脸]   @203?明天还是麻烦你请帮我看看好吗？否则我什么东西都买不了，不好付了[抱拳]   弄得不好付款了[捂脸]   可以的，你把原来错误地址删掉   原来无锡这个地址已经删除了   嗯嗯   明天上午给你看好吗[抱拳]   不会太早的[微笑]
1,2022/4/12 4:25-2022/4/12 4:36,6,  有没有没睡的，醒了的，现在【每日优鲜】app有货 images\[00158]2022-04-12 04-25-51   可以买水果和虾   买了谢谢   妹妹你真好[呲牙]   不要客气[呲牙]
