                             ET-X系列误码仪测试记录

      码型：NRZ        速率：10000000 bit/s

       伪随机码：2^7-1

    主时钟：外时钟

    接收时钟延迟：0°

    自环测试：关闭

    开始记录时间：2023年3月12日，18时6分56秒

   时间：18时06分56秒     误码数：1   误码率：1.000E-07
   时间：18时07分00秒     误码数：10578   误码率：2.115E-04
   时间：18时07分01秒     误码数：17045   误码率：2.840E-04
   时间：18时07分01秒     误码数：36832   误码率：6.138E-04
   时间：18时07分02秒     误码数：48466   误码率：6.923E-04
   时间：18时07分02秒     误码数：49611   误码率：7.087E-04
   时间：18时07分03秒     误码数：49618   误码率：6.202E-04
   时间：18时07分03秒     误码数：49622   误码率：6.202E-04
   时间：18时07分04秒     误码数：49624   误码率：5.513E-04
   时间：18时07分05秒     误码数：49780   误码率：4.978E-04
   时间：18时07分05秒     误码数：55697   误码率：5.569E-04
   时间：18时07分06秒     误码数：60030   误码率：5.457E-04
   时间：18时07分07秒     误码数：60034   误码率：5.002E-04
   时间：18时07分07秒     误码数：66647   误码率：5.553E-04
   时间：18时07分10秒     误码数：76791   误码率：5.119E-04
   时间：18时07分11秒     误码数：82958   误码率：5.184E-04
   时间：18时07分11秒     误码数：103580   误码率：6.473E-04
   时间：18时07分12秒     误码数：142454   误码率：8.379E-04
   时间：18时07分12秒     误码数：153932   误码率：9.054E-04
   时间：18时07分13秒     误码数：153978   误码率：8.554E-04
   时间：18时07分15秒     误码数：154009   误码率：7.700E-04
   时间：18时07分15秒     误码数：160009   误码率：8.000E-04
   时间：18时07分16秒     误码数：163970   误码率：7.808E-04
   时间：18时07分17秒     误码数：170084   误码率：7.731E-04
   时间：18时07分19秒     误码数：170112   误码率：7.088E-04
   时间：18时07分20秒     误码数：180469   误码率：7.218E-04
   时间：18时07分21秒     误码数：186991   误码率：7.191E-04
   时间：18时07分21秒     误码数：206906   误码率：7.957E-04
   时间：18时07分22秒     误码数：270141   误码率：1.000E-03
   时间：18时07分22秒     误码数：301161   误码率：1.115E-03
   时间：18时07分23秒     误码数：301976   误码率：1.078E-03
   时间：18时07分23秒     误码数：302010   误码率：1.078E-03
   时间：18时07分24秒     误码数：302020   误码率：1.041E-03
   时间：18时07分25秒     误码数：302161   误码率：1.007E-03
   时间：18时07分25秒     误码数：307877   误码率：1.026E-03
   时间：18时07分26秒     误码数：313242   误码率：1.010E-03
   时间：18时07分27秒     误码数：313245   误码率：9.788E-04
   时间：18时07分27秒     误码数：320124   误码率：1.000E-03
   时间：18时07分29秒     误码数：320540   误码率：9.427E-04
   时间：18时07分30秒     误码数：331772   误码率：9.479E-04
   时间：18时07分31秒     误码数：336992   误码率：9.360E-04
   时间：18时07分31秒     误码数：359631   误码率：9.989E-04
   时间：18时07分32秒     误码数：404787   误码率：1.094E-03
   时间：18时07分32秒     误码数：431108   误码率：1.165E-03
   时间：18时07分33秒     误码数：431490   误码率：1.135E-03
   时间：18时07分33秒     误码数：431507   误码率：1.135E-03
   时间：18时07分35秒     误码数：431508   误码率：1.078E-03
   时间：18时07分35秒     误码数：437227   误码率：1.093E-03
   时间：18时07分36秒     误码数：440348   误码率：1.074E-03
   时间：18时07分37秒     误码数：440349   误码率：1.048E-03
   时间：18时07分37秒     误码数：446752   误码率：1.063E-03
   时间：18时07分39秒     误码数：447015   误码率：1.015E-03
   时间：18时07分40秒     误码数：457380   误码率：1.016E-03
   时间：18时07分41秒     误码数：463289   误码率：1.007E-03
   时间：18时07分41秒     误码数：483587   误码率：1.051E-03
   时间：18时07分42秒     误码数：509661   误码率：1.084E-03
   时间：18时07分42秒     误码数：516307   误码率：1.098E-03
   时间：18时07分43秒     误码数：516316   误码率：1.075E-03
   时间：18时07分43秒     误码数：516317   误码率：1.075E-03
   时间：18时07分44秒     误码数：516320   误码率：1.053E-03
   时间：18时07分45秒     误码数：516475   误码率：1.032E-03
   时间：18时07分45秒     误码数：522225   误码率：1.044E-03
   时间：18时07分46秒     误码数：526905   误码率：1.033E-03
   时间：18时07分47秒     误码数：531273   误码率：1.021E-03
   时间：18时07分50秒     误码数：544160   误码率：9.893E-04
   时间：18时07分51秒     误码数：551785   误码率：9.853E-04
   时间：18时07分51秒     误码数：569564   误码率：1.017E-03
   时间：18时07分55秒     误码数：571596   误码率：9.526E-04
   时间：18时07分56秒     误码数：571728   误码率：9.372E-04
   时间：18时07分57秒     误码数：575777   误码率：9.286E-04
   时间：18时08分00秒     误码数：589137   误码率：9.063E-04
   时间：18时08分01秒     误码数：594577   误码率：9.008E-04
   时间：18时08分01秒     误码数：610276   误码率：9.246E-04
   时间：18时08分05秒     误码数：611728   误码率：8.738E-04
   时间：18时08分06秒     误码数：611758   误码率：8.616E-04
   时间：18时08分07秒     误码数：615824   误码率：8.553E-04
   时间：18时08分10秒     误码数：632503   误码率：8.433E-04
   时间：18时08分11秒     误码数：636246   误码率：8.371E-04
   时间：18时08分11秒     误码数：653658   误码率：8.600E-04
   时间：18时08分15秒     误码数：655795   误码率：8.197E-04
   时间：18时08分16秒     误码数：656298   误码率：8.102E-04
   时间：18时08分17秒     误码数：660543   误码率：8.055E-04
   时间：18时08分20秒     误码数：672625   误码率：7.913E-04
   时间：18时08分21秒     误码数：680436   误码率：7.912E-04
   时间：18时08分21秒     误码数：698085   误码率：8.117E-04
   时间：18时08分25秒     误码数：698977   误码率：7.766E-04
   时间：18时08分26秒     误码数：699421   误码率：7.685E-04
   时间：18时08分27秒     误码数：703820   误码率：7.650E-04
   时间：18时08分30秒     误码数：717282   误码率：7.550E-04
   时间：18时08分31秒     误码数：722134   误码率：7.522E-04
   时间：18时08分31秒     误码数：738504   误码率：7.692E-04
  -------------------------------------------------------
  测试记录结束
  -------------------------------------------------------
