                             ET-X系列误码仪测试记录

      码型：NRZ        速率：10000000 bit/s

       伪随机码：2^7-1

    主时钟：外时钟

    接收时钟延迟：0°

    自环测试：关闭

    开始记录时间：2023年3月9日，17时10分59秒

   时间：17时10分59秒     误码数：0   误码率：0.000E-00
   时间：17时11分03秒     误码数：19780   误码率：3.955E-04
   时间：17时11分04秒     误码数：32813   误码率：5.468E-04
   时间：17时11分13秒     误码数：51234   误码率：3.415E-04
   时间：17时11分14秒     误码数：63124   误码率：3.945E-04
   时间：17时11分23秒     误码数：81868   误码率：3.274E-04
   时间：17时11分24秒     误码数：94591   误码率：3.638E-04
   时间：17时11分33秒     误码数：112972   误码率：3.227E-04
   时间：17时11分34秒     误码数：124892   误码率：3.469E-04
   时间：17时11分43秒     误码数：144307   误码率：3.206E-04
   时间：17时11分44秒     误码数：155614   误码率：3.382E-04
   时间：17时11分53秒     误码数：174274   误码率：3.168E-04
   时间：17时11分54秒     误码数：185523   误码率：3.312E-04
   时间：17时12分03秒     误码数：204746   误码率：3.149E-04
   时间：17时12分04秒     误码数：214210   误码率：3.245E-04
   时间：17时12分13秒     误码数：233197   误码率：3.109E-04
   时间：17时12分14秒     误码数：245717   误码率：3.233E-04
   时间：17时12分23秒     误码数：265005   误码率：3.117E-04
   时间：17时12分24秒     误码数：276880   误码率：3.219E-04
   时间：17时12分33秒     误码数：295830   误码率：3.114E-04
   时间：17时12分34秒     误码数：306983   误码率：3.197E-04
   时间：17时12分43秒     误码数：324667   误码率：3.092E-04
   时间：17时12分44秒     误码数：334462   误码率：3.155E-04
   时间：17时12分53秒     误码数：351023   误码率：3.052E-04
   时间：17时12分54秒     误码数：360132   误码率：3.104E-04
   时间：17时13分03秒     误码数：378190   误码率：3.025E-04
   时间：17时13分04秒     误码数：387979   误码率：3.079E-04
   时间：17时13分13秒     误码数：404975   误码率：2.999E-04
   时间：17时13分14秒     误码数：417161   误码率：3.067E-04
   时间：17时13分23秒     误码数：433383   误码率：2.988E-04
   时间：17时13分24秒     误码数：444957   误码率：3.047E-04
   时间：17时13分33秒     误码数：461217   误码率：2.975E-04
   时间：17时13分34秒     误码数：472156   误码率：3.026E-04
   时间：17时13分43秒     误码数：488713   误码率：2.961E-04
   时间：17时13分44秒     误码数：499690   误码率：3.010E-04
   时间：17时13分53秒     误码数：516408   误码率：2.950E-04
   时间：17时13分54秒     误码数：525502   误码率：2.985E-04
   时间：17时14分03秒     误码数：542781   误码率：2.933E-04
   时间：17时14分04秒     误码数：554095   误码率：2.979E-04
   时间：17时14分13秒     误码数：571560   误码率：2.931E-04
   时间：17时14分14秒     误码数：581773   误码率：2.968E-04
   时间：17时14分23秒     误码数：599458   误码率：2.924E-04
   时间：17时14分24秒     误码数：609262   误码率：2.957E-04
   时间：17时14分33秒     误码数：625372   误码率：2.908E-04
   时间：17时14分34秒     误码数：635875   误码率：2.943E-04
   时间：17时14分43秒     误码数：651995   误码率：2.897E-04
   时间：17时14分44秒     误码数：662954   误码率：2.933E-04
   时间：17时14分53秒     误码数：680637   误码率：2.896E-04
   时间：17时14分54秒     误码数：690538   误码率：2.926E-04
   时间：17时15分03秒     误码数：706432   误码率：2.883E-04
   时间：17时15分04秒     误码数：718110   误码率：2.919E-04
   时间：17时15分13秒     误码数：734935   误码率：2.882E-04
   时间：17时15分14秒     误码数：745976   误码率：2.913E-04
   时间：17时15分23秒     误码数：762039   误码率：2.875E-04
   时间：17时15分24秒     误码数：773365   误码率：2.907E-04
   时间：17时15分33秒     误码数：789616   误码率：2.871E-04
   时间：17时15分34秒     误码数：800944   误码率：2.901E-04
   时间：17时15分43秒     误码数：817044   误码率：2.866E-04
   时间：17时15分44秒     误码数：828329   误码率：2.896E-04
   时间：17时15分53秒     误码数：846111   误码率：2.868E-04
   时间：17时15分54秒     误码数：856261   误码率：2.892E-04
   时间：17时16分03秒     误码数：873461   误码率：2.863E-04
   时间：17时16分04秒     误码数：883616   误码率：2.887E-04
   时间：17时16分13秒     误码数：899662   误码率：2.856E-04
   时间：17时16分14秒     误码数：909976   误码率：2.879E-04
   时间：17时16分23秒     误码数：926182   误码率：2.849E-04
   时间：17时16分24秒     误码数：937656   误码率：2.876E-04
   时间：17时16分33秒     误码数：954267   误码率：2.848E-04
   时间：17时16分34秒     误码数：966050   误码率：2.875E-04
   时间：17时16分43秒     误码数：983142   误码率：2.849E-04
   时间：17时16分44秒     误码数：994952   误码率：2.875E-04
   时间：17时16分53秒     误码数：1014063   误码率：2.856E-04
   时间：17时16分54秒     误码数：1024880   误码率：2.878E-04
  -------------------------------------------------------
  测试记录结束
  -------------------------------------------------------
