Elaine.,2021-12-08,你好呀 你好呀 聊天嘛
水无月诗筠,2021-12-08,来豆邮放松放松 嗯嗯 不错 我那时候也是 你是几几年的呀姐姐 我是九八年的呀 那和我也差不多啦 你00年嘛 对呀 喔喔
Xuueee,2021-12-08,那你不加微信啦？ 早睡吧小兄弟 考研人得注重休息 嗷 好 微信后面再说吧  哈哈哈 好 睡啦 明早还有课
豆友248049842,2021-12-08,你好呀 ？？干嘛 聊天嘛！ 没兴趣
麦小麦的麦,2021-12-08,那谢谢姐姐了 好贴心 有些人就是只想着聊骚 姐姐是个热情的人吗 生活中算是吧 你呢 看你热情的定义是什么 就是话多吧哈哈哈 我也不知道 聊得来就话多 话不投机就半句多
酷不起来的丧＊,2021-12-08,你多高呀 164 挺高的啊 不管用呀 啊？啥不管用 勾搭男人不管用嘛哈哈哈 ？？ 那你说啥不管用 没啥 就是随口一说 好吧
浮梁坠月,2021-12-08,姐姐你多大啦 28 哈哈哈不算很大 94年的？ 挺小的啊！ 93年的 对我接触过的姐姐来说不算大啦 好吧 要试试嘛 弟弟聊什么都可以的
V5没有了,2021-12-08,今年大四吗 嗯呀 这个时间大家不都在学习了 你怎么在逛豆瓣 略略略 不可以制造焦虑 [汗] [尴尬] 姐姐你好正经 [汗]
余数有六七八,2021-12-08,弟弟很成熟的 比如 除了家庭工作哈哈哈 哈哈哈哈 [微笑]还是嫌弃弟弟太小嘛 弟弟哪一年 哈哈哈哈 00年的 额…… [不说]但是80后的姐姐也约过不少哦
小叶,2021-12-08,你是男的？
豆友236934451,2021-12-08,哈哈哈哈 谁说我在江浙沪了！ 嗯嗯嗯？ 那你在哪 福建 贵州 我更南 哈哈哈 你胡说 我南多了
豆友241569200,2021-12-08,想认识新朋友嘛
核桃妞,2021-12-08,对的！哈哈 看你的动态 你很喜欢你师兄嘛 不不不  师兄就只是师兄啊 我们互相谁也不喜欢谁 我现在没有喜欢的人 哎 说来真是苦恼 好想谈恋爱 呜呜 你是牡丹嘛姐姐 不是呀 那就好嘻嘻嘻
是个m,2021-12-08,嗯嗯 很喜欢你的一句话 管着你也宠着你哈哈哈 嘿嘿 是吗 你想要什么样子的 合得来的吧 试试吧哈哈哈 加vx嘛 不加 那就用豆瓣嘛 嗯嗯
兹韦列夫,2021-12-08,哈哈哈 你喜欢啥样子的 不难看就好呀 那你可以不可以加我微信呀 我给你看 不好看你就删掉 那可不可以先发 哈哈哈 发照骗多没意思呀 我给你录小视频 不 [大哭] 难过
追光的少女,2021-12-08,你好呀 嗨 你多大 我22
燃,2021-12-08,想聊啥姐姐 都没5分钟呢就又睡着啦 姐姐醒了嘛 5点半醒的 那么早呀 每天都是 习惯了 那晚上几点睡 最晚24点 你昨晚就很迟呀
momo,2021-12-08,你好呀 ？
想太多小姐。,2021-12-08,我也还好吧 你结婚了嘛姐姐 姐姐结婚了呢 这样呀 英年早婚 你有女朋友了吗？ 现在单身 单身挺好呀 很自由 你的婚姻怎么样呀 结婚多久啦姐姐
月亮邮递员,2021-12-08,[微笑][微笑] 你太会撩啦姐姐 我这是撩吗？ 我这不是说实话 你这样说我只能说你猜中了啊哈哈哈 哈哈哈哈哈 难道不是吗 当然是啦 谁会不想漂亮姐姐呢？ 嗯 是的呢
挺老实一孩子,2021-12-08,你好呀 聊聊天嘛 不 [大哭]
77🔥,2021-12-08,骗过谁都会知道的 哈哈 这个是干啥了来着 唉不用解释了吧 懒得解释 还想了解不 有很多骗人的办法 方法 可是骗不到钱啊 还有新的
豆友179964125,2021-12-08,还没睡啊
熙,2021-12-08,你的工作怎么啦 大概就是我想遴选，类似于从公务员往上走，就去省级机关，然后我今年是第三年去签字了，他们不让我去考试，不同意报考，说我有服务期限，五年内不许动，然而我是高分进入的，不存在这个问题 三年啦，每年都拒绝 晋级失败的意思嘛 不是，就类似于，你想通过考试，去更好的地方呆一呆，他们偷走了你得桥梁，你现在只有两个选择，原地忍耐，看他们下一年会不会善良把桥梁给你，你在努力往上攀爬，要么就跳下去算了 为啥要偷走你的桥梁 就是人为设置障碍呀 好复杂 但是好像只能接受 为什么让你学习呢，因为金字塔越上段，他们关注于自身更多一样，但金字塔中下游，大家会觉得你凭什么上去 [害怕][害怕]
追赶时光的脚步,2021-12-08,聊天嘛
PillPill,2021-12-08,聊天嘛
豆友249811658,2021-12-08,对啊 [赞Gold][赞Gold] 精致姐姐哈哈 哈哈哈 姐姐在岛内嘛还是岛外 思明 吃饱了 一会得休息一下 睡个午觉 还没睡呀
江湖大道,2021-12-08,聊天嘛
佛系小陈,2021-12-08,打字嘛 还是语音呀 语音 打字聊嘛 我不方便语音 我想躺着睡觉哦 打字白天有空聊呗 那明天白天我找姐姐 会在嘛哈哈 到时候看呗 呜呜 好吧 懂了
Augenstern,2021-12-08,22 你呢 20 这么小呀 语音么？ 在嘛 在啊 语音还是打字 语音 语音不方便哈哈
是云彩云彩,2021-12-07,年的 这样 我也是00年的哈哈 啊一样大 你大四嘛 嗯啊 在哪个城市呀 你在哪 厦门呀 厦大？
厚乳拿铁加冰,2021-12-07,你好呀 在嘛在嘛 测试可以分享一下嘛 http://test.48haotest.cn/
Shelly,2021-12-07,聊天嘛
暮野,2021-12-07,哈哈 聊天不需要用眼睛 好叭～ 姐姐好正经 不然呢 没有啦 可以加姐姐vx嘛 这里聊也一样啊 呜呜 好吧 [笑脸]
晨来晨往,2021-12-07,刚毕业吗 你还上学呢吗 工作了 嗯呀 大三吗 大四 哦哦 考研吗 对呀 好辛苦
戈画,2021-12-07,厦门00年的小奶狗哦 认识一下嘛 我附了你都不理我！ 哦 就哦[发怒] 理你了，别闹了，乖。 噗 不聊聊天嘛 没什么可聊的呢 好吧
冬日可爱,2021-12-07,你想了解我啥哈哈哈 我给你了解 我不想了解，说实话，已经没有那么多想探索别人的想法了 没关系 我自己脱 你在说什么 [沉思] 没有 好吧 我自讨没趣
臾,2021-12-07,嗯 可以 自己去的哇？ 高中哈哈哈 学校夏令营 和女朋友一起 那你女朋友呢 以前啦 现在没在一起了 我去伊朗都是一个人去[舒服] [害怕][害怕] 穿越欧亚大陆 [鬼脸]
豆友197390007,2021-12-07,那怎么办呜呜 qq嘛 没有q 你玩思语么？  那是啥呀 也是聊天软件 你都玩那个嘛 嗯呢 那个可以聊什么 聊天啊
Xunxun,2021-12-07,你好呀
吃一口麦片,2021-12-07,有人呀
云想,2021-12-07,你好呀 你好 找到聊天的人了嘛 还没 你多大 23 好小啊 你多大姐姐？ 比你大多了 那是大多少哈哈 我没少跟姐姐玩哦
momo,2021-12-07,哈哈哈哈哈哈 怪我 太突兀了 竟然还搜出了小网站 啊 这 虽然我不是什么正经人 但这个单词是正经单词 我也万万没想到啊 快加快加 后面有一个杠不要漏了哦
同花顺,2021-12-06,聊天吗 聊一会 为啥一会儿 你不是熬夜嘛哈哈 熬不住了 固聊每天熬夜和你聊啥 一定要熬夜聊 什么都聊 哈哈哈 难怪聊那么迟 懂啦
∠应该告别,2021-12-06,这里也可以聊天啊 主要是因为豆邮没提示哈哈哈 我也不经常看啦 这样啊 [微笑][微笑] 有机会嘛！ 你微信号多少 castawayyy- 最后有一个杠哦 不要漏啦
Lili,2021-12-06,你好呀
KK,2021-12-06,哈哈哈哈哈 嗯嗯？刚好看到你发温柔的男孩子是宝藏 [嘻嘻][嘻嘻] 我可以做你的宝藏嘛 看你有多宝藏！ 怎么证明我的宝藏！ 看你可不可爱！ 你说长得嘛！ 性格 性格很可爱呀
婷哈,2021-12-06,你好呀 你是s嘛哈哈 不是 这样 你问这个干啥呀 问问 那你现在知道了吗 知道了 聊聊天嘛
豆友181484573,2021-12-06,研究生考杭州 好吧 准备考杭州哪个学校呀 杭州电子科技大学 哦哦 可以加姐姐的vx嘛 姐姐跑了呜呜 异地太辛苦了[喜极而泣] 认识一下都不嘛 好吧
李笙昀,2021-12-05,抱歉了弟弟 或者妹妹 hhhhh 22岁今年 现在00后也玩豆瓣了？ 年轻着呢 真好 没有 我是个别哈哈哈 而且我是00年的 00的也不是很后
灵魂的两个碎片,2021-12-05,你好呀 好 聊天嘛 准备要睡了 好叭 [哈哈]
荼靡PlanX,2021-12-05,你好呀
可颂小猫,2021-12-05,好看到马上领证那种哈哈哈 那我也想验一下弟弟的 嗯……手吧 我喜欢看手 [大哭] 只看手嘛 看来是帅弟弟 给我看看脸 加微信给姐姐看 nimbusvi 加你了
奶茶不加糖,2021-12-05,请你喝奶茶
豆友201412845,2021-12-05,组里不能回复啦 你发了也不会有回复的
脑子有病,2021-12-05,聊天嘛
漪漪,2021-12-05,你好呀
momo,2021-12-05,你好呀
小蝴蝶,2021-12-05,我才不傻 用豆邮聊嘛 还是加微信呀 啊呜 这个 都可以呀 你说的不正常聊天是说啥呀 没事 [眨眼] 那我加你微信吧～
麻瓜,2021-12-05,你好呀
兔兔很好吃的吧,2021-12-03,你好啊
